ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1653668734.273985,pg_toast,pg_toast_18192,pg_toast_18192_index,0,0,0,1,0
1653668734.273985,public,orders,orders_o_orderkey_o_orderdate_idx,3271374,3271374,3365,2830829,7028508
1653668734.273985,public,orders,pk_orders,81163,126162,126162,33232,255609
1653668734.273985,public,orders,orders_o_orderdate_idx,0,0,0,13,36085
1653668734.273985,public,orders,orders_o_custkey_idx,1690713,15142226,15015002,37775,5079383
1653668734.273985,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,42076,32789,32442,3018,89655
1653668734.273985,pg_catalog,pg_type,pg_type_oid_index,149749,149183,149183,2729,307029
1653668734.273985,pg_catalog,pg_type,pg_type_typname_nsp_index,3996,2993,2588,1908,9368
1653668734.273985,pg_toast,pg_toast_18197,pg_toast_18197_index,0,0,0,1,0
1653668734.273985,public,lineitem,pk_lineitem,1,180128,180128,2014,239623
1653668734.273985,public,lineitem,lineitem_l_orderkey_l_suppkey_l_quantity_idx,135301,180304623,179747,375223,1207490
1653668734.273985,public,lineitem,lineitem_l_receiptdate_idx,0,0,0,8,123038
1653668734.273985,public,lineitem,lineitem_l_partkey_l_suppkey_l_shipdate_l_quantity_idx,693048,4013663,3675547,517979,2668588
1653668734.273985,public,lineitem,lineitem_l_partkey_l_quantity_l_shipmode_idx,11582,26013,26013,177559,268912
1653668734.273985,public,lineitem,lineitem_l_shipdate_idx,0,0,0,12,123041
1653668734.273985,public,lineitem,lineitem_l_orderkey_idx_part2,0,0,0,83,21444
1653668734.273985,public,lineitem,lineitem_l_orderkey_l_suppkey_idx,2088353,40420308,40259,263314,8375113
1653668734.273985,public,lineitem,lineitem_l_orderkey_idx_l_returnflag,0,0,0,99,44516
1653668734.273985,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1653668734.273985,pg_toast,pg_toast_1247,pg_toast_1247_index,0,0,0,0,0
1653668734.273985,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1653668734.273985,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1653668734.273985,pg_toast,pg_toast_2612,pg_toast_2612_index,0,0,0,0,0
1653668734.273985,pg_toast,pg_toast_2600,pg_toast_2600_index,0,0,0,0,0
1653668734.273985,pg_toast,pg_toast_2619,pg_toast_2619_index,1074,1841,1841,551,1497
1653668734.273985,pg_toast,pg_toast_3381,pg_toast_3381_index,0,0,0,0,0
1653668734.273985,pg_toast,pg_toast_3429,pg_toast_3429_index,0,0,0,0,0
1653668734.273985,pg_toast,pg_toast_2618,pg_toast_2618_index,1142,3997,3997,228,1704
1653668734.273985,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1653668734.273985,pg_toast,pg_toast_3466,pg_toast_3466_index,0,0,0,0,0
1653668734.273985,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1653668734.273985,pg_toast,pg_toast_2615,pg_toast_2615_index,0,0,0,0,0
1653668734.273985,pg_catalog,pg_foreign_table,pg_foreign_table_relid_index,0,0,0,0,0
1653668734.273985,pg_toast,pg_toast_1262,pg_toast_1262_index,0,0,0,0,0
1653668734.273985,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1653668734.273985,pg_toast,pg_toast_1213,pg_toast_1213_index,0,0,0,0,0
