ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1653668734.269470,pg_catalog,pg_init_privs,0,0,1642,0,0,0,0,0,0,0,0,0,240,1689,0,0,0,0
1653668734.269470,pg_toast,pg_toast_3256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653668734.269470,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653668734.269470,pg_toast,pg_toast_2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653668734.269470,pg_catalog,pg_replication_origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653668734.269470,pg_toast,pg_toast_2619,0,0,1074,1841,301,0,288,0,29,14,633,1702,551,1497,,,,
1653668734.269470,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653668734.269470,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653668734.269470,pg_catalog,pg_authid,372,2308,20750,20750,0,0,0,0,0,0,836,20286,3859,37641,0,0,0,0
1653668734.269470,public,time_statistics,26,375,,,29,26,0,26,29,26,17,90,,,,,,
1653668734.269470,public,supplier,11,600000,3296241,3296183,100000,0,0,0,100000,0,115492,3210925,12188,6581026,0,0,1,0
1653668734.269470,pg_catalog,pg_subscription_rel,371,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653668734.269470,pg_catalog,pg_shdepend,0,0,1958,315,0,0,0,0,0,0,121,194,482,2063,,,,
1653668734.269470,pg_toast,pg_toast_2615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653668734.269470,pg_toast,pg_toast_3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653668734.269470,pg_catalog,pg_namespace,438,7040,26712,19414,16,0,0,0,16,0,1088,20033,3332,35917,0,0,0,0
1653668734.269470,pg_catalog,pg_shdescription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653668734.269470,pg_catalog,pg_ts_dict,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653668734.269470,public,customer,11,10500000,69,572119,1500000,0,0,0,1500092,0,452728,164235,11252,5291,0,0,1,0
1653668734.269470,pg_toast,pg_toast_18192,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
1653668734.269470,pg_catalog,pg_seclabel,0,0,1642,0,0,0,0,0,0,0,0,0,119,3165,0,0,0,0
1653668734.269470,pg_catalog,pg_description,0,0,1642,0,0,0,0,0,0,0,0,0,360,3211,0,0,0,0
1653668734.269470,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653668734.269470,pg_catalog,pg_tablespace,2,4,4900,4900,0,0,0,0,0,0,1054,3848,2152,7734,0,0,0,0
1653668734.269470,information_schema,sql_parts,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1653668734.269470,pg_catalog,pg_depend,0,0,14970,16180,2868,0,2744,0,8929,858,2057,18049,2839,40908,,,,
1653668734.269470,pg_catalog,pg_db_role_setting,0,0,39316,0,0,0,0,0,0,0,0,0,860,77772,0,0,0,0
