Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,StkSize,StkRef,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,cswch/s,nvcswch/s,Command
1653693994,26,16621,0.02,0.12,0.00,0.02,0.13,1,33.96,0.00,497240,24800,0.04,132,36,0.00,114345.61,57107.88,0,4.32,0.68,"/usr/pgsql-14/bin/postgres -D /var/lib/pgsql/local/dbt3/pgdata -c unix_socket_directories=/tmp -p 5432"
1653693994,26,16622,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,349708,5156,0.01,132,20,0.00,0.87,0.00,0,1.03,0.02,"postgres: logger"
1653693994,26,16624,0.10,1.05,0.00,3.65,1.15,1,37.04,1.32,497464,136700,0.21,132,32,0.00,6374.14,0.00,0,29.75,289.35,"postgres: checkpointer"
1653693994,26,16625,0.13,0.37,0.00,0.65,0.50,5,36.84,0.00,497240,138020,0.21,132,32,0.47,1835.29,0.00,0,7.60,96.77,"postgres: background writer"
1653693994,26,16626,0.05,0.48,0.00,1.75,0.53,0,16.60,0.00,497240,10400,0.02,132,28,0.00,4905.85,0.00,0,38.36,11.56,"postgres: walwriter"
1653693994,26,16627,0.00,0.00,0.00,0.00,0.00,1,0.12,0.00,497808,8800,0.01,132,16,0.00,0.13,0.00,0,0.13,0.00,"postgres: autovacuum launcher"
1653693994,26,16628,0.02,0.05,0.00,0.40,0.07,5,0.00,0.00,351968,5184,0.01,132,20,0.00,2.07,0.53,0,38.13,1.18,"postgres: stats collector"
1653693994,26,16641,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,217196,844,0.00,132,24,0.00,0.07,0.00,0,0.77,0.00,"sar -o /tmp/r10e/throughput/sar_raw.out 60"
1653693994,26,16642,0.02,0.03,0.00,0.05,0.05,4,9.87,0.00,220728,4112,0.01,132,20,0.00,0.00,0.00,0,0.08,0.33,"pidstat -h -l -d -r -s -u -w 60"
1653693994,26,16643,0.00,0.00,0.00,0.00,0.00,1,6.35,0.00,222524,3156,0.00,132,12,0.00,1.20,0.00,0,0.20,0.00,"/bin/sh /usr/local/bin/dbt3-pgsql-dbstat /tmp/r10e/throughput"
1653693994,26,16644,0.00,0.00,0.00,0.02,0.00,2,0.00,0.00,222836,1356,0.00,132,20,0.00,0.67,0.00,0,0.10,1.85,"sadc 60 -Z -S XALL /tmp/r10e/throughput/sar_raw.out"
