# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;areq-sz;aqu-sz;await;svctm;%util
pgsql1.dbt2.internal;60;1653668794;nvme1n1;901.40;0.00;31031.87;34.43;1.06;1.12;0.14;12.50
pgsql1.dbt2.internal;60;1653668794;nvme1n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668794;nvme1n1p2;901.40;0.00;31031.87;34.43;1.05;1.12;0.14;12.50
pgsql1.dbt2.internal;60;1653668794;nvme1n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668794;nvme0n1;906.77;1.07;31417.73;34.65;0.79;0.75;0.17;15.19
pgsql1.dbt2.internal;60;1653668794;nvme0n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668794;nvme0n1p2;906.77;1.07;31417.73;34.65;0.74;0.75;0.17;15.19
pgsql1.dbt2.internal;60;1653668794;nvme0n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668794;md127;1785.73;1.07;56447.73;31.61;2.23;1.25;0.07;13.13
pgsql1.dbt2.internal;60;1653668794;md126;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
