# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
pgsql1.dbt2.internal;60;1653668794;-1;68.95;0.00;11.68;0.00;0.00;19.38
pgsql1.dbt2.internal;60;1653668794;0;70.76;0.00;11.74;0.00;0.00;17.49
pgsql1.dbt2.internal;60;1653668794;1;67.40;0.00;11.35;0.00;0.00;21.26
pgsql1.dbt2.internal;60;1653668794;2;71.20;0.00;11.54;0.00;0.00;17.25
pgsql1.dbt2.internal;60;1653668794;3;62.93;0.00;12.41;0.00;0.00;24.66
pgsql1.dbt2.internal;60;1653668794;4;73.86;0.00;10.48;0.00;0.00;15.67
pgsql1.dbt2.internal;60;1653668794;5;67.53;0.00;12.55;0.00;0.00;19.92
pgsql1.dbt2.internal;60;1653668854;-1;72.22;0.00;9.20;0.00;0.00;18.58
pgsql1.dbt2.internal;60;1653668854;0;72.67;0.00;9.28;0.00;0.00;18.05
pgsql1.dbt2.internal;60;1653668854;1;71.15;0.00;10.81;0.00;0.00;18.03
pgsql1.dbt2.internal;60;1653668854;2;75.76;0.00;9.41;0.00;0.00;14.83
pgsql1.dbt2.internal;60;1653668854;3;66.22;0.00;8.02;0.00;0.00;25.76
pgsql1.dbt2.internal;60;1653668854;4;71.98;0.00;8.51;0.00;0.00;19.51
pgsql1.dbt2.internal;60;1653668854;5;75.56;0.00;9.16;0.00;0.00;15.28
pgsql1.dbt2.internal;60;1653668914;-1;74.87;0.00;8.91;0.00;0.00;16.23
pgsql1.dbt2.internal;60;1653668914;0;79.17;0.00;9.10;0.00;0.00;11.73
pgsql1.dbt2.internal;60;1653668914;1;76.08;0.00;7.64;0.00;0.00;16.28
pgsql1.dbt2.internal;60;1653668914;2;75.00;0.00;8.91;0.00;0.00;16.10
pgsql1.dbt2.internal;60;1653668914;3;69.52;0.00;7.65;0.00;0.00;22.82
pgsql1.dbt2.internal;60;1653668914;4;74.64;0.00;9.53;0.00;0.00;15.83
pgsql1.dbt2.internal;60;1653668914;5;74.79;0.00;10.61;0.00;0.00;14.60
pgsql1.dbt2.internal;60;1653668974;-1;71.92;0.00;7.74;0.00;0.00;20.35
pgsql1.dbt2.internal;60;1653668974;0;71.79;0.00;8.41;0.00;0.00;19.80
pgsql1.dbt2.internal;60;1653668974;1;75.04;0.00;8.24;0.00;0.00;16.73
pgsql1.dbt2.internal;60;1653668974;2;69.53;0.00;8.17;0.00;0.00;22.30
pgsql1.dbt2.internal;60;1653668974;3;69.33;0.00;8.18;0.00;0.00;22.49
pgsql1.dbt2.internal;60;1653668974;4;73.36;0.00;6.07;0.00;0.00;20.57
