# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
pgsql1.dbt2.internal;60;1653668794;lo;50.58;50.58;13.59;13.59;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668794;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668794;eth1;0.65;0.13;0.04;0.02;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668854;lo;36.40;36.40;6.46;6.46;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668854;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668854;eth1;0.62;0.10;0.04;0.01;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668914;lo;19.50;19.50;4.27;4.27;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668914;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668914;eth1;0.63;0.10;0.04;0.01;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668974;lo;26.72;26.72;6.38;6.38;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668974;eth0;0.57;0.08;0.04;0.01;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668974;eth1;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669034;lo;84.03;84.03;11.14;11.14;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669034;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669034;eth1;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669094;lo;27.20;27.20;4.77;4.77;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669094;eth0;0.55;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669094;eth1;0.50;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669154;lo;25.90;25.90;5.71;5.71;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669154;eth0;0.50;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669154;eth1;0.58;0.03;0.04;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669214;lo;22.07;22.07;5.48;5.48;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669214;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669214;eth1;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669274;lo;10.05;10.05;4.01;4.01;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669274;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669274;eth1;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669334;lo;39.33;39.33;6.91;6.91;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669334;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669334;eth1;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
