# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
pgsql1.dbt2.internal;60;1653668794;1.07;62449.67;13663.03;0.00;37608.90;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668854;0.27;83989.13;6843.35;0.00;32821.95;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668914;0.07;54824.47;3329.67;0.00;22691.67;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668974;3.93;15948.20;13529.57;0.00;21691.57;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669034;5.73;780.53;10525.73;0.00;22355.83;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669094;3.20;5256.13;6121.90;0.00;11905.35;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669154;2.00;143.91;7548.99;0.00;9965.81;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669214;1.80;13658.07;9611.50;0.00;14017.73;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669274;2.73;3526.93;7252.70;0.02;5133.28;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653669334;4.20;13194.20;8583.23;0.00;18132.35;0.00;0.00;0.00;0.00
