Linux 5.15.41-gentoo-x86_64-zbkstdxg5 (pgsql1.dbt2.internal) 	05/27/2022 	_x86_64_	(6 CPU)

04:25:34 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:26:34 PM     all     68.95      0.00     11.68      0.00      0.00     19.38
04:27:34 PM     all     72.22      0.00      9.20      0.00      0.00     18.58
04:28:34 PM     all     74.87      0.00      8.91      0.00      0.00     16.23
04:29:34 PM     all     71.92      0.00      7.74      0.00      0.00     20.35
04:30:34 PM     all     76.56      0.00     12.75      0.00      0.00     10.69
04:31:34 PM     all     61.79      0.00     24.67      0.00      0.00     13.54
04:32:34 PM     all     64.31      0.00     21.44      0.00      0.00     14.24
04:33:34 PM     all     72.75      0.00     15.51      0.00      0.00     11.73
04:34:34 PM     all     71.20      0.00     13.64      0.00      0.00     15.16
04:35:34 PM     all     79.85      0.00      8.51      0.00      0.00     11.64
