ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,query,state,state_change
1653527041.791035,,7363,,,"",,,2022-05-26 01:04:00.545902+00,,,"",,
1653527041.791035,,7365,10,postgres,"",,,2022-05-26 01:04:00.546439+00,,,"",,
1653527041.791035,dbt3,7439,10,postgres,psql,,-1,2022-05-26 01:04:01.526537+00,2022-05-26 01:04:01.528635+00,2022-05-26 01:04:01.528635+00,COPY supplier FROM PROGRAM 'dbgen -s 10 -T s -o' USING DELIMITERS '|';,active,2022-05-26 01:04:01.528636+00
1653527041.791035,dbt3,7440,10,postgres,psql,,-1,2022-05-26 01:04:01.52321+00,2022-05-26 01:04:01.540114+00,2022-05-26 01:04:01.540114+00,COPY nation FROM PROGRAM 'dbgen -s 10 -T n -o' USING DELIMITERS '|';,active,2022-05-26 01:04:01.540115+00
1653527041.791035,dbt3,7441,10,postgres,psql,,-1,2022-05-26 01:04:01.5215+00,2022-05-26 01:04:01.52707+00,2022-05-26 01:04:01.52707+00,COPY partsupp FROM PROGRAM 'dbgen -s 10 -T S -o' USING DELIMITERS '|';,active,2022-05-26 01:04:01.527071+00
1653527041.791035,dbt3,7444,10,postgres,psql,,-1,2022-05-26 01:04:01.528415+00,2022-05-26 01:04:01.531954+00,2022-05-26 01:04:01.531954+00,COPY region FROM PROGRAM 'dbgen -s 10 -T r -o' USING DELIMITERS '|';,active,2022-05-26 01:04:01.531956+00
1653527041.791035,dbt3,7442,10,postgres,psql,,-1,2022-05-26 01:04:01.529158+00,2022-05-26 01:04:01.533395+00,2022-05-26 01:04:01.533395+00,COPY lineitem FROM PROGRAM 'dbgen -s 10 -T L -o' USING DELIMITERS '|';,active,2022-05-26 01:04:01.533396+00
1653527041.791035,dbt3,7447,10,postgres,psql,,-1,2022-05-26 01:04:01.528957+00,2022-05-26 01:04:01.536731+00,2022-05-26 01:04:01.536731+00,COPY orders FROM PROGRAM 'dbgen -s 10 -T O -o' USING DELIMITERS '|';,active,2022-05-26 01:04:01.536732+00
1653527041.791035,dbt3,7448,10,postgres,psql,,-1,2022-05-26 01:04:01.533821+00,2022-05-26 01:04:01.535891+00,2022-05-26 01:04:01.535891+00,COPY part FROM PROGRAM 'dbgen -s 10 -T P -o' USING DELIMITERS '|';,active,2022-05-26 01:04:01.535893+00
1653527041.791035,dbt3,7452,10,postgres,psql,,-1,2022-05-26 01:04:01.536038+00,2022-05-26 01:04:01.538095+00,2022-05-26 01:04:01.538095+00,COPY customer FROM PROGRAM 'dbgen -s 10 -T c -o' USING DELIMITERS '|';,active,2022-05-26 01:04:01.538096+00
1653527041.791035,dbt3,7472,10,postgres,psql,,-1,2022-05-26 01:04:01.742376+00,,2022-05-26 01:04:01.75401+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",idle,2022-05-26 01:04:01.781335+00
1653527041.791035,dbt3,7471,10,postgres,psql,,-1,2022-05-26 01:04:01.751179+00,2022-05-26 01:04:01.764225+00,2022-05-26 01:04:01.764225+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2022-05-26 01:04:01.764227+00
1653527041.791035,dbt3,7475,10,postgres,psql,,-1,2022-05-26 01:04:01.770717+00,2022-05-26 01:04:01.791035+00,2022-05-26 01:04:01.791035+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2022-05-26 01:04:01.791037+00
1653527041.791035,,7361,,,"",,,2022-05-26 01:04:00.545429+00,,,"",,
1653527041.791035,,7360,,,"",,,2022-05-26 01:04:00.545181+00,,,"",,
1653527041.791035,,7362,,,"",,,2022-05-26 01:04:00.54567+00,,,"",,
1653527101.757285,,7363,,,"",,,2022-05-26 01:04:00.545902+00,,,"",,
1653527101.757285,,7365,10,postgres,"",,,2022-05-26 01:04:00.546439+00,,,"",,
1653527101.757285,dbt3,7501,10,postgres,psql,,-1,2022-05-26 01:05:01.753724+00,,,"",idle,2022-05-26 01:05:01.760222+00
