ctime,relname,pid,mode,granted
1653527041.773149,customer,7452,RowExclusiveLock,t
1653527041.773149,lineitem,7442,RowExclusiveLock,t
1653527041.773149,nation,7440,RowExclusiveLock,t
1653527041.773149,orders,7447,RowExclusiveLock,t
1653527041.773149,part,7448,RowExclusiveLock,t
1653527041.773149,partsupp,7441,RowExclusiveLock,t
1653527041.773149,pg_index,7472,AccessShareLock,t
1653527041.773149,pg_index,7471,AccessShareLock,t
1653527041.773149,pg_index_indexrelid_index,7472,AccessShareLock,t
1653527041.773149,pg_index_indrelid_index,7472,AccessShareLock,t
1653527041.773149,pg_namespace,7471,AccessShareLock,t
1653527041.773149,pg_namespace,7472,AccessShareLock,t
1653527041.773149,pg_namespace_nspname_index,7472,AccessShareLock,t
1653527041.773149,pg_namespace_oid_index,7472,AccessShareLock,t
1653527041.773149,region,7444,RowExclusiveLock,t
1653527041.773149,supplier,7439,RowExclusiveLock,t
1653527101.760369,lineitem,7442,RowExclusiveLock,t
1653527101.760369,orders,7447,RowExclusiveLock,t
1653527101.760369,part,7448,RowExclusiveLock,t
1653527101.760369,partsupp,7441,RowExclusiveLock,t
1653527101.760369,pg_index,7502,AccessShareLock,t
1653527101.760369,pg_index_indexrelid_index,7502,AccessShareLock,t
1653527101.760369,pg_index_indrelid_index,7502,AccessShareLock,t
1653527101.760369,pg_namespace,7502,AccessShareLock,t
1653527101.760369,pg_namespace_nspname_index,7502,AccessShareLock,t
1653527101.760369,pg_namespace_oid_index,7502,AccessShareLock,t
1653527161.756560,lineitem,7442,RowExclusiveLock,t
1653527161.756560,orders,7447,RowExclusiveLock,t
1653527161.756560,pg_index,7538,AccessShareLock,t
1653527161.756560,pg_index_indexrelid_index,7538,AccessShareLock,t
1653527161.756560,pg_index_indrelid_index,7538,AccessShareLock,t
1653527161.756560,pg_namespace,7538,AccessShareLock,t
1653527161.756560,pg_namespace_nspname_index,7538,AccessShareLock,t
1653527161.756560,pg_namespace_oid_index,7538,AccessShareLock,t
1653527221.744926,lineitem,7442,RowExclusiveLock,t
1653527221.744926,partsupp,7549,ShareUpdateExclusiveLock,t
1653527221.744926,pg_rewrite,7569,AccessShareLock,t
1653527221.744926,pg_rewrite,7568,AccessShareLock,t
1653527221.744926,pg_rewrite_rel_rulename_index,7569,AccessShareLock,t
1653527221.744926,pg_rewrite_rel_rulename_index,7568,AccessShareLock,t
1653527281.781090,lineitem,7442,RowExclusiveLock,t
1653527281.781090,orders,7576,ShareUpdateExclusiveLock,t
1653527281.781090,pg_index,7593,AccessShareLock,t
1653527281.781090,pg_index,7594,AccessShareLock,t
1653527281.781090,pg_index_indexrelid_index,7593,AccessShareLock,t
1653527281.781090,pg_index_indrelid_index,7593,AccessShareLock,t
1653527281.781090,pg_namespace,7593,AccessShareLock,t
1653527281.781090,pg_namespace_nspname_index,7593,AccessShareLock,t
1653527281.781090,pg_namespace_oid_index,7593,AccessShareLock,t
1653527341.750053,lineitem,7442,RowExclusiveLock,t
1653527341.750053,pg_rewrite,7622,AccessShareLock,t
1653527341.750053,pg_rewrite_rel_rulename_index,7622,AccessShareLock,t
1653527401.787236,lineitem,7687,ShareLock,t
1653527401.787236,lineitem,7683,ShareLock,t
1653527401.787236,lineitem,7668,ShareLock,t
1653527401.787236,lineitem,7686,ShareLock,t
1653527401.787236,lineitem,7685,ShareLock,t
1653527401.787236,lineitem,7688,ShareLock,t
1653527401.787236,lineitem,7690,ShareLock,t
1653527401.787236,lineitem,7697,ShareLock,t
1653527401.787236,lineitem,7671,ShareLock,t
1653527401.787236,lineitem,7672,ShareLock,t
1653527401.787236,orders,7693,ShareLock,t
1653527401.787236,orders,7699,ShareLock,t
1653527401.787236,pg_index,7753,AccessShareLock,t
1653527401.787236,pg_index_indexrelid_index,7753,AccessShareLock,t
1653527401.787236,pg_index_indrelid_index,7753,AccessShareLock,t
1653527401.787236,pg_namespace,7753,AccessShareLock,t
1653527401.787236,pg_namespace_nspname_index,7753,AccessShareLock,t
1653527401.787236,pg_namespace_oid_index,7753,AccessShareLock,t
1653527401.787236,pg_statistic,7755,AccessShareLock,t
1653527401.787236,pg_statistic_relid_att_inh_index,7755,AccessShareLock,t
1653527461.769731,lineitem,7686,ShareLock,t
1653527461.769731,lineitem,7688,ShareLock,t
1653527461.769731,lineitem,7683,ShareLock,t
1653527461.769731,lineitem,7668,ShareLock,t
1653527521.771988,lineitem,7809,ShareUpdateExclusiveLock,t
1653527521.771988,lineitem_l_orderkey_idx_l_returnflag,7809,RowExclusiveLock,t
1653527521.771988,lineitem_l_orderkey_idx_part2,7809,RowExclusiveLock,t
1653527521.771988,lineitem_l_orderkey_l_suppkey_idx,7809,RowExclusiveLock,t
1653527521.771988,lineitem_l_orderkey_l_suppkey_l_quantity_idx,7809,RowExclusiveLock,t
1653527521.771988,lineitem_l_partkey_l_quantity_l_shipmode_idx,7809,RowExclusiveLock,t
1653527521.771988,lineitem_l_partkey_l_suppkey_l_shipdate_l_quantity_idx,7809,RowExclusiveLock,t
1653527521.771988,lineitem_l_receiptdate_idx,7809,RowExclusiveLock,t
1653527521.771988,lineitem_l_shipdate_idx,7809,RowExclusiveLock,t
1653527521.771988,pg_index,7819,AccessShareLock,t
1653527521.771988,pg_index,7821,AccessShareLock,t
1653527521.771988,pg_namespace,7819,AccessShareLock,t
1653527521.771988,pk_lineitem,7809,RowExclusiveLock,t
