ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1653527041.772705,,0,0,0,9490,131776,35669,33125,1,0,0
1653527041.772705,postgres,0,129,8,2014,25569,80590,11911,0,0,0
1653527041.772705,dbt3,12,11973,1,566170384,554423936,14567127381,701740436,304320350,1952,58546
1653527041.772705,template1,0,0,0,0,0,0,0,0,0,0
1653527041.772705,template0,0,0,0,0,0,0,0,0,0,0
1653527101.746888,,0,0,0,9490,131905,35729,33155,1,0,0
1653527101.746888,postgres,0,131,8,2017,25833,81911,12005,0,0,0
1653527101.746888,dbt3,7,12004,1,566208888,554526524,14567136365,701744557,305920392,2056,58547
1653527101.746888,template1,0,0,0,0,0,0,0,0,0,0
1653527101.746888,template0,0,0,0,0,0,0,0,0,0,0
1653527161.758015,,0,0,0,9490,132081,35799,33197,1,0,0
1653527161.758015,postgres,0,133,8,2017,25916,83152,12019,0,0,0
1653527161.758015,dbt3,4,12024,1,566554192,555147506,14567142840,701746520,315920413,2056,58547
1653527161.758015,template1,0,0,0,0,0,0,0,0,0,0
1653527161.758015,template0,0,0,0,0,0,0,0,0,0,0
1653527221.744996,,0,0,0,9490,132296,35873,33247,1,0,0
1653527221.744996,postgres,0,135,8,2017,25999,84393,12033,0,0,0
1653527221.744996,dbt3,3,12038,1,566822309,555744083,14567147728,701748194,330920413,2056,58547
1653527221.744996,template1,0,0,0,0,0,0,0,0,0,0
1653527221.744996,template0,0,0,0,0,0,0,0,0,0,0
1653527281.782368,,0,0,0,9490,132428,35933,33279,1,0,0
1653527281.782368,postgres,0,137,8,2017,26082,85634,12047,0,0,0
1653527281.782368,dbt3,5,12051,1,567024304,555924892,14567154060,701750018,330920420,2056,58547
1653527281.782368,template1,0,0,0,0,0,0,0,0,0,0
1653527281.782368,template0,0,0,0,0,0,0,0,0,0,0
1653527341.750094,,0,0,0,9490,132643,36015,33329,1,0,0
1653527341.750094,postgres,0,139,8,2017,26165,86875,12061,0,0,0
1653527341.750094,dbt3,2,12069,1,567320080,556199619,14567161510,701752076,330920431,2056,58547
1653527341.750094,template1,0,0,0,0,0,0,0,0,0,0
1653527341.750094,template0,0,0,0,0,0,0,0,0,0,0
1653527401.793709,,0,0,0,9490,134052,36396,33658,1,0,0
1653527401.793709,postgres,0,141,8,2017,26248,88116,12075,0,0,0
1653527401.793709,dbt3,16,12204,1,570038760,558856944,14630982444,701762709,390906625,2091,58564
1653527401.793709,template1,0,0,0,0,0,0,0,0,0,0
1653527401.793709,template0,0,0,0,0,0,0,0,0,0,0
1653527461.778703,,0,0,0,9490,134343,36497,33727,1,0,0
1653527461.778703,postgres,0,143,8,2017,26331,89357,12089,0,0,0
1653527461.778703,dbt3,5,12239,1,576597533,559182778,14960922913,701767361,390906668,2101,58567
1653527461.778703,template1,0,0,0,0,0,0,0,0,0,0
1653527461.778703,template0,0,0,0,0,0,0,0,0,0,0
1653527521.771883,,0,0,0,9490,134576,36579,33781,1,0,0
1653527521.771883,postgres,0,145,8,2017,26414,90598,12103,0,0,0
1653527521.771883,dbt3,2,12260,1,581199533,559206336,15200875286,701771231,390906704,2102,58569
1653527521.771883,template1,0,0,0,0,0,0,0,0,0,0
1653527521.771883,template0,0,0,0,0,0,0,0,0,0,0
