ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1653527041.764225,pg_catalog,pg_transform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_am,14088,14088,0,0,0,0,0,0,0,0,556,13532,0,0,,,,
1653527041.764225,public,orders,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1653527041.764225,pg_catalog,pg_init_privs,0,0,996,0,0,0,0,0,0,0,0,0,156,1013,0,0,0,0
1653527041.764225,pg_toast,pg_toast_3256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_toast,pg_toast_2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_replication_origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527041.764225,pg_toast,pg_toast_2619,0,0,706,1237,172,0,172,0,12,56,387,1011,378,953,,,,
1653527041.764225,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527041.764225,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_authid,194,1052,12457,12457,0,0,0,0,0,0,548,12103,2633,22281,0,0,0,0
1653527041.764225,pg_catalog,pg_subscription_rel,221,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_shdepend,0,0,1195,198,0,0,0,0,0,0,78,120,312,1241,,,,
1653527041.764225,pg_toast,pg_toast_2615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_toast,pg_toast_3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_namespace,206,2516,13878,9625,14,0,0,0,14,0,718,9717,2234,19311,0,0,0,0
1653527041.764225,pg_catalog,pg_shdescription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527041.764225,pg_catalog,pg_ts_dict,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527041.764225,pg_catalog,pg_seclabel,0,0,996,0,0,0,0,0,0,0,0,0,77,1915,0,0,0,0
1653527041.764225,pg_catalog,pg_description,0,0,996,0,0,0,0,0,0,0,0,0,234,1931,0,0,0,0
1653527041.764225,public,region,0,0,,,0,0,0,0,0,0,0,0,,,,,,
1653527041.764225,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_tablespace,2,4,2927,2927,0,0,0,0,0,0,723,2206,1471,4433,0,0,0,0
1653527041.764225,information_schema,sql_parts,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1653527041.764225,pg_catalog,pg_depend,0,0,9089,9879,1728,0,1682,0,8860,1682,1220,10459,1789,24617,,,,
1653527041.764225,pg_catalog,pg_db_role_setting,0,0,23044,0,0,0,0,0,0,0,0,0,542,45546,0,0,0,0
1653527041.764225,public,supplier,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1653527041.764225,pg_catalog,pg_user_mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527041.764225,pg_catalog,pg_largeobject,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_toast,pg_toast_3456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_operator,0,0,29240,133884,0,0,0,0,0,0,7449,88661,5439,60337,,,,
1653527041.764225,public,time_statistics,0,0,,,1,0,0,0,1,0,1,0,,,,,,
1653527041.764225,pg_catalog,pg_index,933,76203,65355,85939,325,64,319,47,161,93,3718,78416,2618,73840,,,,
1653527041.764225,pg_catalog,pg_attribute,814,3848,192305,474626,2525,0,2332,0,3164,586,11545,202403,4263,399597,,,,
1653527041.764225,pg_toast,pg_toast_17506,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_aggregate,0,0,3141,3141,0,0,0,0,0,0,522,2619,1059,4577,0,0,0,0
1653527041.764225,pg_toast,pg_toast_14532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_rewrite,0,0,1002,866,62,0,62,0,139,62,498,686,314,1410,523,332,114,766
1653527041.764225,pg_toast,pg_toast_1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_toast,pg_toast_3079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,public,nation,0,0,,,0,0,0,0,0,0,0,0,,,,,,
1653527041.764225,pg_catalog,pg_type,0,0,93101,91880,348,0,330,0,619,156,2354,90918,3103,191342,0,0,0,0
1653527041.764225,pg_catalog,pg_amop,0,0,44889,97542,0,0,0,0,0,0,4178,76422,4497,91968,,,,
1653527041.764225,pg_toast,pg_toast_3381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_toast,pg_toast_3466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_range,0,0,1752,0,0,0,0,0,0,0,0,0,2252,1252,,,,
1653527041.764225,pg_catalog,pg_ts_config,0,0,5560,5560,0,0,0,0,0,0,441,5119,1856,6484,,,,
1653527041.764225,pg_toast,pg_toast_6100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_sequence,0,0,48,48,9,0,8,0,1,8,40,25,80,27,,,,
1653527041.764225,pg_catalog,pg_inherits,0,0,540,0,0,0,0,0,0,0,0,0,78,1002,,,,
1653527041.764225,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527041.764225,pg_catalog,pg_database,468,1488,17545,17543,1,0,0,0,1,0,473,17542,2710,26304,0,0,0,0
1653527041.764225,pg_toast,pg_toast_17491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,information_schema,sql_sizing,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1653527041.764225,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_default_acl,0,0,366,0,0,0,0,0,0,0,0,0,77,655,0,0,0,0
1653527041.764225,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527041.764225,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_amproc,148,518,31920,79492,0,0,0,0,0,0,1480,31049,2484,68343,,,,
1653527041.764225,pg_catalog,pg_constraint,0,0,656,592,64,0,64,0,107,64,243,619,451,1297,0,0,0,0
1653527041.764225,pg_catalog,pg_proc,0,0,35822,50652,0,0,0,0,0,0,7767,31265,7397,72043,0,0,0,0
1653527041.764225,public,part,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1653527041.764225,pg_toast,pg_toast_17501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,public,customer,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1653527041.764225,pg_toast,pg_toast_1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_trigger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527041.764225,pg_catalog,pg_language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527041.764225,pg_toast,pg_toast_2328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_toast,pg_toast_14522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_toast,pg_toast_17486,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_toast,pg_toast_1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_collation,0,0,62,62,0,0,0,0,0,0,47,15,141,45,0,0,0,0
1653527041.764225,pg_catalog,pg_extension,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
1653527041.764225,pg_catalog,pg_subscription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527041.764225,information_schema,sql_implementation_info,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1653527041.764225,pg_toast,pg_toast_2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_policy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527041.764225,public,lineitem,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1653527041.764225,pg_catalog,pg_event_trigger,0,0,577,0,0,0,0,0,0,0,0,0,78,499,0,0,0,0
1653527041.764225,pg_toast,pg_toast_17481,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527041.764225,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
