# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;areq-sz;aqu-sz;await;svctm;%util
pgsql1.dbt2.internal;60;1653527099;nvme0n1;205.82;0.07;34626.73;168.24;0.98;4.59;0.50;10.20
pgsql1.dbt2.internal;60;1653527099;nvme0n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527099;nvme0n1p2;205.82;0.07;34626.73;168.24;0.97;4.59;0.50;10.20
pgsql1.dbt2.internal;60;1653527099;nvme0n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527099;nvme1n1;198.20;0.00;34553.93;174.34;0.41;1.74;0.57;11.38
pgsql1.dbt2.internal;60;1653527099;nvme1n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527099;nvme1n1p2;198.20;0.00;34553.93;174.34;0.40;1.74;0.57;11.38
pgsql1.dbt2.internal;60;1653527099;nvme1n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527099;md127;332.92;0.07;59304.87;178.14;1.15;3.46;0.33;11.05
pgsql1.dbt2.internal;60;1653527099;md126;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
