# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
pgsql1.dbt2.internal;60;1653527099;-1;48.51;0.00;18.52;0.00;0.00;32.98
pgsql1.dbt2.internal;60;1653527099;0;49.27;0.00;18.03;0.00;0.00;32.70
pgsql1.dbt2.internal;60;1653527099;1;49.41;0.00;18.05;0.00;0.00;32.55
pgsql1.dbt2.internal;60;1653527099;2;44.25;0.00;17.90;0.00;0.00;37.85
pgsql1.dbt2.internal;60;1653527099;3;49.80;0.00;18.26;0.00;0.00;31.94
pgsql1.dbt2.internal;60;1653527099;4;50.93;0.00;19.03;0.00;0.00;30.04
pgsql1.dbt2.internal;60;1653527099;5;47.40;0.00;19.81;0.00;0.00;32.79
pgsql1.dbt2.internal;60;1653527159;-1;45.18;0.00;11.83;0.00;0.00;42.99
pgsql1.dbt2.internal;60;1653527159;0;47.47;0.00;11.97;0.00;0.00;40.55
pgsql1.dbt2.internal;60;1653527159;1;45.96;0.00;12.14;0.00;0.00;41.90
pgsql1.dbt2.internal;60;1653527159;2;44.10;0.00;12.13;0.00;0.00;43.76
pgsql1.dbt2.internal;60;1653527159;3;45.65;0.00;11.90;0.00;0.00;42.45
pgsql1.dbt2.internal;60;1653527159;4;43.03;0.00;11.06;0.00;0.00;45.91
pgsql1.dbt2.internal;60;1653527159;5;44.86;0.00;11.75;0.00;0.00;43.39
pgsql1.dbt2.internal;60;1653527219;-1;39.67;0.00;9.71;0.00;0.00;50.62
pgsql1.dbt2.internal;60;1653527219;0;44.10;0.00;9.40;0.00;0.00;46.50
pgsql1.dbt2.internal;60;1653527219;1;37.49;0.00;9.81;0.00;0.00;52.69
pgsql1.dbt2.internal;60;1653527219;2;40.85;0.00;10.23;0.00;0.00;48.93
pgsql1.dbt2.internal;60;1653527219;3;41.64;0.00;10.41;0.00;0.00;47.95
pgsql1.dbt2.internal;60;1653527219;4;38.16;0.00;9.80;0.00;0.00;52.04
pgsql1.dbt2.internal;60;1653527219;5;35.79;0.00;8.60;0.00;0.00;55.62
pgsql1.dbt2.internal;60;1653527279;-1;24.59;0.00;4.80;0.00;0.00;70.62
pgsql1.dbt2.internal;60;1653527279;0;19.71;0.00;4.69;0.00;0.00;75.60
pgsql1.dbt2.internal;60;1653527279;1;25.84;0.00;4.73;0.00;0.00;69.43
pgsql1.dbt2.internal;60;1653527279;2;17.35;0.00;4.02;0.00;0.00;78.63
pgsql1.dbt2.internal;60;1653527279;3;31.27;0.00;5.55;0.00;0.00;63.19
pgsql1.dbt2.internal;60;1653527279;4;22.44;0.00;4.16;0.00;0.00;73.40
pgsql1.dbt2.internal;60;1653527279;5;30.92;0.00;5.63;0.00;0.00;63.45
pgsql1.dbt2.internal;60;1653527339;-1;24.52;0.00;4.65;0.00;0.00;70.83
pgsql1.dbt2.internal;60;1653527339;0;13.39;0.00;2.77;0.00;0.00;83.84
pgsql1.dbt2.internal;60;1653527339;1;38.63;0.00;6.72;0.00;0.00;54.65
pgsql1.dbt2.internal;60;1653527339;2;33.42;0.00;6.59;0.00;0.00;59.99
pgsql1.dbt2.internal;60;1653527339;3;12.57;0.00;4.02;0.00;0.00;83.40
pgsql1.dbt2.internal;60;1653527339;4;19.04;0.00;3.70;0.00;0.00;77.26
pgsql1.dbt2.internal;60;1653527339;5;30.07;0.00;4.09;0.00;0.00;65.84
pgsql1.dbt2.internal;60;1653527399;-1;71.97;0.00;9.51;0.00;0.00;18.52
pgsql1.dbt2.internal;60;1653527399;0;71.30;0.00;9.18;0.00;0.00;19.52
pgsql1.dbt2.internal;60;1653527399;1;74.60;0.00;10.18;0.00;0.00;15.22
pgsql1.dbt2.internal;60;1653527399;2;69.33;0.00;8.92;0.00;0.00;21.75
pgsql1.dbt2.internal;60;1653527399;3;74.00;0.00;10.07;0.00;0.00;15.94
pgsql1.dbt2.internal;60;1653527399;4;72.56;0.00;9.25;0.00;0.00;18.19
pgsql1.dbt2.internal;60;1653527399;5;70.06;0.00;9.45;0.00;0.00;20.49
pgsql1.dbt2.internal;60;1653527459;-1;69.21;0.00;9.15;0.00;0.00;21.63
pgsql1.dbt2.internal;60;1653527459;0;65.92;0.00;8.78;0.00;0.00;25.31
pgsql1.dbt2.internal;60;1653527459;1;72.83;0.00;9.32;0.00;0.00;17.85
pgsql1.dbt2.internal;60;1653527459;2;72.19;0.00;8.60;0.00;0.00;19.21
pgsql1.dbt2.internal;60;1653527459;3;67.89;0.00;10.60;0.00;0.00;21.52
pgsql1.dbt2.internal;60;1653527459;4;72.79;0.00;9.80;0.00;0.00;17.41
pgsql1.dbt2.internal;60;1653527459;5;63.68;0.00;7.82;0.00;0.00;28.50
pgsql1.dbt2.internal;60;1653527519;-1;20.81;0.00;3.71;0.00;0.00;75.48
pgsql1.dbt2.internal;60;1653527519;0;17.31;0.00;3.52;0.00;0.00;79.17
pgsql1.dbt2.internal;60;1653527519;1;23.42;0.00;3.13;0.00;0.00;73.45
pgsql1.dbt2.internal;60;1653527519;2;22.53;0.00;4.17;0.00;0.00;73.30
pgsql1.dbt2.internal;60;1653527519;3;16.51;0.00;4.05;0.00;0.00;79.44
pgsql1.dbt2.internal;60;1653527519;4;17.35;0.00;3.32;0.00;0.00;79.33
pgsql1.dbt2.internal;60;1653527519;5;27.72;0.00;4.09;0.00;0.00;68.19
