# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
pgsql1.dbt2.internal;60;1653527099;lo;15.05;15.05;5.02;5.02;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527099;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527099;eth1;1.15;0.62;0.07;0.07;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527159;lo;13.38;13.38;2.34;2.34;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527159;eth0;0.57;0.08;0.04;0.01;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527159;eth1;0.57;0.05;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527219;lo;12.85;12.85;2.19;2.19;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527219;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527219;eth1;0.57;0.05;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527279;lo;13.33;13.33;2.30;2.30;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527279;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527279;eth1;0.58;0.07;0.04;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527339;lo;13.37;13.37;2.34;2.34;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527339;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527339;eth1;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527399;lo;21.83;21.83;6.85;6.85;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527399;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527399;eth1;1.23;0.72;0.08;0.08;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527459;lo;9.20;9.20;2.40;2.40;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527459;eth0;0.50;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527459;eth1;0.72;0.18;0.04;0.02;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527519;lo;4.42;4.42;1.38;1.38;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527519;eth0;0.55;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527519;eth1;0.65;0.13;0.04;0.01;0.00;0.00;0.00;0.00
