ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,query,state,state_change
1653527533.085343,,7986,,,"",,,2022-05-26 01:12:11.991172+00,,,"",,
1653527533.085343,,7988,10,postgres,"",,,2022-05-26 01:12:11.991607+00,,,"",,
1653527533.085343,dbt3,8025,10,postgres,psql,,-1,2022-05-26 01:12:13.080272+00,2022-05-26 01:12:13.081432+00,2022-05-26 01:12:13.081432+00,SELECT nextval('dataset');,active,2022-05-26 01:12:13.081433+00
1653527533.085343,dbt3,8032,10,postgres,psql,,-1,2022-05-26 01:12:13.084087+00,2022-05-26 01:12:13.085343+00,2022-05-26 01:12:13.085343+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2022-05-26 01:12:13.085344+00
1653527533.085343,dbt3,8033,10,postgres,psql,,-1,2022-05-26 01:12:13.08428+00,2022-05-26 01:12:13.085343+00,2022-05-26 01:12:13.085343+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2022-05-26 01:12:13.085344+00
1653527533.085343,dbt3,8035,10,postgres,psql,,-1,2022-05-26 01:12:13.084706+00,2022-05-26 01:12:13.085732+00,2022-05-26 01:12:13.085732+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2022-05-26 01:12:13.085733+00
1653527533.085343,dbt3,8036,10,postgres,psql,,-1,2022-05-26 01:12:13.084886+00,2022-05-26 01:12:13.085861+00,2022-05-26 01:12:13.085861+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2022-05-26 01:12:13.085862+00
1653527533.085343,,7984,,,"",,,2022-05-26 01:12:11.990724+00,,,"",,
1653527533.085343,,7983,,,"",,,2022-05-26 01:12:11.990472+00,,,"",,
1653527533.085343,,7985,,,"",,,2022-05-26 01:12:11.99095+00,,,"",,
1653527593.099365,,7986,,,"",,,2022-05-26 01:12:11.991172+00,,,"",,
1653527593.099365,,7988,10,postgres,"",,,2022-05-26 01:12:11.991607+00,,,"",,
1653527593.099365,dbt3,8149,10,postgres,psql,,-1,2022-05-26 01:13:03.372702+00,2022-05-26 01:13:03.374274+00,2022-05-26 01:13:03.374475+00,"select
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice,
	sum(l_quantity)
from
	customer,
	orders,
	lineitem
where
	o_orderkey in (
		select
			l_orderkey
		from
			lineitem
		group by
			l_orderkey having
				sum(l_quantity) > 314
	)
	and c_custkey = o_custkey
	and o_orderkey = l_orderkey
group by
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice
order by
	o_totalprice desc,
	o_orderdate
LIMIT 100;",active,2022-05-26 01:13:03.374476+00
1653527593.099365,dbt3,8150,10,postgres,psql,,,2022-05-26 01:13:03.379446+00,2022-05-26 01:13:03.374274+00,2022-05-26 01:13:03.374475+00,"select
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice,
	sum(l_quantity)
from
	customer,
	orders,
	lineitem
where
	o_orderkey in (
		select
			l_orderkey
		from
			lineitem
		group by
			l_orderkey having
				sum(l_quantity) > 314
	)
	and c_custkey = o_custkey
	and o_orderkey = l_orderkey
group by
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice
order by
	o_totalprice desc,
	o_orderdate
LIMIT 100;",active,2022-05-26 01:13:03.381356+00
1653527593.099365,dbt3,8151,10,postgres,psql,,,2022-05-26 01:13:03.379688+00,2022-05-26 01:13:03.374274+00,2022-05-26 01:13:03.374475+00,"select
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice,
	sum(l_quantity)
from
	customer,
	orders,
	lineitem
where
	o_orderkey in (
		select
			l_orderkey
		from
			lineitem
		group by
			l_orderkey having
				sum(l_quantity) > 314
	)
	and c_custkey = o_custkey
	and o_orderkey = l_orderkey
group by
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice
order by
	o_totalprice desc,
	o_orderdate
LIMIT 100;",active,2022-05-26 01:13:03.381456+00
1653527593.099365,dbt3,8166,10,postgres,psql,,-1,2022-05-26 01:13:13.094795+00,2022-05-26 01:13:13.097797+00,2022-05-26 01:13:13.097797+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV);",active,2022-05-26 01:13:13.097798+00
1653527593.099365,dbt3,8165,10,postgres,psql,,-1,2022-05-26 01:13:13.091926+00,2022-05-26 01:13:13.093993+00,2022-05-26 01:13:13.093993+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2022-05-26 01:13:13.093994+00
1653527593.099365,dbt3,8167,10,postgres,psql,,-1,2022-05-26 01:13:13.09752+00,2022-05-26 01:13:13.099365+00,2022-05-26 01:13:13.099365+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2022-05-26 01:13:13.099366+00
1653527593.099365,,7984,,,"",,,2022-05-26 01:12:11.990724+00,,,"",,
1653527593.099365,,7983,,,"",,,2022-05-26 01:12:11.990472+00,,,"",,
1653527593.099365,,7985,,,"",,,2022-05-26 01:12:11.99095+00,,,"",,
1653527653.104808,,7986,,,"",,,2022-05-26 01:12:11.991172+00,,,"",,
1653527653.104808,,7988,10,postgres,"",,,2022-05-26 01:12:11.991607+00,,,"",,
1653527653.104808,dbt3,8232,10,postgres,psql,,-1,2022-05-26 01:14:06.795639+00,2022-05-26 01:14:06.797266+00,2022-05-26 01:14:06.797469+00,"select
	l_orderkey,
	sum(l_extendedprice * (1 - l_discount)) as revenue,
	o_orderdate,
	o_shippriority
from
	customer,
	orders,
	lineitem
where
	c_mktsegment = 'MACHINERY'
	and c_custkey = o_custkey
	and l_orderkey = o_orderkey
	and o_orderdate < date '1995-03-05'
	and l_shipdate > date '1995-03-05'
group by
	l_orderkey,
	o_orderdate,
	o_shippriority
order by
	revenue desc,
	o_orderdate
LIMIT 10;",active,2022-05-26 01:14:06.79747+00
1653527653.104808,dbt3,8233,10,postgres,psql,,,2022-05-26 01:14:06.80263+00,2022-05-26 01:14:06.797266+00,2022-05-26 01:14:06.797469+00,"select
	l_orderkey,
	sum(l_extendedprice * (1 - l_discount)) as revenue,
	o_orderdate,
	o_shippriority
from
	customer,
	orders,
	lineitem
where
	c_mktsegment = 'MACHINERY'
	and c_custkey = o_custkey
	and l_orderkey = o_orderkey
	and o_orderdate < date '1995-03-05'
	and l_shipdate > date '1995-03-05'
group by
	l_orderkey,
	o_orderdate,
	o_shippriority
order by
	revenue desc,
	o_orderdate
LIMIT 10;",active,2022-05-26 01:14:06.804669+00
1653527653.104808,dbt3,8234,10,postgres,psql,,,2022-05-26 01:14:06.80288+00,2022-05-26 01:14:06.797266+00,2022-05-26 01:14:06.797469+00,"select
	l_orderkey,
	sum(l_extendedprice * (1 - l_discount)) as revenue,
	o_orderdate,
	o_shippriority
from
	customer,
	orders,
	lineitem
where
	c_mktsegment = 'MACHINERY'
	and c_custkey = o_custkey
	and l_orderkey = o_orderkey
	and o_orderdate < date '1995-03-05'
	and l_shipdate > date '1995-03-05'
group by
	l_orderkey,
	o_orderdate,
	o_shippriority
order by
	revenue desc,
	o_orderdate
LIMIT 10;",active,2022-05-26 01:14:06.80472+00
1653527653.104808,dbt3,8248,10,postgres,psql,,-1,2022-05-26 01:14:13.093872+00,2022-05-26 01:14:13.100146+00,2022-05-26 01:14:13.100146+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2022-05-26 01:14:13.100147+00
1653527653.104808,dbt3,8250,10,postgres,psql,,-1,2022-05-26 01:14:13.102887+00,2022-05-26 01:14:13.104808+00,2022-05-26 01:14:13.104808+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2022-05-26 01:14:13.104809+00
1653527653.104808,dbt3,8247,10,postgres,psql,,-1,2022-05-26 01:14:13.094533+00,2022-05-26 01:14:13.096455+00,2022-05-26 01:14:13.096455+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV);",active,2022-05-26 01:14:13.096457+00
1653527653.104808,,7984,,,"",,,2022-05-26 01:12:11.990724+00,,,"",,
1653527653.104808,,7983,,,"",,,2022-05-26 01:12:11.990472+00,,,"",,
1653527653.104808,,7985,,,"",,,2022-05-26 01:12:11.99095+00,,,"",,
1653527713.100083,,7986,,,"",,,2022-05-26 01:12:11.991172+00,,,"",,
1653527713.100083,,7988,10,postgres,"",,,2022-05-26 01:12:11.991607+00,,,"",,
1653527713.100083,dbt3,8371,10,postgres,psql,,-1,2022-05-26 01:15:13.010623+00,2022-05-26 01:15:13.012237+00,2022-05-26 01:15:13.012237+00,UPDATE time_statistics SET e_time = CURRENT_TIMESTAMP WHERE task_name = 'PERF.POWER.Q10',active,2022-05-26 01:15:13.012238+00
