ctime,relname,pid,mode,granted
1653527533.085559,dataset,8025,RowExclusiveLock,t
1653527533.085559,pg_index,8035,AccessShareLock,t
1653527533.085559,pg_namespace,8035,AccessShareLock,t
1653527533.085559,pg_opclass,8032,AccessShareLock,t
1653527533.085559,pg_opclass_am_name_nsp_index,8032,AccessShareLock,t
1653527593.090189,customer,8149,AccessShareLock,t
1653527593.090189,customer,8151,AccessShareLock,t
1653527593.090189,customer,8150,AccessShareLock,t
1653527593.090189,customer_c_mktsegment_c_custkey_idx,8149,AccessShareLock,t
1653527593.090189,customer_c_nationkey_c_custkey_idx,8149,AccessShareLock,t
1653527593.090189,customer_c_phone_c_acctbal_c_custkey_idx,8149,AccessShareLock,t
1653527593.090189,customer_c_phone_idx_c_acctbal,8149,AccessShareLock,t
1653527593.090189,lineitem,8151,AccessShareLock,t
1653527593.090189,lineitem,8150,AccessShareLock,t
1653527593.090189,lineitem,8149,AccessShareLock,t
1653527593.090189,lineitem_l_orderkey_idx_l_returnflag,8149,AccessShareLock,t
1653527593.090189,lineitem_l_orderkey_idx_part2,8149,AccessShareLock,t
1653527593.090189,lineitem_l_orderkey_l_suppkey_idx,8149,AccessShareLock,t
1653527593.090189,lineitem_l_orderkey_l_suppkey_l_quantity_idx,8149,AccessShareLock,t
1653527593.090189,lineitem_l_orderkey_l_suppkey_l_quantity_idx,8151,AccessShareLock,t
1653527593.090189,lineitem_l_orderkey_l_suppkey_l_quantity_idx,8150,AccessShareLock,t
1653527593.090189,lineitem_l_partkey_l_quantity_l_shipmode_idx,8149,AccessShareLock,t
1653527593.090189,lineitem_l_partkey_l_suppkey_l_shipdate_l_quantity_idx,8149,AccessShareLock,t
1653527593.090189,lineitem_l_receiptdate_idx,8149,AccessShareLock,t
1653527593.090189,lineitem_l_shipdate_idx,8149,AccessShareLock,t
1653527593.090189,orders,8150,AccessShareLock,t
1653527593.090189,orders,8151,AccessShareLock,t
1653527593.090189,orders,8149,AccessShareLock,t
1653527593.090189,orders_o_custkey_idx,8149,AccessShareLock,t
1653527593.090189,orders_o_orderdate_idx,8149,AccessShareLock,t
1653527593.090189,orders_o_orderkey_o_orderdate_idx,8149,AccessShareLock,t
1653527593.090189,pk_customer,8149,AccessShareLock,t
1653527593.090189,pk_lineitem,8149,AccessShareLock,t
1653527593.090189,pk_orders,8149,AccessShareLock,t
1653527653.096681,customer,8232,AccessShareLock,t
1653527653.096681,customer,8233,AccessShareLock,t
1653527653.096681,customer,8234,AccessShareLock,t
1653527653.096681,customer_c_mktsegment_c_custkey_idx,8232,AccessShareLock,t
1653527653.096681,customer_c_mktsegment_c_custkey_idx,8233,AccessShareLock,t
1653527653.096681,customer_c_mktsegment_c_custkey_idx,8234,AccessShareLock,t
1653527653.096681,customer_c_nationkey_c_custkey_idx,8232,AccessShareLock,t
1653527653.096681,customer_c_phone_c_acctbal_c_custkey_idx,8232,AccessShareLock,t
1653527653.096681,customer_c_phone_idx_c_acctbal,8232,AccessShareLock,t
1653527653.096681,lineitem,8232,AccessShareLock,t
1653527653.096681,lineitem,8233,AccessShareLock,t
1653527653.096681,lineitem,8234,AccessShareLock,t
1653527653.096681,lineitem_l_orderkey_idx_l_returnflag,8232,AccessShareLock,t
1653527653.096681,lineitem_l_orderkey_idx_part2,8232,AccessShareLock,t
1653527653.096681,lineitem_l_orderkey_l_suppkey_idx,8232,AccessShareLock,t
1653527653.096681,lineitem_l_orderkey_l_suppkey_l_quantity_idx,8232,AccessShareLock,t
1653527653.096681,lineitem_l_partkey_l_quantity_l_shipmode_idx,8232,AccessShareLock,t
1653527653.096681,lineitem_l_partkey_l_suppkey_l_shipdate_l_quantity_idx,8232,AccessShareLock,t
1653527653.096681,lineitem_l_receiptdate_idx,8232,AccessShareLock,t
1653527653.096681,lineitem_l_shipdate_idx,8232,AccessShareLock,t
1653527653.096681,orders,8234,AccessShareLock,t
1653527653.096681,orders,8233,AccessShareLock,t
1653527653.096681,orders,8232,AccessShareLock,t
1653527653.096681,orders_o_custkey_idx,8232,AccessShareLock,t
1653527653.096681,orders_o_orderdate_idx,8232,AccessShareLock,t
1653527653.096681,orders_o_orderkey_o_orderdate_idx,8232,AccessShareLock,t
1653527653.096681,pk_customer,8232,AccessShareLock,t
1653527653.096681,pk_lineitem,8232,AccessShareLock,t
1653527653.096681,pk_orders,8232,AccessShareLock,t
1653527713.100261,pg_index,8382,AccessShareLock,t
1653527713.100261,pg_index,8378,AccessShareLock,t
1653527713.100261,pg_namespace,8378,AccessShareLock,t
1653527713.100261,time_statistics,8371,RowExclusiveLock,t
