ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1653527533.085343,,0,0,0,9504,135495,36827,33997,1,0,0
1653527533.085343,postgres,0,145,8,2017,26414,90598,12103,0,0,0
1653527533.085343,dbt3,1,12340,1,582381893,560397033,15200900538,701790508,390906737,2104,58584
1653527533.085343,template1,0,0,0,0,0,0,0,0,0,0
1653527533.085343,template0,0,0,0,0,0,0,0,0,0,0
1653527593.097797,,0,0,0,9581,136317,37068,34210,1,0,0
1653527593.097797,postgres,0,147,8,2086,27746,92569,12768,0,0,0
1653527593.097797,dbt3,5,12414,1,592673878,576234941,15344223704,709113313,390981361,2111,58584
1653527593.097797,template1,0,0,0,0,0,0,0,0,0,0
1653527593.097797,template0,0,0,0,0,0,0,0,0,0,0
1653527653.096455,,0,0,0,9642,136867,37241,34355,1,0,0
1653527653.096455,postgres,0,149,8,2118,27797,93810,12782,0,0,0
1653527653.096455,dbt3,5,12463,1,608414784,588982196,15614099841,724840565,390981365,2115,58584
1653527653.096455,template1,0,0,0,0,0,0,0,0,0,0
1653527653.096455,template0,0,0,0,0,0,0,0,0,0,0
1653527713.099973,,0,0,0,9713,138087,37576,34662,1,0,0
1653527713.099973,postgres,0,151,8,2150,27848,95051,12796,0,0,0
1653527713.099973,dbt3,2,12564,1,615825110,591955624,15926207955,740902074,390981387,2131,58599
1653527713.099973,template1,0,0,0,0,0,0,0,0,0,0
1653527713.099973,template0,0,0,0,0,0,0,0,0,0,0
