ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1653527533.085861,pg_catalog,pg_transform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_am,14425,14425,0,0,0,0,0,0,0,0,557,13868,0,0,,,,
1653527533.085861,public,orders,4,60000000,58,0,15000000,0,0,0,14999319,0,1920250,1145424,13,234,0,0,1,0
1653527533.085861,pg_catalog,pg_init_privs,0,0,1000,0,0,0,0,0,0,0,0,0,156,1018,0,0,0,0
1653527533.085861,pg_toast,pg_toast_3256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_toast,pg_toast_2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_replication_origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527533.085861,pg_toast,pg_toast_2619,0,0,741,1279,198,0,185,0,29,14,400,1147,378,1030,,,,
1653527533.085861,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527533.085861,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_authid,207,1164,12738,12738,0,0,0,0,0,0,549,12396,2637,22839,0,0,0,0
1653527533.085861,pg_catalog,pg_subscription_rel,222,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_shdepend,0,0,1200,199,0,0,0,0,0,0,78,121,312,1248,,,,
1653527533.085861,pg_toast,pg_toast_2615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_toast,pg_toast_3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_namespace,226,2876,14348,9967,14,0,0,0,14,0,720,10135,2238,19993,0,0,0,0
1653527533.085861,pg_catalog,pg_shdescription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527533.085861,pg_catalog,pg_ts_dict,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527533.085861,pg_catalog,pg_seclabel,0,0,1000,0,0,0,0,0,0,0,0,0,77,1923,0,0,0,0
1653527533.085861,pg_catalog,pg_description,0,0,1000,0,0,0,0,0,0,0,0,0,234,1940,0,0,0,0
1653527533.085861,public,region,1,5,8,0,5,0,0,0,5,0,5,14,2,10,,,,
1653527533.085861,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_tablespace,2,4,3009,3009,0,0,0,0,0,0,724,2287,1474,4596,0,0,0,0
1653527533.085861,information_schema,sql_parts,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1653527533.085861,pg_catalog,pg_depend,0,0,9289,10083,1816,0,1701,0,8929,1701,1229,10756,1798,25438,,,,
1653527533.085861,pg_catalog,pg_db_role_setting,0,0,23668,0,0,0,0,0,0,0,0,0,543,46793,0,0,0,0
1653527533.085861,public,supplier,5,300000,42,0,100000,0,0,0,100000,0,2719,24454,6,111,0,0,1,0
1653527533.085861,pg_catalog,pg_user_mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527533.085861,pg_catalog,pg_largeobject,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_toast,pg_toast_3456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_operator,0,0,29831,135420,0,0,0,0,0,0,7463,89828,5449,61651,,,,
1653527533.085861,public,time_statistics,1,1,,,3,1,0,1,3,1,2,4,,,,,,
1653527533.085861,pg_catalog,pg_index,1000,84035,67467,88567,355,72,319,54,191,7,3726,81615,2622,76312,,,,
1653527533.085861,pg_catalog,pg_attribute,847,4004,198436,488223,2579,0,2334,0,3216,588,11601,209318,4272,412277,,,,
1653527533.085861,pg_toast,pg_toast_17506,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
1653527533.085861,pg_catalog,pg_aggregate,0,0,3179,3179,0,0,0,0,0,0,523,2656,1061,4644,0,0,0,0
1653527533.085861,pg_toast,pg_toast_14532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_rewrite,0,0,1074,937,63,0,63,0,139,63,507,752,318,1530,534,414,116,858
1653527533.085861,pg_toast,pg_toast_1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_toast,pg_toast_3079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,public,nation,1,25,42,0,25,0,0,0,25,0,5,48,2,50,,,,
1653527533.085861,pg_catalog,pg_type,0,0,94776,93546,350,0,332,0,619,158,2358,92588,3106,194846,0,0,0,0
1653527533.085861,pg_catalog,pg_amop,0,0,46083,99799,0,0,0,0,0,0,4185,78306,4507,94512,,,,
1653527533.085861,pg_toast,pg_toast_3381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_toast,pg_toast_3466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_range,0,0,1756,0,0,0,0,0,0,0,0,0,2256,1256,,,,
1653527533.085861,pg_catalog,pg_ts_config,0,0,5628,5628,0,0,0,0,0,0,442,5186,1860,6582,,,,
1653527533.085861,pg_toast,pg_toast_6100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_sequence,0,0,48,48,9,0,8,0,1,8,40,25,80,27,,,,
1653527533.085861,pg_catalog,pg_inherits,0,0,541,0,0,0,0,0,0,0,0,0,78,1004,,,,
1653527533.085861,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527533.085861,pg_catalog,pg_database,516,1662,18053,18051,1,0,0,0,1,0,473,18098,2714,27117,0,0,0,0
1653527533.085861,pg_toast,pg_toast_17491,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
1653527533.085861,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,information_schema,sql_sizing,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1653527533.085861,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_default_acl,0,0,368,0,0,0,0,0,0,0,0,0,77,659,0,0,0,0
1653527533.085861,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527533.085861,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_amproc,154,539,32769,81544,0,0,0,0,0,0,1485,31915,2487,70203,,,,
1653527533.085861,pg_catalog,pg_constraint,0,0,688,616,72,0,64,0,115,64,248,659,459,1415,0,0,0,0
1653527533.085861,pg_catalog,pg_proc,0,0,37026,52298,0,0,0,0,0,0,7801,32651,7417,74603,0,0,0,0
1653527533.085861,pg_toast,pg_toast_17501,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
1653527533.085861,public,part,8,10000000,26,0,2000000,0,0,0,2000026,0,365372,188227,9,136,0,0,1,0
1653527533.085861,public,customer,6,7500000,28,0,1500000,0,0,0,1500073,0,327046,174717,10,119,0,0,1,0
1653527533.085861,pg_toast,pg_toast_1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_trigger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527533.085861,pg_catalog,pg_language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527533.085861,pg_toast,pg_toast_2328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_toast,pg_toast_14522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_toast,pg_toast_17486,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
1653527533.085861,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_toast,pg_toast_1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_collation,0,0,63,63,0,0,0,0,0,0,48,15,144,45,0,0,0,0
1653527533.085861,pg_catalog,pg_extension,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
1653527533.085861,pg_catalog,pg_subscription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527533.085861,information_schema,sql_implementation_info,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1653527533.085861,pg_toast,pg_toast_2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_policy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527533.085861,public,lineitem,10,539874468,56,0,59986052,0,0,0,59985695,0,12672580,3545293,21,528,0,0,1,0
1653527533.085861,pg_catalog,pg_event_trigger,0,0,616,0,0,0,0,0,0,0,0,0,78,538,0,0,0,0
1653527533.085861,pg_toast,pg_toast_17481,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
1653527533.085861,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527533.085861,pg_catalog,pg_ts_template,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_largeobject_metadata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_toast,pg_toast_826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_toast,pg_toast_1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_opclass,154,154,41038,452775,0,0,0,0,0,0,1598,181541,2344,48075,,,,
1653527533.085861,pg_toast,pg_toast_2618,0,0,574,2009,0,0,0,0,0,0,534,414,116,858,,,,
1653527533.085861,public,partsupp,2,16000000,42,0,8000000,0,0,0,8002486,0,923095,806966,12,126,0,0,1,0
1653527533.085861,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527533.085861,pg_catalog,pg_class,3324,399496,171198,150153,593,117,541,111,448,2,6457,174163,4906,353847,,,,
1653527533.085861,pg_catalog,pg_partitioned_table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653527533.085861,pg_toast,pg_toast_3118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_toast,pg_toast_3350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_toast,pg_toast_6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1653527533.085861,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
