BEGIN;
BEGIN
select
	ps_partkey,
	sum(ps_supplycost * ps_availqty) as value
from
	partsupp,
	supplier,
	nation
where
	ps_suppkey = s_suppkey
	and s_nationkey = n_nationkey
	and n_name = 'INDIA'
group by
	ps_partkey having
		sum(ps_supplycost * ps_availqty) > (
			select
				sum(ps_supplycost * ps_availqty) * 0.0000100000
			from
				partsupp,
				supplier,
				nation
			where
				ps_suppkey = s_suppkey
				and s_nationkey = n_nationkey
				and n_name = 'INDIA'
		)
order by
	value desc;
 ps_partkey |    value    
------------+-------------
     314736 | 23375265.16
    1720314 | 20139080.97
    1355766 | 18312927.72
     977177 | 18082426.89
     599006 | 18016565.00
    1582724 | 17904346.18
     478839 | 17877918.64
     193798 | 17877196.90
     510289 | 17801094.22
    1380417 | 17718149.12
    1071138 | 17616413.97
    1198336 | 17455637.08
     573149 | 17425837.73
     929550 | 17377799.97
    1824237 | 17331565.48
     113094 | 17256622.80
     523481 | 17182384.98
     466323 | 17170442.27
    1367675 | 17170128.24
    1466074 | 17065347.48
     712218 | 17048885.70
    1847556 | 17026818.76
      44602 | 16885507.28
    1387315 | 16859033.33
    1083540 | 16841216.42
      38275 | 16796960.90
    1157604 | 16778611.74
    1985423 | 16711387.00
     549556 | 16679454.06
     429354 | 16677240.55
     353042 | 16602625.14
    1155976 | 16573677.90
    1273673 | 16552599.63
    1356021 | 16450682.74
     976684 | 16429087.08
     967766 | 16387181.89
     184638 | 16372801.32
    1139881 | 16274908.29
    1256710 | 16269711.22
    1246655 | 16190867.57
     316501 | 16141927.56
    1108493 | 16128788.86
     389733 | 16067208.20
    1798677 | 16027114.92
     692808 | 15976488.42
    1957040 | 15957909.74
    1287510 | 15951654.83
        124 | 15950505.78
     636120 | 15934921.73
     453910 | 15896570.34
     159846 | 15835699.39
     145045 | 15789028.83
    1730335 | 15685308.76
     610366 | 15684848.59
    1098991 | 15658557.91
    1329110 | 15628256.29
     106425 | 15592187.48
     936276 | 15570790.64
     393718 | 15565439.30
      90822 | 15522311.92
    1975397 | 15419561.60
     747558 | 15393288.76
     812526 | 15380578.59
    1449698 | 15372408.71
     618272 | 15356984.34
     681139 | 15353235.49
    1259094 | 15340089.05
     155817 | 15326776.46
     810190 | 15322024.92
      12731 | 15308741.18
    1375857 | 15244073.42
    1454085 | 15231880.48
    1295065 | 15218730.09
    1990052 | 15211438.46
    1722773 | 15191732.19
    1570044 | 15191541.32
    1564855 | 15183873.59
    1042635 | 15163056.02
     134845 | 15148734.76
    1139848 | 15141469.17
    1618014 | 15117478.90
     394051 | 15071195.52
    1389756 | 15018246.75
     182166 | 15003123.99
    1329327 | 14999999.15
    1543572 | 14998542.04
    1118721 | 14983371.97
     508402 | 14924601.72
    1899687 | 14918769.15
     157446 | 14914905.25
    1246645 | 14914085.20
     900071 | 14879882.91
     827606 | 14877731.76
     980139 | 14871858.75
       9833 | 14859470.34
     897264 | 14840426.56
    1333230 | 14839523.10
    1633150 | 14836453.32
     655226 | 14810146.53
     103736 | 14781024.28
    1693995 | 14750384.45
    1056600 | 14748222.68
     925531 | 14735677.17
    1721393 | 14731616.32
    1867664 | 14712247.32
     235526 | 14707434.38
    1585826 | 14679120.30
     941123 | 14674101.94
    1238126 | 14653436.82
     706269 | 14648169.62
    1230859 | 14645057.60
    1771098 | 14643551.09
    1300852 | 14627764.80
     936380 | 14627108.77
    1045439 | 14622402.37
