# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;areq-sz;aqu-sz;await;svctm;%util
pgsql1.dbt2.internal;60;1653527593;nvme0n1;1068.23;0.07;39652.67;37.12;3.83;3.53;0.12;12.73
pgsql1.dbt2.internal;60;1653527593;nvme0n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527593;nvme0n1p2;1068.23;0.07;39652.67;37.12;3.82;3.53;0.12;12.73
pgsql1.dbt2.internal;60;1653527593;nvme0n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527593;nvme1n1;1070.83;0.00;39628.27;37.01;1.27;1.07;0.14;14.48
pgsql1.dbt2.internal;60;1653527593;nvme1n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527593;nvme1n1p2;1070.83;0.00;39628.27;37.01;1.24;1.07;0.14;14.48
pgsql1.dbt2.internal;60;1653527593;nvme1n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527593;md127;2070.48;0.07;71525.07;34.55;4.42;2.13;0.08;15.54
pgsql1.dbt2.internal;60;1653527593;md126;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
