# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
pgsql1.dbt2.internal;60;1653527593;-1;26.41;0.00;7.39;0.00;0.00;66.19
pgsql1.dbt2.internal;60;1653527593;0;8.90;0.00;2.34;0.00;0.00;88.76
pgsql1.dbt2.internal;60;1653527593;1;34.89;0.00;13.39;0.00;0.00;51.72
pgsql1.dbt2.internal;60;1653527593;2;39.41;0.00;10.12;0.00;0.00;50.47
pgsql1.dbt2.internal;60;1653527593;3;40.77;0.00;11.41;0.00;0.00;47.82
pgsql1.dbt2.internal;60;1653527593;4;15.96;0.00;4.60;0.00;0.00;79.44
pgsql1.dbt2.internal;60;1653527593;5;18.53;0.00;2.49;0.00;0.00;78.98
pgsql1.dbt2.internal;60;1653527653;-1;32.25;0.00;11.04;0.00;0.00;56.71
pgsql1.dbt2.internal;60;1653527653;0;8.45;0.00;2.63;0.00;0.00;88.92
pgsql1.dbt2.internal;60;1653527653;1;32.78;0.00;22.28;0.00;0.00;44.93
pgsql1.dbt2.internal;60;1653527653;2;27.12;0.00;8.72;0.00;0.00;64.16
pgsql1.dbt2.internal;60;1653527653;3;57.42;0.00;23.19;0.00;0.00;19.39
pgsql1.dbt2.internal;60;1653527653;4;27.77;0.00;3.43;0.00;0.00;68.80
pgsql1.dbt2.internal;60;1653527653;5;39.88;0.00;5.93;0.00;0.00;54.19
pgsql1.dbt2.internal;60;1653527713;-1;42.49;0.00;4.05;0.00;0.00;53.47
pgsql1.dbt2.internal;60;1653527713;0;64.89;0.00;4.17;0.00;0.00;30.94
pgsql1.dbt2.internal;60;1653527713;1;68.41;0.00;5.10;0.00;0.00;26.49
pgsql1.dbt2.internal;60;1653527713;2;78.30;0.00;6.82;0.00;0.00;14.88
pgsql1.dbt2.internal;60;1653527713;3;14.01;0.00;2.80;0.00;0.00;83.19
pgsql1.dbt2.internal;60;1653527713;4;21.43;0.00;4.08;0.00;0.00;74.49
pgsql1.dbt2.internal;60;1653527713;5;7.95;0.00;1.30;0.00;0.00;90.75
