task_name,s_time,e_time,diff_time,seconds
LOAD,2022-05-26 01:04:01.507083,2022-05-26 01:12:08.804521,00:08:07.297438,487.297438
PERF.POWER.RF1,2022-05-26 01:12:13.073267,2022-05-26 01:12:28.869797,00:00:15.79653,15.796530
PERF.POWER.Q14,2022-05-26 01:12:28.882719,2022-05-26 01:12:33.308252,00:00:04.425533,4.425533
PERF.POWER.Q2,2022-05-26 01:12:33.323541,2022-05-26 01:12:37.438808,00:00:04.115267,4.115267
PERF.POWER.Q9,2022-05-26 01:12:37.530871,2022-05-26 01:12:53.908981,00:00:16.37811,16.378110
PERF.POWER.Q20,2022-05-26 01:12:56.632657,2022-05-26 01:12:59.089778,00:00:02.457121,2.457121
PERF.POWER.Q6,2022-05-26 01:12:59.106499,2022-05-26 01:13:03.200289,00:00:04.09379,4.093790
PERF.POWER.Q17,2022-05-26 01:13:03.223286,2022-05-26 01:13:03.345613,00:00:00.122327,0.122327
PERF.POWER.Q18,2022-05-26 01:13:03.36673,2022-05-26 01:13:30.187529,00:00:26.820799,26.820799
PERF.POWER.Q8,2022-05-26 01:13:30.209124,2022-05-26 01:13:32.442173,00:00:02.233049,2.233049
PERF.POWER.Q21,2022-05-26 01:13:33.545719,2022-05-26 01:13:37.570751,00:00:04.025032,4.025032
PERF.POWER.Q13,2022-05-26 01:13:39.022505,2022-05-26 01:14:06.766899,00:00:27.744394,27.744394
PERF.POWER.Q3,2022-05-26 01:14:06.789372,2022-05-26 01:14:17.478124,00:00:10.688752,10.688752
PERF.POWER.Q22,2022-05-26 01:14:17.497908,2022-05-26 01:14:17.958293,00:00:00.460385,0.460385
PERF.POWER.Q16,2022-05-26 01:14:17.980322,2022-05-26 01:14:20.778934,00:00:02.798612,2.798612
PERF.POWER.Q4,2022-05-26 01:14:20.799088,2022-05-26 01:14:22.37635,00:00:01.577262,1.577262
PERF.POWER.Q11,2022-05-26 01:14:22.39984,2022-05-26 01:14:24.104273,00:00:01.704433,1.704433
PERF.POWER.Q15,2022-05-26 01:14:24.124447,2022-05-26 01:14:35.006485,00:00:10.882038,10.882038
PERF.POWER.Q1,2022-05-26 01:14:35.017508,2022-05-26 01:15:05.74023,00:00:30.722722,30.722722
PERF.POWER.Q10,2022-05-26 01:15:05.763178,2022-05-26 01:15:13.012237,00:00:07.249059,7.249059
PERF.POWER.Q19,2022-05-26 01:15:15.147003,2022-05-26 01:15:15.267458,00:00:00.120455,0.120455
PERF.POWER.Q5,2022-05-26 01:15:15.278091,2022-05-26 01:15:23.720904,00:00:08.442813,8.442813
PERF.POWER.Q7,2022-05-26 01:15:23.809904,2022-05-26 01:15:30.342595,00:00:06.532691,6.532691
PERF.POWER.Q12,2022-05-26 01:15:30.357439,2022-05-26 01:15:35.441057,00:00:05.083618,5.083618
PERF.POWER.RF2,2022-05-26 01:15:36.811182,2022-05-26 01:15:36.866474,00:00:00.055292,0.055292
PERF.POWER,2022-05-26 01:12:13.05448,2022-05-26 01:15:36.878472,00:03:23.823992,203.823992
PERF.THRUPUT.QS3.Q8,2022-05-26 01:15:39.218906,2022-05-26 01:15:44.802656,00:00:05.58375,5.583750
PERF.THRUPUT.QS2.Q6,2022-05-26 01:15:39.229923,2022-05-26 01:15:50.503014,00:00:11.273091,11.273091
PERF.THRUPUT.QS2.Q17,2022-05-26 01:15:50.567251,2022-05-26 01:15:50.884568,00:00:00.317317,0.317317
PERF.THRUPUT.QS1.Q21,2022-05-26 01:15:39.231139,2022-05-26 01:15:52.610037,00:00:13.378898,13.378898
PERF.THRUPUT.QS2.Q14,2022-05-26 01:15:50.917834,2022-05-26 01:16:04.229432,00:00:13.311598,13.311598
PERF.THRUPUT.QS3.Q5,2022-05-26 01:15:44.862727,2022-05-26 01:16:08.826379,00:00:23.963652,23.963652
PERF.THRUPUT.QS2.Q16,2022-05-26 01:16:04.348839,2022-05-26 01:16:13.220908,00:00:08.872069,8.872069
PERF.THRUPUT.QS2.Q19,2022-05-26 01:16:13.276776,2022-05-26 01:16:13.889103,00:00:00.612327,0.612327
PERF.THRUPUT.QS3.Q4,2022-05-26 01:16:08.89822,2022-05-26 01:16:14.005121,00:00:05.106901,5.106901
PERF.THRUPUT.RFST1.RF1,2022-05-26 01:15:38.962473,2022-05-26 01:16:15.62883,00:00:36.666357,36.666357
