ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,query,state,state_change
1653527738.984159,,8478,,,"",,,2022-05-26 01:15:37.844844+00,,,"",,
1653527738.984159,,8480,10,postgres,"",,,2022-05-26 01:15:37.845249+00,,,"",,
1653527738.984159,dbt3,8585,10,postgres,psql,,-1,2022-05-26 01:15:38.979498+00,2022-05-26 01:15:38.984159+00,2022-05-26 01:15:38.984159+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2022-05-26 01:15:38.98416+00
1653527738.984159,dbt3,8584,10,postgres,psql,,-1,2022-05-26 01:15:38.979712+00,,2022-05-26 01:15:38.982102+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",idle,2022-05-26 01:15:38.983281+00
1653527738.984159,dbt3,8592,10,postgres,psql,,-1,2022-05-26 01:15:38.981021+00,2022-05-26 01:15:38.982256+00,2022-05-26 01:15:38.982256+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2022-05-26 01:15:38.982257+00
1653527738.984159,dbt3,8593,10,postgres,psql,,-1,2022-05-26 01:15:38.982014+00,2022-05-26 01:15:38.983617+00,2022-05-26 01:15:38.983617+00,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2022-05-26 01:15:38.983619+00
1653527738.984159,,8476,,,"",,,2022-05-26 01:15:37.844531+00,,,"",,
1653527738.984159,,8475,,,"",,,2022-05-26 01:15:37.844378+00,,,"",,
1653527738.984159,,8477,,,"",,,2022-05-26 01:15:37.844692+00,,,"",,
1653527799.022586,,8478,,,"",,,2022-05-26 01:15:37.844844+00,,,"",,
1653527799.022586,,8480,10,postgres,"",,,2022-05-26 01:15:37.845249+00,,,"",,
1653527799.022586,dbt3,9211,10,postgres,psql,,-1,2022-05-26 01:16:27.972429+00,2022-05-26 01:16:27.984914+00,2022-05-26 01:16:27.985216+00,"select
	supp_nation,
	cust_nation,
	l_year,
	sum(volume) as revenue
from
	(
		select
			n1.n_name as supp_nation,
			n2.n_name as cust_nation,
			extract(year from l_shipdate) as l_year,
			l_extendedprice * (1 - l_discount) as volume
		from
			supplier,
			lineitem,
			orders,
			customer,
			nation n1,
			nation n2
		where
			s_suppkey = l_suppkey
			and o_orderkey = l_orderkey
			and c_custkey = o_custkey
			and s_nationkey = n1.n_nationkey
			and c_nationkey = n2.n_nationkey
			and (
				(n1.n_name = 'SAUDI ARABIA' and n2.n_name = 'ARGENTINA')
				or (n1.n_name = 'ARGENTINA' and n2.n_name = 'SAUDI ARABIA')
			)
			and l_shipdate between date '1995-01-01' and date '1996-12-31'
	) as shipping
group by
	supp_nation,
	cust_nation,
	l_year
order by
	supp_nation,
	cust_nation,
	l_year;",active,2022-05-26 01:16:27.985218+00
1653527799.022586,dbt3,9181,10,postgres,psql,,-1,2022-05-26 01:16:18.945434+00,2022-05-26 01:16:18.951866+00,2022-05-26 01:16:18.952171+00,"select
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice,
	sum(l_quantity)
from
	customer,
	orders,
	lineitem
where
	o_orderkey in (
		select
			l_orderkey
		from
			lineitem
		group by
			l_orderkey having
				sum(l_quantity) > 312
	)
	and c_custkey = o_custkey
	and o_orderkey = l_orderkey
group by
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice
order by
	o_totalprice desc,
	o_orderdate
LIMIT 100;",active,2022-05-26 01:16:18.952173+00
1653527799.022586,dbt3,9183,10,postgres,psql,,,2022-05-26 01:16:18.970433+00,2022-05-26 01:16:18.951866+00,2022-05-26 01:16:18.952171+00,"select
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice,
	sum(l_quantity)
from
	customer,
	orders,
	lineitem
where
	o_orderkey in (
		select
			l_orderkey
		from
			lineitem
		group by
			l_orderkey having
				sum(l_quantity) > 312
	)
	and c_custkey = o_custkey
	and o_orderkey = l_orderkey
group by
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice
order by
	o_totalprice desc,
	o_orderdate
LIMIT 100;",active,2022-05-26 01:16:18.974942+00
1653527799.022586,dbt3,9226,10,postgres,psql,,-1,2022-05-26 01:16:36.965121+00,2022-05-26 01:16:36.967968+00,2022-05-26 01:16:36.968302+00,"select
	nation,
	o_year,
	sum(amount) as sum_profit
from
	(
		select
			n_name as nation,
			extract(year from o_orderdate) as o_year,
			l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount
		from
			part,
			supplier,
			lineitem,
			partsupp,
			orders,
			nation
		where
			s_suppkey = l_suppkey
			and ps_suppkey = l_suppkey
			and ps_partkey = l_partkey
			and p_partkey = l_partkey
			and o_orderkey = l_orderkey
			and s_nationkey = n_nationkey
			and p_name like '%chocolate%'
	) as profit
group by
	nation,
	o_year
order by
	nation,
	o_year desc;",active,2022-05-26 01:16:36.968304+00
1653527799.022586,dbt3,9228,10,postgres,psql,,,2022-05-26 01:16:36.993405+00,2022-05-26 01:16:36.967968+00,2022-05-26 01:16:36.968302+00,"select
	nation,
	o_year,
	sum(amount) as sum_profit
from
	(
		select
			n_name as nation,
			extract(year from o_orderdate) as o_year,
			l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount
		from
			part,
			supplier,
			lineitem,
			partsupp,
			orders,
			nation
		where
			s_suppkey = l_suppkey
			and ps_suppkey = l_suppkey
			and ps_partkey = l_partkey
			and p_partkey = l_partkey
			and o_orderkey = l_orderkey
			and s_nationkey = n_nationkey
			and p_name like '%chocolate%'
	) as profit
group by
	nation,
	o_year
order by
	nation,
	o_year desc;",active,2022-05-26 01:16:36.997663+00
1653527799.022586,dbt3,9227,10,postgres,psql,,,2022-05-26 01:16:36.993943+00,2022-05-26 01:16:36.967968+00,2022-05-26 01:16:36.968302+00,"select
	nation,
	o_year,
	sum(amount) as sum_profit
from
	(
		select
			n_name as nation,
			extract(year from o_orderdate) as o_year,
			l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount
		from
			part,
			supplier,
			lineitem,
			partsupp,
			orders,
			nation
		where
			s_suppkey = l_suppkey
			and ps_suppkey = l_suppkey
			and ps_partkey = l_partkey
			and p_partkey = l_partkey
			and o_orderkey = l_orderkey
			and s_nationkey = n_nationkey
			and p_name like '%chocolate%'
	) as profit
group by
	nation,
	o_year
order by
	nation,
	o_year desc;",active,2022-05-26 01:16:37.003229+00
