ctime,relname,pid,mode,granted
1653527738.982102,lineitem,8591,AccessShareLock,t
1653527738.982102,lineitem_l_orderkey_idx_l_returnflag,8591,AccessShareLock,t
1653527738.982102,lineitem_l_orderkey_idx_part2,8591,AccessShareLock,t
1653527738.982102,lineitem_l_orderkey_l_suppkey_idx,8591,AccessShareLock,t
1653527738.982102,lineitem_l_orderkey_l_suppkey_l_quantity_idx,8591,AccessShareLock,t
1653527738.982102,lineitem_l_partkey_l_quantity_l_shipmode_idx,8591,AccessShareLock,t
1653527738.982102,lineitem_l_partkey_l_suppkey_l_shipdate_l_quantity_idx,8591,AccessShareLock,t
1653527738.982102,lineitem_l_receiptdate_idx,8591,AccessShareLock,t
1653527738.982102,lineitem_l_shipdate_idx,8591,AccessShareLock,t
1653527738.982102,part,8591,AccessShareLock,t
1653527738.982102,part_ios_test1,8591,AccessShareLock,t
1653527738.982102,part_p_container_p_brand_p_partkey_idx,8591,AccessShareLock,t
1653527738.982102,part_p_size_idx,8591,AccessShareLock,t
1653527738.982102,part_p_type_p_partkey_idx,8591,AccessShareLock,t
1653527738.982102,pg_amop,8591,AccessShareLock,t
1653527738.982102,pg_amop_fam_strat_index,8591,AccessShareLock,t
1653527738.982102,pg_index,8592,AccessShareLock,t
1653527738.982102,pk_lineitem,8591,AccessShareLock,t
1653527738.982102,pk_part,8591,AccessShareLock,t
1653527799.017805,customer,9183,AccessShareLock,t
1653527799.017805,customer,9181,AccessShareLock,t
1653527799.017805,customer,9211,AccessShareLock,t
1653527799.017805,customer,9213,AccessShareLock,t
1653527799.017805,customer,9182,AccessShareLock,t
1653527799.017805,customer,9212,AccessShareLock,t
1653527799.017805,customer_c_mktsegment_c_custkey_idx,9211,AccessShareLock,t
1653527799.017805,customer_c_mktsegment_c_custkey_idx,9181,AccessShareLock,t
1653527799.017805,customer_c_nationkey_c_custkey_idx,9212,AccessShareLock,t
1653527799.017805,customer_c_nationkey_c_custkey_idx,9213,AccessShareLock,t
1653527799.017805,customer_c_nationkey_c_custkey_idx,9211,AccessShareLock,t
1653527799.017805,customer_c_nationkey_c_custkey_idx,9181,AccessShareLock,t
1653527799.017805,customer_c_phone_c_acctbal_c_custkey_idx,9181,AccessShareLock,t
1653527799.017805,customer_c_phone_c_acctbal_c_custkey_idx,9211,AccessShareLock,t
1653527799.017805,customer_c_phone_idx_c_acctbal,9211,AccessShareLock,t
1653527799.017805,customer_c_phone_idx_c_acctbal,9181,AccessShareLock,t
1653527799.017805,lineitem,9182,AccessShareLock,t
1653527799.017805,lineitem,9181,AccessShareLock,t
1653527799.017805,lineitem,9211,AccessShareLock,t
