ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1653527738.983617,,0,0,0,9763,139119,37853,34915,1,0,0
1653527738.983617,postgres,0,151,8,2150,27848,95051,12796,0,0,0
1653527738.983617,dbt3,3,12655,1,620155334,592072327,16101849616,748219143,390996413,2138,62324
1653527738.983617,template1,0,0,0,0,0,0,0,0,0,0
1653527738.983617,template0,0,0,0,0,0,0,0,0,0,0
1653527799.027232,,0,0,0,9991,142504,38753,35771,1,0,0
1653527799.027232,postgres,0,153,8,2219,29180,97022,13461,0,0,0
1653527799.027232,dbt3,13,12945,1,629848356,602860217,16548197194,763742832,391086775,2157,66191
1653527799.027232,template1,0,0,0,0,0,0,0,0,0,0
1653527799.027232,template0,0,0,0,0,0,0,0,0,0,0
1653527859.036293,,0,0,0,10150,143111,38945,35951,1,0,0
1653527859.036293,postgres,0,155,8,2251,29231,98263,13475,0,0,0
1653527859.036293,dbt3,13,13008,1,632745140,606159384,16821957624,764268349,391266294,2165,73844
1653527859.036293,template1,0,0,0,0,0,0,0,0,0,0
1653527859.036293,template0,0,0,0,0,0,0,0,0,0,0
1653527919.021622,,0,0,0,10320,144147,39261,36235,1,0,0
1653527919.021622,postgres,0,157,8,2283,29282,99504,13489,0,0,0
1653527919.021622,dbt3,8,13108,1,648654966,619060246,17254136747,772280968,391266317,2174,73859
1653527919.021622,template1,0,0,0,0,0,0,0,0,0,0
1653527919.021622,template0,0,0,0,0,0,0,0,0,0,0
1653527979.043950,,0,0,0,10605,145763,39741,36687,1,0,0
1653527979.043950,postgres,0,159,8,2315,29333,100745,13503,0,0,0
1653527979.043950,dbt3,13,13259,1,665747333,634065812,17859420967,792327967,391266346,2192,73874
1653527979.043950,template1,0,0,0,0,0,0,0,0,0,0
1653527979.043950,template0,0,0,0,0,0,0,0,0,0,0
1653528039.058676,,0,0,0,10788,146399,39963,36881,1,0,0
1653528039.058676,postgres,0,161,8,2349,29382,101986,13517,0,0,0
1653528039.058676,dbt3,12,13326,1,699194490,646466443,18045937668,838372090,391266367,2199,73889
1653528039.058676,template1,0,0,0,0,0,0,0,0,0,0
1653528039.058676,template0,0,0,0,0,0,0,0,0,0,0
1653528099.059337,,0,0,0,11004,147529,40311,37201,1,0,0
1653528099.059337,postgres,0,163,8,2381,29433,103227,13531,0,0,0
1653528099.059337,dbt3,12,13431,1,705237404,656126249,18401332684,862103163,391266376,2208,73889
1653528099.059337,template1,0,0,0,0,0,0,0,0,0,0
1653528099.059337,template0,0,0,0,0,0,0,0,0,0,0
1653528159.073879,,0,0,0,11150,148494,40604,37466,1,0,0
1653528159.073879,postgres,0,165,8,2413,29484,104468,13545,0,0,0
1653528159.073879,dbt3,13,13521,1,729979754,676910816,18542407372,888652951,391266384,2216,73889
1653528159.073879,template1,0,0,0,0,0,0,0,0,0,0
1653528159.073879,template0,0,0,0,0,0,0,0,0,0,0
