ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1653527738.982256,pg_toast,pg_toast_17501,pg_toast_17501_index,0,0,0,1,0
1653527738.982256,public,orders,pk_orders,81147,84147,84147,33069,255608
1653527738.982256,public,orders,orders_o_orderkey_o_orderdate_idx,3240523,3240523,3483,2777198,6989602
1653527738.982256,public,orders,orders_o_custkey_idx,1690958,15142442,15015013,37775,5080134
1653527738.982256,public,orders,orders_o_orderdate_idx,0,0,0,14,36291
1653527738.982256,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,25524,22415,22172,2078,54501
1653527738.982256,pg_catalog,pg_type,pg_type_oid_index,94805,94451,94451,1858,194245
1653527738.982256,pg_catalog,pg_type,pg_type_typname_nsp_index,2601,1957,1708,1342,5963
1653527738.982256,pg_toast,pg_toast_17481,pg_toast_17481_index,0,0,0,1,0
1653527738.982256,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_1247,pg_toast_1247_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_2612,pg_toast_2612_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_2600,pg_toast_2600_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_2619,pg_toast_2619_index,749,1295,1295,388,1034
1653527738.982256,pg_toast,pg_toast_3381,pg_toast_3381_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_3429,pg_toast_3429_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_2618,pg_toast_2618_index,600,2100,2100,124,894
1653527738.982256,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_3466,pg_toast_3466_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_2615,pg_toast_2615_index,0,0,0,0,0
1653527738.982256,pg_catalog,pg_foreign_table,pg_foreign_table_relid_index,0,0,0,0,0
1653527738.982256,public,supplier,pk_supplier,24753,24753,24657,285,49245
1653527738.982256,public,supplier,supplier_s_suppkey_idx_like,3,168,0,12,17
1653527738.982256,public,supplier,supplier_s_nationkey_s_suppkey_idx,16,408087,0,859,185
1653527738.982256,pg_toast,pg_toast_17506,pg_toast_17506_index,0,0,0,1,0
1653527738.982256,public,lineitem,lineitem_l_partkey_l_quantity_l_shipmode_idx,11799,26419,26419,177612,269725
1653527738.982256,public,lineitem,lineitem_l_orderkey_idx_l_returnflag,3,14822992,14822992,27528,44538
1653527738.982256,public,lineitem,lineitem_l_orderkey_l_suppkey_idx,2096185,40442308,40235,263226,8406566
1653527738.982256,public,lineitem,lineitem_l_orderkey_l_suppkey_l_quantity_idx,135688,180305586,179600,375487,1208781
1653527738.982256,public,lineitem,lineitem_l_orderkey_idx_part2,3,7197404,7197404,16900,21465
1653527738.982256,public,lineitem,pk_lineitem,1,26774,26774,963,239675
1653527738.982256,public,lineitem,lineitem_l_partkey_l_suppkey_l_shipdate_l_quantity_idx,687572,3979076,3645414,515673,2648810
