BEGIN;
BEGIN
select
	ps_partkey,
	sum(ps_supplycost * ps_availqty) as value
from
	partsupp,
	supplier,
	nation
where
	ps_suppkey = s_suppkey
	and s_nationkey = n_nationkey
	and n_name = 'VIETNAM'
group by
	ps_partkey having
		sum(ps_supplycost * ps_availqty) > (
			select
				sum(ps_supplycost * ps_availqty) * 0.0000100000
			from
				partsupp,
				supplier,
				nation
			where
				ps_suppkey = s_suppkey
				and s_nationkey = n_nationkey
				and n_name = 'VIETNAM'
		)
order by
	value desc;
 ps_partkey |    value    
------------+-------------
     668806 | 22088621.05
    1552370 | 20747927.92
     401490 | 18814457.31
     385611 | 17956130.78
    1996811 | 17507856.72
    1302349 | 17411405.35
    1981463 | 17208540.31
    1387486 | 17187530.03
     222471 | 16968363.42
     574172 | 16961418.93
    1755184 | 16876144.12
    1831081 | 16778579.94
     698002 | 16647857.61
     424938 | 16629011.16
    1973616 | 16558307.20
     849148 | 16437961.48
    1089232 | 16303970.82
     782578 | 16277829.36
    1488283 | 16252603.38
    1809290 | 16230929.20
    1755642 | 16183756.80
    1691523 | 16125717.03
     415123 | 16039984.88
     747962 | 16020321.18
    1178991 | 16011534.35
     678298 | 15976358.21
     299723 | 15963956.76
    1217220 | 15921464.89
     503902 | 15832795.38
     885854 | 15820159.32
     530893 | 15793697.34
     275932 | 15782189.94
     474982 | 15770314.49
    1008662 | 15707466.12
     166323 | 15706619.82
    1274745 | 15675157.58
     309391 | 15652959.42
     546305 | 15652284.46
     950466 | 15644070.40
     546749 | 15586098.34
      96593 | 15554107.18
    1767503 | 15538952.67
     355729 | 15537243.35
     451873 | 15489724.41
      33936 | 15485679.01
    1324147 | 15436656.99
    1412562 | 15422725.02
     131519 | 15387335.62
    1342595 | 15384460.28
    1613611 | 15380776.65
     270957 | 15372410.41
     367466 | 15370350.12
    1849094 | 15295739.81
      30675 | 15274756.87
     273772 | 15268687.98
     955221 | 15192153.85
    1350633 | 15133000.08
     387370 | 15109129.05
    1073400 | 15108093.69
    1588808 | 15072186.36
    1597421 | 15062782.48
    1751174 | 15045878.85
    1214079 | 15031673.49
     683018 | 15007120.67
    1726231 | 14994375.33
     869445 | 14987507.48
    1898010 | 14942566.38
    1965182 | 14932474.24
     387928 | 14918395.60
     639705 | 14916937.23
    1655611 | 14914482.12
     990367 | 14904132.16
     750260 | 14865652.23
     708063 | 14854708.73
     782470 | 14846331.57
    1935283 | 14835288.08
     271636 | 14812630.72
