BEGIN;
BEGIN
select
	nation,
	o_year,
	sum(amount) as sum_profit
from
	(
		select
			n_name as nation,
			extract(year from o_orderdate) as o_year,
			l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount
		from
			part,
			supplier,
			lineitem,
			partsupp,
			orders,
			nation
		where
			s_suppkey = l_suppkey
			and ps_suppkey = l_suppkey
			and ps_partkey = l_partkey
			and p_partkey = l_partkey
			and o_orderkey = l_orderkey
			and s_nationkey = n_nationkey
			and p_name like '%dark%'
	) as profit
group by
	nation,
	o_year
order by
	nation,
	o_year desc;
          nation           | o_year |   sum_profit   
---------------------------+--------+----------------
 ALGERIA                   |   1998 | 266281983.0455
 ALGERIA                   |   1997 | 444296739.7038
 ALGERIA                   |   1996 | 454102547.1985
 ALGERIA                   |   1995 | 448358733.0296
 ALGERIA                   |   1994 | 454185157.5924
 ALGERIA                   |   1993 | 449575937.7514
 ALGERIA                   |   1992 | 453983312.7121
 ARGENTINA                 |   1998 | 270711690.2669
 ARGENTINA                 |   1997 | 468734234.7695
 ARGENTINA                 |   1996 | 470670372.6354
 ARGENTINA                 |   1995 | 462863423.8342
 ARGENTINA                 |   1994 | 468384260.2606
 ARGENTINA                 |   1993 | 474260353.5799
 ARGENTINA                 |   1992 | 464343882.1606
 BRAZIL                    |   1998 | 269974693.4330
 BRAZIL                    |   1997 | 465512595.6766
 BRAZIL                    |   1996 | 470761777.7566
 BRAZIL                    |   1995 | 469420611.6858
 BRAZIL                    |   1994 | 481868349.9520
 BRAZIL                    |   1993 | 469447961.8994
 BRAZIL                    |   1992 | 468726819.3204
 CANADA                    |   1998 | 280611664.0863
 CANADA                    |   1997 | 465959972.6901
 CANADA                    |   1996 | 474796056.8311
 CANADA                    |   1995 | 473825067.7456
 CANADA                    |   1994 | 488008301.3107
 CANADA                    |   1993 | 478213037.3574
 CANADA                    |   1992 | 472781582.4478
 CHINA                     |   1998 | 279125740.6480
 CHINA                     |   1997 | 476496242.6362
 CHINA                     |   1996 | 473819231.7841
 CHINA                     |   1995 | 475706180.3506
 CHINA                     |   1994 | 481713045.9157
 CHINA                     |   1993 | 474537154.1861
 CHINA                     |   1992 | 475851482.0391
 EGYPT                     |   1998 | 273542566.1626
 EGYPT                     |   1997 | 465892781.0415
 EGYPT                     |   1996 | 470966283.8676
 EGYPT                     |   1995 | 456403213.7125
 EGYPT                     |   1994 | 456176603.8318
 EGYPT                     |   1993 | 458832305.9488
 EGYPT                     |   1992 | 462278483.1967
 ETHIOPIA                  |   1998 | 269412951.9238
 ETHIOPIA                  |   1997 | 464121392.3179
 ETHIOPIA                  |   1996 | 465853039.1864
 ETHIOPIA                  |   1995 | 463127601.5255
 ETHIOPIA                  |   1994 | 464551020.0786
 ETHIOPIA                  |   1993 | 461336312.9237
 ETHIOPIA                  |   1992 | 467583438.4020
 FRANCE                    |   1998 | 271192474.7558
 FRANCE                    |   1997 | 457069298.1916
 FRANCE                    |   1996 | 460965623.0975
 FRANCE                    |   1995 | 453039637.7299
 FRANCE                    |   1994 | 468924456.8267
 FRANCE                    |   1993 | 456961844.3424
 FRANCE                    |   1992 | 465741183.8219
 GERMANY                   |   1998 | 273057385.5107
 GERMANY                   |   1997 | 474139593.3792
 GERMANY                   |   1996 | 477861925.5478
 GERMANY                   |   1995 | 473778299.2174
 GERMANY                   |   1994 | 471203146.9096
 GERMANY                   |   1993 | 478136451.3949
 GERMANY                   |   1992 | 477173693.1852
 INDIA                     |   1998 | 279759356.5371
 INDIA                     |   1997 | 472030586.1305
 INDIA                     |   1996 | 477755215.8154
 INDIA                     |   1995 | 473386069.6407
 INDIA                     |   1994 | 475109887.6456
 INDIA                     |   1993 | 478400024.9786
 INDIA                     |   1992 | 475523704.9761
 INDONESIA                 |   1998 | 269706965.1513
 INDONESIA                 |   1997 | 457878090.5539
 INDONESIA                 |   1996 | 461928489.2069
 INDONESIA                 |   1995 | 463359655.3745
 INDONESIA                 |   1994 | 458974563.4057
 INDONESIA                 |   1993 | 461559780.9469
 INDONESIA                 |   1992 | 455267954.2828
 IRAN                      |   1998 | 271635199.4335
 IRAN                      |   1997 | 464615740.3326
 IRAN                      |   1996 | 461785498.5306
 IRAN                      |   1995 | 462079684.3978
 IRAN                      |   1994 | 452138316.4163
 IRAN                      |   1993 | 457062319.8873
 IRAN                      |   1992 | 459460236.4596
 IRAQ                      |   1998 | 278827363.7861
 IRAQ                      |   1997 | 474392240.4523
 IRAQ                      |   1996 | 482936082.5044
 IRAQ                      |   1995 | 479686302.6365
 IRAQ                      |   1994 | 478971985.6334
 IRAQ                      |   1993 | 481381982.0679
