BEGIN;
BEGIN
select
	ps_partkey,
	sum(ps_supplycost * ps_availqty) as value
from
	partsupp,
	supplier,
	nation
where
	ps_suppkey = s_suppkey
	and s_nationkey = n_nationkey
	and n_name = 'INDONESIA'
group by
	ps_partkey having
		sum(ps_supplycost * ps_availqty) > (
			select
				sum(ps_supplycost * ps_availqty) * 0.0000100000
			from
				partsupp,
				supplier,
				nation
			where
				ps_suppkey = s_suppkey
				and s_nationkey = n_nationkey
				and n_name = 'INDONESIA'
		)
order by
	value desc;
 ps_partkey |    value    
------------+-------------
    1581964 | 23013802.59
     900681 | 19682309.49
    1918579 | 19149622.15
    1244967 | 18424710.36
    1600214 | 18102444.72
     725307 | 17875112.65
     516997 | 17822146.88
    1797842 | 17820237.54
     129760 | 17538456.86
     586797 | 17444282.12
    1118953 | 17415173.73
     492770 | 17326850.34
      37549 | 17258090.01
    1880734 | 17242490.20
    1438463 | 17194264.55
    1989494 | 17137613.64
    1857884 | 16955565.72
    1910667 | 16859419.96
     611966 | 16851660.87
     185296 | 16850496.11
    1803705 | 16836586.88
     382789 | 16774929.93
     126581 | 16764504.76
     773747 | 16743284.83
     467146 | 16567904.60
    1288548 | 16562776.80
      86802 | 16522216.00
     983308 | 16520880.52
     856243 | 16474766.60
     401554 | 16452961.24
      77906 | 16419290.53
    1584214 | 16389944.11
     483111 | 16380068.40
     632520 | 16260108.96
    1050093 | 16251231.28
     235198 | 16237883.01
    1691975 | 16237311.38
    1700212 | 16226538.04
     839217 | 16071102.06
    1288136 | 16066392.40
    1307222 | 16008174.29
     848848 | 15956838.90
    1720851 | 15817623.45
    1289283 | 15799696.03
     738691 | 15797544.15
    1753676 | 15781542.31
    1220291 | 15781388.16
     613355 | 15739955.68
    1834944 | 15737864.88
     870418 | 15728378.71
    1740183 | 15669131.72
    1510116 | 15663274.37
     355923 | 15652338.54
     504128 | 15595850.98
     314032 | 15576676.33
     362226 | 15541114.36
      29956 | 15524745.57
    1786867 | 15519998.74
    1556910 | 15511171.58
    1012541 | 15501699.97
     620034 | 15499614.47
    1442468 | 15487565.94
    1644026 | 15427233.93
    1315234 | 15410274.12
    1658834 | 15386866.70
    1120768 | 15380376.54
    1730649 | 15347668.38
    1665355 | 15294995.70
    1885800 | 15293439.56
    1077353 | 15273520.70
    1384237 | 15266500.74
     266774 | 15256646.59
    1250661 | 15229123.56
    1701180 | 15217341.39
     696619 | 15213825.62
     135114 | 15153006.87
    1627545 | 15110171.88
     310699 | 15093005.62
     435601 | 15048214.38
     227523 | 15035004.98
    1774996 | 15021987.96
     648055 | 15012016.84
     657807 | 15010921.90
    1631721 | 15007350.14
    1969135 | 15001617.42
     427797 | 14953942.68
     516127 | 14948460.97
    1866028 | 14934426.85
      31525 | 14933439.78
     786818 | 14882752.44
     196165 | 14863758.91
    1238659 | 14850291.04
     444157 | 14838045.65
    1403950 | 14836887.14
     428015 | 14822503.93
    1430377 | 14821256.28
     307004 | 14812511.41
    1716896 | 14802040.06
     492563 | 14795255.25
     600223 | 14784709.14
    1952762 | 14775124.92
     152153 | 14758146.35
     620881 | 14746051.25
    1247280 | 14726418.24
     440323 | 14725342.42
