BEGIN;
BEGIN
select
	nation,
	o_year,
	sum(amount) as sum_profit
from
	(
		select
			n_name as nation,
			extract(year from o_orderdate) as o_year,
			l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount
		from
			part,
			supplier,
			lineitem,
			partsupp,
			orders,
			nation
		where
			s_suppkey = l_suppkey
			and ps_suppkey = l_suppkey
			and ps_partkey = l_partkey
			and p_partkey = l_partkey
			and o_orderkey = l_orderkey
			and s_nationkey = n_nationkey
			and p_name like '%blush%'
	) as profit
group by
	nation,
	o_year
order by
	nation,
	o_year desc;
          nation           | o_year |   sum_profit   
---------------------------+--------+----------------
 ALGERIA                   |   1998 | 271590411.8581
 ALGERIA                   |   1997 | 460987441.2554
 ALGERIA                   |   1996 | 467417015.5967
 ALGERIA                   |   1995 | 467545115.1338
 ALGERIA                   |   1994 | 460720590.0014
 ALGERIA                   |   1993 | 461901702.8623
 ALGERIA                   |   1992 | 464907407.2429
 ARGENTINA                 |   1998 | 273205102.0076
 ARGENTINA                 |   1997 | 470220268.4395
 ARGENTINA                 |   1996 | 468877617.2147
 ARGENTINA                 |   1995 | 472819442.7338
 ARGENTINA                 |   1994 | 463994660.4255
 ARGENTINA                 |   1993 | 468161433.6355
 ARGENTINA                 |   1992 | 466703359.2065
 BRAZIL                    |   1998 | 272711327.9559
 BRAZIL                    |   1997 | 462189001.3190
 BRAZIL                    |   1996 | 470537624.7479
 BRAZIL                    |   1995 | 471686641.4610
 BRAZIL                    |   1994 | 469843920.4459
 BRAZIL                    |   1993 | 463910609.4386
 BRAZIL                    |   1992 | 476470819.0338
 CANADA                    |   1998 | 281423159.3942
 CANADA                    |   1997 | 480328565.8403
 CANADA                    |   1996 | 474179068.0720
 CANADA                    |   1995 | 481836103.2162
 CANADA                    |   1994 | 488901859.1859
 CANADA                    |   1993 | 477673018.8280
 CANADA                    |   1992 | 473957023.4090
 CHINA                     |   1998 | 271832706.6558
 CHINA                     |   1997 | 456359394.1341
 CHINA                     |   1996 | 472372109.5965
 CHINA                     |   1995 | 470517354.2657
 CHINA                     |   1994 | 465885049.3407
 CHINA                     |   1993 | 468241883.9155
 CHINA                     |   1992 | 472889917.2218
 EGYPT                     |   1998 | 272121660.0072
 EGYPT                     |   1997 | 471331668.1261
 EGYPT                     |   1996 | 473621398.3593
