# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;areq-sz;aqu-sz;await;svctm;%util
pgsql1.dbt2.internal;60;1653527798;nvme0n1;1549.55;0.00;47309.60;30.53;0.58;0.37;0.08;11.84
pgsql1.dbt2.internal;60;1653527798;nvme0n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527798;nvme0n1p2;1549.55;0.00;47309.60;30.53;0.57;0.37;0.08;11.84
pgsql1.dbt2.internal;60;1653527798;nvme0n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527798;nvme1n1;1543.88;0.00;47283.93;30.63;0.78;0.50;0.08;11.79
pgsql1.dbt2.internal;60;1653527798;nvme1n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527798;nvme1n1p2;1543.88;0.00;47283.93;30.63;0.77;0.50;0.08;11.79
pgsql1.dbt2.internal;60;1653527798;nvme1n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527798;md127;3039.98;0.00;86249.60;28.37;1.30;0.43;0.04;11.36
pgsql1.dbt2.internal;60;1653527798;md126;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
