# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
pgsql1.dbt2.internal;60;1653527798;-1;78.50;0.00;14.18;0.00;0.00;7.31
pgsql1.dbt2.internal;60;1653527798;0;79.05;0.00;14.12;0.00;0.00;6.83
pgsql1.dbt2.internal;60;1653527798;1;80.34;0.00;13.94;0.00;0.00;5.72
pgsql1.dbt2.internal;60;1653527798;2;76.45;0.00;15.54;0.00;0.00;8.01
pgsql1.dbt2.internal;60;1653527798;3;78.54;0.00;14.05;0.00;0.00;7.40
pgsql1.dbt2.internal;60;1653527798;4;80.23;0.00;12.85;0.00;0.00;6.92
pgsql1.dbt2.internal;60;1653527798;5;76.42;0.00;14.57;0.00;0.00;9.00
pgsql1.dbt2.internal;60;1653527858;-1;78.38;0.00;11.09;0.00;0.00;10.54
pgsql1.dbt2.internal;60;1653527858;0;76.34;0.00;11.55;0.00;0.00;12.12
pgsql1.dbt2.internal;60;1653527858;1;75.17;0.00;11.59;0.00;0.00;13.24
pgsql1.dbt2.internal;60;1653527858;2;80.59;0.00;10.52;0.00;0.00;8.89
pgsql1.dbt2.internal;60;1653527858;3;79.77;0.00;10.86;0.00;0.00;9.37
pgsql1.dbt2.internal;60;1653527858;4;78.84;0.00;11.52;0.00;0.00;9.64
pgsql1.dbt2.internal;60;1653527858;5;79.56;0.00;10.49;0.00;0.00;9.95
pgsql1.dbt2.internal;60;1653527918;-1;77.97;0.00;8.87;0.00;0.00;13.16
pgsql1.dbt2.internal;60;1653527918;0;77.70;0.00;9.65;0.00;0.00;12.65
pgsql1.dbt2.internal;60;1653527918;1;75.60;0.00;8.57;0.00;0.00;15.84
pgsql1.dbt2.internal;60;1653527918;2;75.83;0.00;10.81;0.00;0.00;13.36
pgsql1.dbt2.internal;60;1653527918;3;83.06;0.00;6.85;0.00;0.00;10.09
pgsql1.dbt2.internal;60;1653527918;4;80.81;0.00;8.70;0.00;0.00;10.49
pgsql1.dbt2.internal;60;1653527918;5;74.81;0.00;8.64;0.00;0.00;16.56
pgsql1.dbt2.internal;60;1653527978;-1;73.84;0.00;20.33;0.00;0.00;5.83
pgsql1.dbt2.internal;60;1653527978;0;73.74;0.00;21.04;0.00;0.00;5.22
pgsql1.dbt2.internal;60;1653527978;1;73.24;0.00;20.57;0.00;0.00;6.19
pgsql1.dbt2.internal;60;1653527978;2;73.16;0.00;19.84;0.00;0.00;6.99
pgsql1.dbt2.internal;60;1653527978;3;74.28;0.00;19.68;0.00;0.00;6.04
pgsql1.dbt2.internal;60;1653527978;4;74.10;0.00;20.48;0.00;0.00;5.42
pgsql1.dbt2.internal;60;1653527978;5;74.49;0.00;20.36;0.00;0.00;5.15
pgsql1.dbt2.internal;60;1653528038;-1;62.70;0.00;33.53;0.00;0.00;3.77
pgsql1.dbt2.internal;60;1653528038;0;63.82;0.00;32.44;0.00;0.00;3.74
pgsql1.dbt2.internal;60;1653528038;1;63.46;0.00;32.97;0.00;0.00;3.57
pgsql1.dbt2.internal;60;1653528038;2;63.55;0.00;33.41;0.00;0.00;3.04
pgsql1.dbt2.internal;60;1653528038;3;61.91;0.00;33.81;0.00;0.00;4.28
pgsql1.dbt2.internal;60;1653528038;4;60.28;0.00;36.23;0.00;0.00;3.49
pgsql1.dbt2.internal;60;1653528038;5;63.16;0.00;32.34;0.00;0.00;4.51
pgsql1.dbt2.internal;60;1653528098;-1;79.21;0.00;17.11;0.00;0.00;3.68
pgsql1.dbt2.internal;60;1653528098;0;80.16;0.00;17.22;0.00;0.00;2.62
pgsql1.dbt2.internal;60;1653528098;1;77.80;0.00;19.25;0.00;0.00;2.95
pgsql1.dbt2.internal;60;1653528098;2;80.14;0.00;14.79;0.00;0.00;5.07
pgsql1.dbt2.internal;60;1653528098;3;79.59;0.00;17.91;0.00;0.00;2.50
pgsql1.dbt2.internal;60;1653528098;4;79.93;0.00;16.39;0.00;0.00;3.68
pgsql1.dbt2.internal;60;1653528098;5;77.65;0.00;17.09;0.00;0.00;5.27
pgsql1.dbt2.internal;60;1653528158;-1;82.65;0.00;14.29;0.00;0.00;3.06
pgsql1.dbt2.internal;60;1653528158;0;85.90;0.00;12.39;0.00;0.00;1.72
pgsql1.dbt2.internal;60;1653528158;1;81.50;0.00;15.26;0.00;0.00;3.24
pgsql1.dbt2.internal;60;1653528158;2;82.75;0.00;14.11;0.00;0.00;3.14
pgsql1.dbt2.internal;60;1653528158;3;83.74;0.00;12.61;0.00;0.00;3.65
pgsql1.dbt2.internal;60;1653528158;4;80.79;0.00;15.82;0.00;0.00;3.39
pgsql1.dbt2.internal;60;1653528158;5;81.20;0.00;15.55;0.00;0.00;3.25
