# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
pgsql1.dbt2.internal;60;1653527798;lo;76.65;76.65;23.38;23.38;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527798;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527798;eth1;0.68;0.17;0.04;0.02;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527858;lo;25.07;25.07;5.48;5.48;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527858;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527858;eth1;0.68;0.17;0.04;0.02;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527918;lo;27.48;27.48;6.93;6.93;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527918;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527918;eth1;0.55;0.03;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527978;lo;94.93;94.93;13.81;13.81;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527978;eth0;0.53;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653527978;eth1;0.55;0.02;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653528038;lo;25.40;25.40;5.38;5.38;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653528038;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653528038;eth1;0.55;0.03;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653528098;lo;38.08;38.08;7.59;7.59;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653528098;eth0;0.50;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653528098;eth1;0.55;0.02;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653528158;lo;37.93;37.93;7.06;7.06;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653528158;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653528158;eth1;0.55;0.03;0.03;0.00;0.00;0.00;0.00;0.00
