ctime,datid,datname,pid,leader_pid,usesysid,usename,application_name,client_addr,client_hostname,client_port,backend_start,xact_start,query_start,state_change,wait_event_type,wait_event,state,backend_xid,backend_xmin,query_id,query,backend_type
1707240366.005782,,,7702,,10,markwkm,"",,,,2024-01-22 18:42:08.767302-06,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1707240366.005782,,,7701,,,,"",,,,2024-01-22 18:42:08.768516-06,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1707240366.005782,24576,dbt5,27633,,10,markwkm,psql,,,-1,2024-02-06 11:26:05.961573-06,2024-02-06 11:26:06.01361-06,2024-02-06 11:26:06.01361-06,2024-02-06 11:26:06.013613-06,,,active,,13986,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_all_indexes a, pg_statio_all_indexes b
WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",client backend
1707240366.005782,24576,dbt5,27636,,10,markwkm,psql,,,-1,2024-02-06 11:26:05.98301-06,2024-02-06 11:26:06.005782-06,2024-02-06 11:26:06.005782-06,2024-02-06 11:26:06.005784-06,,,active,,13986,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",client backend
1707240366.005782,24576,dbt5,27643,,10,markwkm,psql,,,-1,2024-02-06 11:26:05.995274-06,,,2024-02-06 11:26:05.996894-06,Client,ClientRead,idle,,,,"",client backend
1707240366.005782,,,7698,,,,"",,,,2024-01-22 18:42:08.751941-06,,,,Activity,BgWriterMain,,,,,"",background writer
1707240366.005782,,,7697,,,,"",,,,2024-01-22 18:42:08.75079-06,,,,Activity,CheckpointerMain,,,,,"",checkpointer
1707240366.005782,,,7700,,,,"",,,,2024-01-22 18:42:08.768187-06,,,,Activity,WalWriterMain,,,,,"",walwriter
1707240426.077924,,,7702,,10,markwkm,"",,,,2024-01-22 18:42:08.767302-06,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1707240426.077924,,,7701,,,,"",,,,2024-01-22 18:42:08.768516-06,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1707240426.077924,24576,dbt5,27647,,10,markwkm,"",,,-1,2024-02-06 11:26:06.272947-06,,2024-02-06 11:26:06.783698-06,2024-02-06 11:26:06.783748-06,Client,ClientRead,idle,,,,COMMIT;,client backend
1707240426.077924,24576,dbt5,27648,,10,markwkm,"",,,-1,2024-02-06 11:26:06.273292-06,,2024-02-06 11:26:26.238346-06,2024-02-06 11:26:26.239838-06,Client,ClientRead,idle,,,,COMMIT;,client backend
1707240426.077924,24576,dbt5,27656,,10,markwkm,"",,,-1,2024-02-06 11:26:07.003986-06,2024-02-06 11:26:18.379122-06,2024-02-06 11:26:18.379293-06,2024-02-06 11:26:18.379294-06,IO,DataFileRead,active,,13992,,"SELECT * FROM TradeLookupFrame3('2006-2-27 9:15:0',43000050000,20,'2005-4-15 13:17:17','CNBB')",client backend
1707240426.077924,24576,dbt5,27661,,10,markwkm,"",,,-1,2024-02-06 11:26:07.903531-06,2024-02-06 11:26:57.013446-06,2024-02-06 11:26:57.013725-06,2024-02-06 11:26:57.013725-06,IO,DataFileRead,active,,13994,,SELECT * FROM TradeStatusFrame1(43000000272),client backend
1707240426.077924,24576,dbt5,27745,,10,markwkm,psql,,,-1,2024-02-06 11:27:06.026932-06,2024-02-06 11:27:06.073375-06,2024-02-06 11:27:06.073375-06,2024-02-06 11:27:06.073377-06,,,active,,13994,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_all_indexes a, pg_statio_all_indexes b
WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",client backend
1707240426.077924,24576,dbt5,27736,,10,markwkm,psql,,,-1,2024-02-06 11:27:06.024802-06,2024-02-06 11:27:06.063779-06,2024-02-06 11:27:06.063779-06,2024-02-06 11:27:06.063781-06,,,active,,13994,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_database_conflicts) TO STDOUT (FORMAT CSV);",client backend
1707240426.077924,24576,dbt5,27735,,10,markwkm,psql,,,-1,2024-02-06 11:27:06.02351-06,2024-02-06 11:27:06.061135-06,2024-02-06 11:27:06.061135-06,2024-02-06 11:27:06.061138-06,,,active,,13994,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_wal) TO STDOUT (FORMAT CSV);",client backend
1707240426.077924,24576,dbt5,27750,,10,markwkm,psql,,,-1,2024-02-06 11:27:06.02981-06,2024-02-06 11:27:06.067306-06,2024-02-06 11:27:06.067306-06,2024-02-06 11:27:06.067309-06,,,active,,13994,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_database) TO STDOUT (FORMAT CSV);",client backend
1707240426.077924,24576,dbt5,27748,,10,markwkm,psql,,,-1,2024-02-06 11:27:06.028365-06,2024-02-06 11:27:06.077924-06,2024-02-06 11:27:06.077924-06,2024-02-06 11:27:06.077927-06,,,active,,13994,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",client backend
1707240426.077924,24576,dbt5,27744,,10,markwkm,psql,,,-1,2024-02-06 11:27:06.026708-06,2024-02-06 11:27:06.058991-06,2024-02-06 11:27:06.058991-06,2024-02-06 11:27:06.058995-06,,,active,,13994,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_statio_all_tables a, pg_stat_all_tables b
WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV);",client backend
1707240426.077924,24576,dbt5,27740,,10,markwkm,psql,,,-1,2024-02-06 11:27:06.026414-06,2024-02-06 11:27:06.065691-06,2024-02-06 11:27:06.065691-06,2024-02-06 11:27:06.065694-06,,,active,,13994,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime,
datname, nspname, relname, pg_locks.*
FROM pg_locks, pg_class, pg_namespace, pg_database
WHERE relfilenode = relation
  AND relnamespace = pg_namespace.oid
  AND database = pg_database.oid
  AND current_database() = datname
ORDER BY relname) TO STDOUT (FORMAT CSV);",client backend
1707240426.077924,24576,dbt5,27749,,10,markwkm,psql,,,-1,2024-02-06 11:27:06.028491-06,2024-02-06 11:27:06.069846-06,2024-02-06 11:27:06.069846-06,2024-02-06 11:27:06.069848-06,,,active,,13994,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_slru) TO STDOUT (FORMAT CSV);",client backend
1707240426.077924,24576,dbt5,27739,,10,markwkm,psql,,,-1,2024-02-06 11:27:06.027499-06,2024-02-06 11:27:06.059198-06,2024-02-06 11:27:06.059198-06,2024-02-06 11:27:06.059203-06,,,active,,13994,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_statio_all_sequences) TO STDOUT (FORMAT CSV);",client backend
1707240426.077924,24576,dbt5,27741,,10,markwkm,psql,,,-1,2024-02-06 11:27:06.02669-06,2024-02-06 11:27:06.064888-06,2024-02-06 11:27:06.064888-06,2024-02-06 11:27:06.064891-06,,,active,,13994,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_bgwriter) TO STDOUT (FORMAT CSV);",client backend
1707240426.077924,,,7698,,,,"",,,,2024-01-22 18:42:08.751941-06,,,,Activity,BgWriterMain,,,,,"",background writer
1707240426.077924,,,7697,,,,"",,,,2024-01-22 18:42:08.75079-06,,,,Activity,CheckpointerMain,,,,,"",checkpointer
1707240426.077924,,,7700,,,,"",,,,2024-01-22 18:42:08.768187-06,,,,Activity,WalWriterMain,,,,,"",walwriter
1707240486.134194,,,7702,,10,markwkm,"",,,,2024-01-22 18:42:08.767302-06,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1707240486.134194,,,7701,,,,"",,,,2024-01-22 18:42:08.768516-06,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
