ctime,datname,nspname,relname,locktype,database,relation,page,tuple,virtualxid,transactionid,classid,objid,objsubid,virtualtransaction,pid,mode,granted,fastpath,waitstart
1707240365.985516,dbt5,pg_catalog,pg_namespace,relation,24576,2615,,,,,,,,3/144291,27635,AccessShareLock,t,t,
1707240365.985516,dbt5,pg_catalog,pg_namespace_nspname_index,relation,24576,2684,,,,,,,,3/144291,27635,AccessShareLock,t,t,
1707240365.985516,dbt5,pg_catalog,pg_namespace_oid_index,relation,24576,2685,,,,,,,,3/144291,27635,AccessShareLock,t,t,
1707240426.065691,dbt5,public,i_security,relation,24576,30102,,,,,,,,6/2108,27661,AccessShareLock,t,t,
1707240426.065691,dbt5,public,i_t_ca_id,relation,24576,30154,,,,,,,,6/2108,27661,AccessShareLock,t,t,
1707240426.065691,dbt5,public,i_t_ca_id,relation,24576,30154,,,,,,,,5/2346,27656,AccessShareLock,t,t,
1707240426.065691,dbt5,public,i_t_s_symb,relation,24576,30161,,,,,,,,6/2108,27661,AccessShareLock,t,t,
1707240426.065691,dbt5,public,i_t_s_symb,relation,24576,30161,,,,,,,,5/2346,27656,AccessShareLock,t,t,
1707240426.065691,dbt5,public,i_t_st_id,relation,24576,30153,,,,,,,,5/2346,27656,AccessShareLock,t,t,
1707240426.065691,dbt5,public,i_t_st_id,relation,24576,30153,,,,,,,,6/2108,27661,AccessShareLock,t,t,
1707240426.065691,dbt5,pg_catalog,pg_index,relation,24576,2610,,,,,,,,7/886,27745,AccessShareLock,t,t,
1707240426.065691,dbt5,pg_catalog,pg_index,relation,24576,2610,,,,,,,,12/38,27744,AccessShareLock,t,t,
1707240426.065691,dbt5,pg_catalog,pg_index_indexrelid_index,relation,24576,2679,,,,,,,,12/38,27744,AccessShareLock,t,t,
1707240426.065691,dbt5,pg_catalog,pg_index_indrelid_index,relation,24576,2678,,,,,,,,12/38,27744,AccessShareLock,t,t,
1707240426.065691,dbt5,pg_catalog,pg_namespace,relation,24576,2615,,,,,,,,14/32,27740,AccessShareLock,t,t,
1707240426.065691,dbt5,pg_catalog,pg_namespace,relation,24576,2615,,,,,,,,12/38,27744,AccessShareLock,t,t,
1707240426.065691,dbt5,pg_catalog,pg_namespace,relation,24576,2615,,,,,,,,16/16,27739,AccessShareLock,t,t,
1707240426.065691,dbt5,pg_catalog,pg_namespace,relation,24576,2615,,,,,,,,7/886,27745,AccessShareLock,t,t,
1707240426.065691,dbt5,pg_catalog,pg_namespace_nspname_index,relation,24576,2684,,,,,,,,16/16,27739,AccessShareLock,t,t,
1707240426.065691,dbt5,pg_catalog,pg_namespace_nspname_index,relation,24576,2684,,,,,,,,12/38,27744,AccessShareLock,t,t,
1707240426.065691,dbt5,pg_catalog,pg_namespace_nspname_index,relation,24576,2684,,,,,,,,14/32,27740,AccessShareLock,t,t,
1707240426.065691,dbt5,pg_catalog,pg_namespace_oid_index,relation,24576,2685,,,,,,,,12/38,27744,AccessShareLock,t,t,
1707240426.065691,dbt5,pg_catalog,pg_namespace_oid_index,relation,24576,2685,,,,,,,,16/16,27739,AccessShareLock,t,t,
1707240426.065691,dbt5,pg_catalog,pg_namespace_oid_index,relation,24576,2685,,,,,,,,14/32,27740,AccessShareLock,t,t,
1707240426.065691,dbt5,public,pk_exchange,relation,24576,29939,,,,,,,,6/2108,27661,AccessShareLock,t,t,
1707240426.065691,dbt5,public,pk_security,relation,24576,29922,,,,,,,,6/2108,27661,AccessShareLock,t,t,
1707240426.065691,dbt5,public,pk_status_type,relation,24576,29940,,,,,,,,6/2108,27661,AccessShareLock,t,t,
1707240426.065691,dbt5,public,pk_trade,relation,24576,29926,,,,,,,,6/2108,27661,AccessShareLock,t,t,
1707240426.065691,dbt5,public,pk_trade,relation,24576,29926,,,,,,,,5/2346,27656,AccessShareLock,t,t,
1707240426.065691,dbt5,public,pk_trade_type,relation,24576,29917,,,,,,,,6/2108,27661,AccessShareLock,t,t,
1707240486.111957,dbt5,public,i_ca_c_id,relation,24576,29999,,,,,,,,6/2116,27661,AccessShareLock,t,t,
1707240486.111957,dbt5,public,i_t_ca_id,relation,24576,30154,,,,,,,,6/2116,27661,AccessShareLock,t,t,
1707240486.111957,dbt5,public,i_t_ca_id,relation,24576,30154,,,,,,,,5/2354,27656,AccessShareLock,t,t,
1707240486.111957,dbt5,public,i_t_s_symb,relation,24576,30161,,,,,,,,5/2354,27656,AccessShareLock,t,t,
1707240486.111957,dbt5,public,i_t_s_symb,relation,24576,30161,,,,,,,,6/2116,27661,AccessShareLock,t,t,
1707240486.111957,dbt5,public,i_t_st_id,relation,24576,30153,,,,,,,,6/2116,27661,AccessShareLock,t,t,
1707240486.111957,dbt5,public,i_t_st_id,relation,24576,30153,,,,,,,,5/2354,27656,AccessShareLock,t,t,
1707240486.111957,dbt5,pg_catalog,pg_namespace,relation,24576,2615,,,,,,,,11/36,27890,AccessShareLock,t,t,
1707240486.111957,dbt5,pg_catalog,pg_namespace_nspname_index,relation,24576,2684,,,,,,,,11/36,27890,AccessShareLock,t,t,
1707240486.111957,dbt5,pg_catalog,pg_namespace_oid_index,relation,24576,2685,,,,,,,,11/36,27890,AccessShareLock,t,t,
1707240486.111957,dbt5,public,pk_customer,relation,24576,29953,,,,,,,,6/2116,27661,AccessShareLock,t,t,
1707240486.111957,dbt5,public,pk_holding_summary,relation,24576,29908,,,,,,,,6/2116,27661,AccessShareLock,t,t,
1707240486.111957,dbt5,public,pk_last_trade,relation,24576,29911,,,,,,,,6/2116,27661,AccessShareLock,t,t,
1707240486.111957,dbt5,public,pk_status_type,relation,24576,29940,,,,,,,,6/2116,27661,AccessShareLock,t,f,
1707240486.111957,dbt5,public,pk_trade,relation,24576,29926,,,,,,,,6/2116,27661,AccessShareLock,t,t,
1707240486.111957,dbt5,public,pk_trade,relation,24576,29926,,,,,,,,5/2354,27656,AccessShareLock,t,t,
1707240486.111957,dbt5,public,pk_trade_history,relation,24576,29934,,,,,,,,6/2116,27661,AccessShareLock,t,t,
1707240546.108504,dbt5,public,i_t_ca_id,relation,24576,30154,,,,,,,,6/2129,27661,AccessShareLock,t,t,
1707240546.108504,dbt5,public,i_t_ca_id,relation,24576,30154,,,,,,,,5/2366,27656,AccessShareLock,t,t,
1707240546.108504,dbt5,public,i_t_s_symb,relation,24576,30161,,,,,,,,5/2366,27656,AccessShareLock,t,t,
1707240546.108504,dbt5,public,i_t_s_symb,relation,24576,30161,,,,,,,,6/2129,27661,AccessShareLock,t,t,
1707240546.108504,dbt5,public,i_t_st_id,relation,24576,30153,,,,,,,,5/2366,27656,AccessShareLock,t,t,
1707240546.108504,dbt5,public,i_t_st_id,relation,24576,30153,,,,,,,,6/2129,27661,AccessShareLock,t,t,
1707240546.108504,dbt5,pg_catalog,pg_index,relation,24576,2610,,,,,,,,10/40,27977,AccessShareLock,t,t,
1707240546.108504,dbt5,pg_catalog,pg_namespace,relation,24576,2615,,,,,,,,9/42,27976,AccessShareLock,t,t,
1707240546.108504,dbt5,pg_catalog,pg_namespace,relation,24576,2615,,,,,,,,10/40,27977,AccessShareLock,t,t,
1707240546.108504,dbt5,pg_catalog,pg_namespace_nspname_index,relation,24576,2684,,,,,,,,9/42,27976,AccessShareLock,t,t,
1707240546.108504,dbt5,pg_catalog,pg_namespace_oid_index,relation,24576,2685,,,,,,,,9/42,27976,AccessShareLock,t,t,
1707240546.108504,dbt5,public,pk_trade,relation,24576,29926,,,,,,,,6/2129,27661,AccessShareLock,t,t,
1707240546.108504,dbt5,public,pk_trade,relation,24576,29926,,,,,,,,5/2366,27656,AccessShareLock,t,t,
1707240606.147074,dbt5,public,i_ca_c_id,relation,24576,29999,,,,,,,,5/2372,27656,AccessShareLock,t,t,
1707240606.147074,dbt5,public,i_t_ca_id,relation,24576,30154,,,,,,,,5/2372,27656,AccessShareLock,t,t,
1707240606.147074,dbt5,public,i_t_ca_id,relation,24576,30154,,,,,,,,6/2130,27661,AccessShareLock,t,t,
1707240606.147074,dbt5,public,i_t_s_symb,relation,24576,30161,,,,,,,,6/2130,27661,AccessShareLock,t,t,
1707240606.147074,dbt5,public,i_t_s_symb,relation,24576,30161,,,,,,,,5/2372,27656,AccessShareLock,t,t,
1707240606.147074,dbt5,public,i_t_st_id,relation,24576,30153,,,,,,,,5/2372,27656,AccessShareLock,t,t,
1707240606.147074,dbt5,public,i_t_st_id,relation,24576,30153,,,,,,,,6/2130,27661,AccessShareLock,t,t,
1707240606.147074,dbt5,pg_catalog,pg_amop,relation,24576,2602,,,,,,,,15/34,28073,AccessShareLock,t,t,
