ctime,checkpoints_timed,checkpoints_req,checkpoint_write_time,checkpoint_sync_time,buffers_checkpoint,buffers_clean,maxwritten_clean,buffers_backend,buffers_backend_fsync,buffers_alloc,stats_reset
1707240366.011900,999,5,8107872,20483,279601,368735,3257,12317184,0,56928042,2024-01-16 15:04:47.848815-06
1707240426.064888,999,5,8107872,20483,279601,368745,3257,12317184,0,56956970,2024-01-16 15:04:47.848815-06
1707240486.104797,999,5,8107872,20483,279601,368757,3257,12317184,0,56980405,2024-01-16 15:04:47.848815-06
1707240546.114413,999,5,8107872,20483,279601,368777,3257,12317184,0,57004256,2024-01-16 15:04:47.848815-06
1707240606.110416,999,5,8107872,20483,279601,368787,3257,12317184,0,57020793,2024-01-16 15:04:47.848815-06
1707240666.175278,999,5,8107872,20483,279601,368802,3257,12317184,0,57065710,2024-01-16 15:04:47.848815-06
1707240726.170354,999,5,8107872,20483,279601,368823,3257,12317184,0,57086347,2024-01-16 15:04:47.848815-06
1707240786.601909,999,5,8107872,20483,279601,368838,3257,12317184,0,57094091,2024-01-16 15:04:47.848815-06
1707240846.313656,999,5,8107872,20483,279601,368905,3257,12317184,0,57126564,2024-01-16 15:04:47.848815-06
1707240906.294558,999,5,8107872,20483,279601,368915,3257,12317184,0,57161518,2024-01-16 15:04:47.848815-06
1707240966.291309,999,5,8107872,20483,279601,369003,3257,12317184,0,57212204,2024-01-16 15:04:47.848815-06
1707241026.411900,999,5,8107872,20483,279601,369166,3257,12317184,0,57260240,2024-01-16 15:04:47.848815-06
1707241086.349555,999,5,8107872,20483,279601,369260,3257,12317184,0,57283010,2024-01-16 15:04:47.848815-06
1707241146.709596,999,5,8107872,20483,279601,369378,3257,12317184,0,57320467,2024-01-16 15:04:47.848815-06
1707241206.460456,999,5,8107872,20483,279601,369413,3257,12317184,0,57374202,2024-01-16 15:04:47.848815-06
1707241266.622246,999,5,8107872,20483,279601,369588,3257,12317184,0,57385197,2024-01-16 15:04:47.848815-06
1707241326.592513,999,5,8107872,20483,279601,369680,3257,12317184,0,57420096,2024-01-16 15:04:47.848815-06
1707241386.600511,999,5,8107872,20483,279601,369751,3257,12317184,0,57463627,2024-01-16 15:04:47.848815-06
1707241446.664480,1000,5,8133548,20717,279850,369754,3257,12317193,0,57490187,2024-01-16 15:04:47.848815-06
1707241506.738693,1000,5,8133548,20717,279850,369754,3257,12317193,0,57495068,2024-01-16 15:04:47.848815-06
1707241566.948740,1000,5,8133548,20717,279850,369768,3257,12317193,0,57547378,2024-01-16 15:04:47.848815-06
1707241626.877022,1000,5,8133548,20717,279850,369793,3257,12317193,0,57557083,2024-01-16 15:04:47.848815-06
1707241686.790074,1000,5,8133548,20717,279850,369821,3257,12317193,0,57598333,2024-01-16 15:04:47.848815-06
1707241746.807370,1000,5,8133548,20717,279850,369881,3257,12317193,0,57653550,2024-01-16 15:04:47.848815-06
1707241806.921480,1000,5,8133548,20717,279850,369989,3257,12317193,0,57721062,2024-01-16 15:04:47.848815-06
1707241866.880605,1000,5,8133548,20717,279850,370033,3257,12317193,0,57778541,2024-01-16 15:04:47.848815-06
1707241926.943600,1000,5,8133548,20717,279850,370109,3257,12317193,0,57804804,2024-01-16 15:04:47.848815-06
1707241987.000352,1000,5,8133548,20717,279850,370175,3257,12317193,0,57820750,2024-01-16 15:04:47.848815-06
1707242047.044841,1000,5,8133548,20717,279850,370258,3257,12317193,0,57845452,2024-01-16 15:04:47.848815-06
1707242107.211702,1000,5,8133548,20717,279850,370321,3257,12317193,0,57892680,2024-01-16 15:04:47.848815-06
1707242167.093730,1000,5,8133548,20717,279850,370377,3257,12317193,0,57927280,2024-01-16 15:04:47.848815-06
1707242227.249066,1000,5,8133548,20717,279850,370407,3257,12317193,0,58004445,2024-01-16 15:04:47.848815-06
1707242287.213289,1000,5,8133548,20717,279850,370456,3257,12317193,0,58071305,2024-01-16 15:04:47.848815-06
1707242347.326928,1000,5,8133548,20717,279850,370529,3257,12317193,0,58089616,2024-01-16 15:04:47.848815-06
1707242407.376093,1000,5,8133548,20717,279850,370646,3257,12317193,0,58112758,2024-01-16 15:04:47.848815-06
1707242467.341915,1000,5,8133548,20717,279850,370708,3257,12317193,0,58143252,2024-01-16 15:04:47.848815-06
1707242527.321290,1000,5,8133548,20717,279850,370797,3257,12317193,0,58183886,2024-01-16 15:04:47.848815-06
1707242587.311826,1000,5,8133548,20717,279850,370856,3257,12317193,0,58270883,2024-01-16 15:04:47.848815-06
1707242647.680958,1000,5,8133548,20717,279850,370987,3257,12317193,0,58289515,2024-01-16 15:04:47.848815-06
1707242707.663480,1000,5,8133548,20717,279850,371161,3257,12317193,0,58333349,2024-01-16 15:04:47.848815-06
1707242767.658876,1000,5,8133548,20717,279850,371295,3257,12317193,0,58391332,2024-01-16 15:04:47.848815-06
1707242827.614211,1000,5,8133548,20717,279850,371422,3257,12317193,0,58415066,2024-01-16 15:04:47.848815-06
1707242887.712608,1000,5,8133548,20717,279850,371499,3257,12317193,0,58439302,2024-01-16 15:04:47.848815-06
