ctime,datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
1707240365.953646,0,,0,0,0,1069,1907489,557853,426797,2,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240365.953646,5,postgres,0,59519,0,4837,2176152,26216309,420999,0,0,0,0,0,0,0,,,0,0,12326.317,8005.233,0,6,0,0,0,
1707240365.953646,30444,dbt7,0,82361,10,46416880,2160050327,13118368819,1572592689,36950451,6241,1412596,0,929,37259597158,0,,,0,0,257429303.311,256859724.848,0,1672,0,0,0,
1707240365.953646,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240365.953646,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240365.953646,24576,dbt5,2,85310,9617,438319297,324373235,32164822874,255861232,585548079,19834,3463,0,55,22081282048,0,,,0,0,151097258.915,84463609.188,21534.481,10070,27,4,0,
1707240426.067306,0,,0,0,0,1069,1908383,558095,427004,2,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240426.067306,5,postgres,0,59521,0,4837,2176225,26217190,421013,0,0,0,0,0,0,0,,,0,0,12326.317,8005.233,0,6,0,0,0,
1707240426.067306,30444,dbt7,0,82363,10,46416880,2160050409,13118369964,1572592703,36950451,6241,1412596,0,929,37259597158,0,,,0,0,257429303.311,256859724.848,0,1672,0,0,0,
1707240426.067306,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240426.067306,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240426.067306,24576,dbt5,14,85394,9617,438346492,324687963,32165676534,256185136,585548119,19858,3473,0,55,22081282048,0,,,0,0,151188638.007,84524459.151,21539.376,10105,27,4,0,
1707240486.100657,0,,0,0,0,1069,1908831,558234,427108,2,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240486.100657,5,postgres,0,59523,0,4837,2176298,26218071,421027,0,0,0,0,0,0,0,,,0,0,12326.317,8005.233,0,6,0,0,0,
1707240486.100657,30444,dbt7,0,82365,10,46416880,2160050491,13118371109,1572592717,36950451,6241,1412596,0,929,37259597158,0,,,0,0,257429303.311,256859724.848,0,1672,0,0,0,
1707240486.100657,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240486.100657,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240486.100657,24576,dbt5,14,85446,9617,439604142,324932943,32252447315,256326283,585548127,19863,3473,0,55,22081282048,0,,,0,0,151420726.758,84653822.731,21544.306,10121,27,4,0,
1707240546.176863,0,,0,0,0,1069,1909344,558419,427228,2,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240546.176863,5,postgres,0,59525,0,4837,2176371,26218952,421041,0,0,0,0,0,0,0,,,0,0,12326.317,8005.233,0,6,0,0,0,
1707240546.176863,30444,dbt7,0,82367,10,46416880,2160050573,13118372254,1572592731,36950451,6241,1412596,0,929,37259597158,0,,,0,0,257429303.311,256859724.848,0,1672,0,0,0,
1707240546.176863,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
