ctime,datid,datname,confl_tablespace,confl_lock,confl_snapshot,confl_bufferpin,confl_deadlock,confl_active_logicalslot
1707240365.986649,5,postgres,0,0,0,0,0,0
1707240365.986649,30444,dbt7,0,0,0,0,0,0
1707240365.986649,1,template1,0,0,0,0,0,0
1707240365.986649,4,template0,0,0,0,0,0,0
1707240365.986649,24576,dbt5,0,0,0,0,0,0
1707240426.063779,5,postgres,0,0,0,0,0,0
1707240426.063779,30444,dbt7,0,0,0,0,0,0
1707240426.063779,1,template1,0,0,0,0,0,0
1707240426.063779,4,template0,0,0,0,0,0,0
1707240426.063779,24576,dbt5,0,0,0,0,0,0
1707240486.108232,5,postgres,0,0,0,0,0,0
1707240486.108232,30444,dbt7,0,0,0,0,0,0
1707240486.108232,1,template1,0,0,0,0,0,0
1707240486.108232,4,template0,0,0,0,0,0,0
1707240486.108232,24576,dbt5,0,0,0,0,0,0
1707240546.105092,5,postgres,0,0,0,0,0,0
1707240546.105092,30444,dbt7,0,0,0,0,0,0
1707240546.105092,1,template1,0,0,0,0,0,0
1707240546.105092,4,template0,0,0,0,0,0,0
1707240546.105092,24576,dbt5,0,0,0,0,0,0
1707240606.153511,5,postgres,0,0,0,0,0,0
1707240606.153511,30444,dbt7,0,0,0,0,0,0
1707240606.153511,1,template1,0,0,0,0,0,0
1707240606.153511,4,template0,0,0,0,0,0,0
1707240606.153511,24576,dbt5,0,0,0,0,0,0
1707240666.181569,5,postgres,0,0,0,0,0,0
1707240666.181569,30444,dbt7,0,0,0,0,0,0
1707240666.181569,1,template1,0,0,0,0,0,0
1707240666.181569,4,template0,0,0,0,0,0,0
1707240666.181569,24576,dbt5,0,0,0,0,0,0
1707240726.187974,5,postgres,0,0,0,0,0,0
1707240726.187974,30444,dbt7,0,0,0,0,0,0
1707240726.187974,1,template1,0,0,0,0,0,0
1707240726.187974,4,template0,0,0,0,0,0,0
1707240726.187974,24576,dbt5,0,0,0,0,0,0
1707240786.613249,5,postgres,0,0,0,0,0,0
1707240786.613249,30444,dbt7,0,0,0,0,0,0
1707240786.613249,1,template1,0,0,0,0,0,0
1707240786.613249,4,template0,0,0,0,0,0,0
1707240786.613249,24576,dbt5,0,0,0,0,0,0
1707240846.315209,5,postgres,0,0,0,0,0,0
1707240846.315209,30444,dbt7,0,0,0,0,0,0
1707240846.315209,1,template1,0,0,0,0,0,0
1707240846.315209,4,template0,0,0,0,0,0,0
1707240846.315209,24576,dbt5,0,0,0,0,0,0
1707240906.282953,5,postgres,0,0,0,0,0,0
1707240906.282953,30444,dbt7,0,0,0,0,0,0
1707240906.282953,1,template1,0,0,0,0,0,0
1707240906.282953,4,template0,0,0,0,0,0,0
1707240906.282953,24576,dbt5,0,0,0,0,0,0
1707240966.284592,5,postgres,0,0,0,0,0,0
1707240966.284592,30444,dbt7,0,0,0,0,0,0
1707240966.284592,1,template1,0,0,0,0,0,0
1707240966.284592,4,template0,0,0,0,0,0,0
1707240966.284592,24576,dbt5,0,0,0,0,0,0
1707241026.413071,5,postgres,0,0,0,0,0,0
1707241026.413071,30444,dbt7,0,0,0,0,0,0
1707241026.413071,1,template1,0,0,0,0,0,0
1707241026.413071,4,template0,0,0,0,0,0,0
1707241026.413071,24576,dbt5,0,0,0,0,0,0
1707241086.334065,5,postgres,0,0,0,0,0,0
1707241086.334065,30444,dbt7,0,0,0,0,0,0
1707241086.334065,1,template1,0,0,0,0,0,0
1707241086.334065,4,template0,0,0,0,0,0,0
1707241086.334065,24576,dbt5,0,0,0,0,0,0
1707241146.710417,5,postgres,0,0,0,0,0,0
1707241146.710417,30444,dbt7,0,0,0,0,0,0
1707241146.710417,1,template1,0,0,0,0,0,0
1707241146.710417,4,template0,0,0,0,0,0,0
1707241146.710417,24576,dbt5,0,0,0,0,0,0
1707241206.451939,5,postgres,0,0,0,0,0,0
1707241206.451939,30444,dbt7,0,0,0,0,0,0
1707241206.451939,1,template1,0,0,0,0,0,0
1707241206.451939,4,template0,0,0,0,0,0,0
1707241206.451939,24576,dbt5,0,0,0,0,0,0
1707241266.626992,5,postgres,0,0,0,0,0,0
1707241266.626992,30444,dbt7,0,0,0,0,0,0
1707241266.626992,1,template1,0,0,0,0,0,0
1707241266.626992,4,template0,0,0,0,0,0,0
1707241266.626992,24576,dbt5,0,0,0,0,0,0
1707241326.572611,5,postgres,0,0,0,0,0,0
1707241326.572611,30444,dbt7,0,0,0,0,0,0
1707241326.572611,1,template1,0,0,0,0,0,0
1707241326.572611,4,template0,0,0,0,0,0,0
1707241326.572611,24576,dbt5,0,0,0,0,0,0
1707241386.617242,5,postgres,0,0,0,0,0,0
1707241386.617242,30444,dbt7,0,0,0,0,0,0
1707241386.617242,1,template1,0,0,0,0,0,0
1707241386.617242,4,template0,0,0,0,0,0,0
1707241386.617242,24576,dbt5,0,0,0,0,0,0
1707241446.687929,5,postgres,0,0,0,0,0,0
1707241446.687929,30444,dbt7,0,0,0,0,0,0
1707241446.687929,1,template1,0,0,0,0,0,0
1707241446.687929,4,template0,0,0,0,0,0,0
1707241446.687929,24576,dbt5,0,0,0,0,0,0
1707241506.774701,5,postgres,0,0,0,0,0,0
1707241506.774701,30444,dbt7,0,0,0,0,0,0
1707241506.774701,1,template1,0,0,0,0,0,0
1707241506.774701,4,template0,0,0,0,0,0,0
1707241506.774701,24576,dbt5,0,0,0,0,0,0
1707241566.978808,5,postgres,0,0,0,0,0,0
1707241566.978808,30444,dbt7,0,0,0,0,0,0
1707241566.978808,1,template1,0,0,0,0,0,0
1707241566.978808,4,template0,0,0,0,0,0,0
1707241566.978808,24576,dbt5,0,0,0,0,0,0
1707241626.909196,5,postgres,0,0,0,0,0,0
1707241626.909196,30444,dbt7,0,0,0,0,0,0
1707241626.909196,1,template1,0,0,0,0,0,0
1707241626.909196,4,template0,0,0,0,0,0,0
1707241626.909196,24576,dbt5,0,0,0,0,0,0
1707241686.812323,5,postgres,0,0,0,0,0,0
1707241686.812323,30444,dbt7,0,0,0,0,0,0
1707241686.812323,1,template1,0,0,0,0,0,0
1707241686.812323,4,template0,0,0,0,0,0,0
1707241686.812323,24576,dbt5,0,0,0,0,0,0
1707241746.781275,5,postgres,0,0,0,0,0,0
1707241746.781275,30444,dbt7,0,0,0,0,0,0
1707241746.781275,1,template1,0,0,0,0,0,0
1707241746.781275,4,template0,0,0,0,0,0,0
1707241746.781275,24576,dbt5,0,0,0,0,0,0
1707241806.938468,5,postgres,0,0,0,0,0,0
1707241806.938468,30444,dbt7,0,0,0,0,0,0
1707241806.938468,1,template1,0,0,0,0,0,0
1707241806.938468,4,template0,0,0,0,0,0,0
1707241806.938468,24576,dbt5,0,0,0,0,0,0
1707241866.835116,5,postgres,0,0,0,0,0,0
1707241866.835116,30444,dbt7,0,0,0,0,0,0
1707241866.835116,1,template1,0,0,0,0,0,0
1707241866.835116,4,template0,0,0,0,0,0,0
1707241866.835116,24576,dbt5,0,0,0,0,0,0
1707241926.951805,5,postgres,0,0,0,0,0,0
1707241926.951805,30444,dbt7,0,0,0,0,0,0
1707241926.951805,1,template1,0,0,0,0,0,0
1707241926.951805,4,template0,0,0,0,0,0,0
1707241926.951805,24576,dbt5,0,0,0,0,0,0
1707241987.055910,5,postgres,0,0,0,0,0,0
1707241987.055910,30444,dbt7,0,0,0,0,0,0
1707241987.055910,1,template1,0,0,0,0,0,0
1707241987.055910,4,template0,0,0,0,0,0,0
1707241987.055910,24576,dbt5,0,0,0,0,0,0
1707242046.980646,5,postgres,0,0,0,0,0,0
1707242046.980646,30444,dbt7,0,0,0,0,0,0
1707242046.980646,1,template1,0,0,0,0,0,0
1707242046.980646,4,template0,0,0,0,0,0,0
1707242046.980646,24576,dbt5,0,0,0,0,0,0
1707242107.165443,5,postgres,0,0,0,0,0,0
1707242107.165443,30444,dbt7,0,0,0,0,0,0
1707242107.165443,1,template1,0,0,0,0,0,0
1707242107.165443,4,template0,0,0,0,0,0,0
1707242107.165443,24576,dbt5,0,0,0,0,0,0
1707242167.125291,5,postgres,0,0,0,0,0,0
1707242167.125291,30444,dbt7,0,0,0,0,0,0
1707242167.125291,1,template1,0,0,0,0,0,0
1707242167.125291,4,template0,0,0,0,0,0,0
1707242167.125291,24576,dbt5,0,0,0,0,0,0
1707242227.330905,5,postgres,0,0,0,0,0,0
1707242227.330905,30444,dbt7,0,0,0,0,0,0
1707242227.330905,1,template1,0,0,0,0,0,0
1707242227.330905,4,template0,0,0,0,0,0,0
1707242227.330905,24576,dbt5,0,0,0,0,0,0
1707242287.233919,5,postgres,0,0,0,0,0,0
1707242287.233919,30444,dbt7,0,0,0,0,0,0
1707242287.233919,1,template1,0,0,0,0,0,0
1707242287.233919,4,template0,0,0,0,0,0,0
1707242287.233919,24576,dbt5,0,0,0,0,0,0
1707242347.285693,5,postgres,0,0,0,0,0,0
1707242347.285693,30444,dbt7,0,0,0,0,0,0
1707242347.285693,1,template1,0,0,0,0,0,0
1707242347.285693,4,template0,0,0,0,0,0,0
1707242347.285693,24576,dbt5,0,0,0,0,0,0
1707242407.422616,5,postgres,0,0,0,0,0,0
1707242407.422616,30444,dbt7,0,0,0,0,0,0
1707242407.422616,1,template1,0,0,0,0,0,0
1707242407.422616,4,template0,0,0,0,0,0,0
1707242407.422616,24576,dbt5,0,0,0,0,0,0
1707242467.375674,5,postgres,0,0,0,0,0,0
1707242467.375674,30444,dbt7,0,0,0,0,0,0
1707242467.375674,1,template1,0,0,0,0,0,0
1707242467.375674,4,template0,0,0,0,0,0,0
1707242467.375674,24576,dbt5,0,0,0,0,0,0
1707242527.323249,5,postgres,0,0,0,0,0,0
1707242527.323249,30444,dbt7,0,0,0,0,0,0
1707242527.323249,1,template1,0,0,0,0,0,0
1707242527.323249,4,template0,0,0,0,0,0,0
1707242527.323249,24576,dbt5,0,0,0,0,0,0
1707242587.344976,5,postgres,0,0,0,0,0,0
1707242587.344976,30444,dbt7,0,0,0,0,0,0
1707242587.344976,1,template1,0,0,0,0,0,0
1707242587.344976,4,template0,0,0,0,0,0,0
1707242587.344976,24576,dbt5,0,0,0,0,0,0
1707242647.674116,5,postgres,0,0,0,0,0,0
1707242647.674116,30444,dbt7,0,0,0,0,0,0
1707242647.674116,1,template1,0,0,0,0,0,0
1707242647.674116,4,template0,0,0,0,0,0,0
1707242647.674116,24576,dbt5,0,0,0,0,0,0
1707242707.666989,5,postgres,0,0,0,0,0,0
1707242707.666989,30444,dbt7,0,0,0,0,0,0
1707242707.666989,1,template1,0,0,0,0,0,0
1707242707.666989,4,template0,0,0,0,0,0,0
1707242707.666989,24576,dbt5,0,0,0,0,0,0
1707242767.672215,5,postgres,0,0,0,0,0,0
1707242767.672215,30444,dbt7,0,0,0,0,0,0
