ctime,relid,indexrelid,schemaname,relname,indexrelname,idx_scan,last_idx_scan,idx_tup_read,idx_tup_fetch,relid,indexrelid,schemaname,relname,indexrelname,idx_blks_read,idx_blks_hit
1707240366.013610,2836,2837,pg_toast,pg_toast_1255,pg_toast_1255_index,243,2024-02-06 09:37:28.571816-06,380,380,2836,2837,pg_toast,pg_toast_1255,pg_toast_1255_index,35,292
1707240366.013610,4171,4172,pg_toast,pg_toast_1247,pg_toast_1247_index,0,,0,0,4171,4172,pg_toast,pg_toast_1247,pg_toast_1247_index,1,0
1707240366.013610,2830,2831,pg_toast,pg_toast_2604,pg_toast_2604_index,0,,0,0,2830,2831,pg_toast,pg_toast_2604,pg_toast_2604_index,1,0
1707240366.013610,2832,2833,pg_toast,pg_toast_2606,pg_toast_2606_index,0,,0,0,2832,2833,pg_toast,pg_toast_2606,pg_toast_2606_index,1,0
1707240366.013610,4157,4158,pg_toast,pg_toast_2612,pg_toast_2612_index,0,,0,0,4157,4158,pg_toast,pg_toast_2612,pg_toast_2612_index,1,0
1707240366.013610,4159,4160,pg_toast,pg_toast_2600,pg_toast_2600_index,0,,0,0,4159,4160,pg_toast,pg_toast_2600,pg_toast_2600_index,1,0
1707240366.013610,2840,2841,pg_toast,pg_toast_2619,pg_toast_2619_index,43630,2024-02-06 11:26:06.011751-06,717766,717766,2840,2841,pg_toast,pg_toast_2619,pg_toast_2619_index,219,106319
1707240366.013610,3439,3440,pg_toast,pg_toast_3381,pg_toast_3381_index,0,,0,0,3439,3440,pg_toast,pg_toast_3381,pg_toast_3381_index,1,0
1707240366.013610,3430,3431,pg_toast,pg_toast_3429,pg_toast_3429_index,0,,0,0,3430,3431,pg_toast,pg_toast_3429,pg_toast_3429_index,1,0
1707240366.013610,2838,2839,pg_toast,pg_toast_2618,pg_toast_2618_index,160,2024-02-06 11:26:06.017353-06,466,466,2838,2839,pg_toast,pg_toast_2618,pg_toast_2618_index,5,293
1707240366.013610,2336,2337,pg_toast,pg_toast_2620,pg_toast_2620_index,0,,0,0,2336,2337,pg_toast,pg_toast_2620,pg_toast_2620_index,1,0
1707240366.013610,4145,4146,pg_toast,pg_toast_3466,pg_toast_3466_index,0,,0,0,4145,4146,pg_toast,pg_toast_3466,pg_toast_3466_index,1,0
1707240366.013610,2834,2835,pg_toast,pg_toast_2609,pg_toast_2609_index,0,,0,0,2834,2835,pg_toast,pg_toast_2609,pg_toast_2609_index,1,0
1707240366.013610,4163,4164,pg_toast,pg_toast_2615,pg_toast_2615_index,0,,0,0,4163,4164,pg_toast,pg_toast_2615,pg_toast_2615_index,1,0
1707240366.013610,4177,4178,pg_toast,pg_toast_1262,pg_toast_1262_index,0,,0,0,4177,4178,pg_toast,pg_toast_1262,pg_toast_1262_index,3,1
1707240366.013610,2966,2967,pg_toast,pg_toast_2964,pg_toast_2964_index,0,,0,0,2966,2967,pg_toast,pg_toast_2964,pg_toast_2964_index,3,1
1707240366.013610,4185,4186,pg_toast,pg_toast_1213,pg_toast_1213_index,0,,0,0,4185,4186,pg_toast,pg_toast_1213,pg_toast_1213_index,3,1
1707240366.013610,4175,4176,pg_toast,pg_toast_1260,pg_toast_1260_index,0,,0,0,4175,4176,pg_toast,pg_toast_1260,pg_toast_1260_index,3,1
1707240366.013610,2846,2847,pg_toast,pg_toast_2396,pg_toast_2396_index,0,,0,0,2846,2847,pg_toast,pg_toast_2396,pg_toast_2396_index,3,1
1707240366.013610,4169,4170,pg_toast,pg_toast_3600,pg_toast_3600_index,0,,0,0,4169,4170,pg_toast,pg_toast_3600,pg_toast_3600_index,1,0
1707240366.013610,4147,4148,pg_toast,pg_toast_3079,pg_toast_3079_index,0,,0,0,4147,4148,pg_toast,pg_toast_3079,pg_toast_3079_index,1,0
1707240366.013610,4149,4150,pg_toast,pg_toast_2328,pg_toast_2328_index,0,,0,0,4149,4150,pg_toast,pg_toast_2328,pg_toast_2328_index,1,0
1707240366.013610,4151,4152,pg_toast,pg_toast_1417,pg_toast_1417_index,0,,0,0,4151,4152,pg_toast,pg_toast_1417,pg_toast_1417_index,1,0
1707240366.013610,4173,4174,pg_toast,pg_toast_1418,pg_toast_1418_index,0,,0,0,4173,4174,pg_toast,pg_toast_1418,pg_toast_1418_index,1,0
1707240366.013610,4153,4154,pg_toast,pg_toast_3118,pg_toast_3118_index,0,,0,0,4153,4154,pg_toast,pg_toast_3118,pg_toast_3118_index,1,0
1707240366.013610,4167,4168,pg_toast,pg_toast_3256,pg_toast_3256_index,0,,0,0,4167,4168,pg_toast,pg_toast_3256,pg_toast_3256_index,1,0
1707240366.013610,4181,4182,pg_toast,pg_toast_6000,pg_toast_6000_index,0,,0,0,4181,4182,pg_toast,pg_toast_6000,pg_toast_6000_index,3,1
1707240366.013610,4143,4144,pg_toast,pg_toast_826,pg_toast_826_index,0,,0,0,4143,4144,pg_toast,pg_toast_826,pg_toast_826_index,1,0
1707240366.013610,4155,4156,pg_toast,pg_toast_3394,pg_toast_3394_index,0,,0,0,4155,4156,pg_toast,pg_toast_3394,pg_toast_3394_index,1,0
1707240366.013610,3598,3599,pg_toast,pg_toast_3596,pg_toast_3596_index,0,,0,0,3598,3599,pg_toast,pg_toast_3596,pg_toast_3596_index,1,0
1707240366.013610,4060,4061,pg_toast,pg_toast_3592,pg_toast_3592_index,0,,0,0,4060,4061,pg_toast,pg_toast_3592,pg_toast_3592_index,3,1
1707240366.013610,6175,6176,pg_toast,pg_toast_3456,pg_toast_3456_index,0,,0,0,6175,6176,pg_toast,pg_toast_3456,pg_toast_3456_index,1,0
1707240366.013610,6244,6245,pg_toast,pg_toast_6243,pg_toast_6243_index,0,,0,0,6244,6245,pg_toast,pg_toast_6243,pg_toast_6243_index,3,1
1707240366.013610,4165,4166,pg_toast,pg_toast_3350,pg_toast_3350_index,0,,0,0,4165,4166,pg_toast,pg_toast_3350,pg_toast_3350_index,1,0
1707240366.013610,6228,6229,pg_toast,pg_toast_6106,pg_toast_6106_index,0,,0,0,6228,6229,pg_toast,pg_toast_6106,pg_toast_6106_index,1,0
1707240366.013610,4183,4184,pg_toast,pg_toast_6100,pg_toast_6100_index,0,,0,0,4183,4184,pg_toast,pg_toast_6100,pg_toast_6100_index,3,1
1707240366.013610,24603,24604,pg_toast,pg_toast_24600,pg_toast_24600_index,0,,0,0,24603,24604,pg_toast,pg_toast_24600,pg_toast_24600_index,1,0
