ctime,relid,schemaname,relname,blks_read,blks_hit
1707240365.954243,24577,public,seq_trade_id,11,1182
1707240426.059198,24577,public,seq_trade_id,11,1186
1707240486.105618,24577,public,seq_trade_id,11,1187
1707240546.123508,24577,public,seq_trade_id,11,1188
1707240606.196229,24577,public,seq_trade_id,11,1189
1707240666.211250,24577,public,seq_trade_id,11,1192
1707240726.189429,24577,public,seq_trade_id,11,1193
1707240786.623393,24577,public,seq_trade_id,11,1194
1707240846.315467,24577,public,seq_trade_id,11,1200
1707240906.278588,24577,public,seq_trade_id,11,1202
1707240966.308670,24577,public,seq_trade_id,11,1207
1707241026.388308,24577,public,seq_trade_id,11,1212
1707241086.327030,24577,public,seq_trade_id,11,1213
1707241146.654836,24577,public,seq_trade_id,11,1217
1707241206.466795,24577,public,seq_trade_id,11,1219
1707241266.617541,24577,public,seq_trade_id,11,1221
1707241326.578040,24577,public,seq_trade_id,11,1224
1707241386.603643,24577,public,seq_trade_id,11,1229
1707241446.679664,24577,public,seq_trade_id,11,1232
1707241506.766263,24577,public,seq_trade_id,11,1233
1707241566.983241,24577,public,seq_trade_id,11,1237
1707241626.889417,24577,public,seq_trade_id,11,1237
1707241686.799801,24577,public,seq_trade_id,11,1238
1707241746.805776,24577,public,seq_trade_id,11,1249
1707241806.910275,24577,public,seq_trade_id,11,1253
1707241866.874629,24577,public,seq_trade_id,11,1255
1707241926.954704,24577,public,seq_trade_id,11,1258
1707241987.060413,24577,public,seq_trade_id,11,1258
1707242047.012903,24577,public,seq_trade_id,11,1260
1707242107.155826,24577,public,seq_trade_id,11,1266
1707242167.108543,24577,public,seq_trade_id,11,1267
1707242227.253071,24577,public,seq_trade_id,11,1275
1707242287.209314,24577,public,seq_trade_id,11,1280
1707242347.283693,24577,public,seq_trade_id,11,1280
1707242407.372235,24577,public,seq_trade_id,11,1281
1707242467.401524,24577,public,seq_trade_id,11,1286
1707242527.342305,24577,public,seq_trade_id,11,1288
1707242587.342280,24577,public,seq_trade_id,11,1296
1707242647.625438,24577,public,seq_trade_id,11,1298
1707242707.680247,24577,public,seq_trade_id,11,1301
1707242767.654128,24577,public,seq_trade_id,11,1308
1707242827.616677,24577,public,seq_trade_id,11,1308
1707242887.677692,24577,public,seq_trade_id,11,1313
1707242947.854457,24577,public,seq_trade_id,11,1314
1707243007.781768,24577,public,seq_trade_id,11,1314
1707243067.793646,24577,public,seq_trade_id,11,1318
1707243127.848647,24577,public,seq_trade_id,11,1323
1707243188.039646,24577,public,seq_trade_id,11,1323
1707243248.019749,24577,public,seq_trade_id,11,1325
1707243307.966156,24577,public,seq_trade_id,11,1328
1707243367.949115,24577,public,seq_trade_id,11,1335
1707243428.167431,24577,public,seq_trade_id,11,1339
1707243488.051817,24577,public,seq_trade_id,11,1350
1707243548.079875,24577,public,seq_trade_id,11,1354
1707243608.174989,24577,public,seq_trade_id,11,1356
1707243668.144631,24577,public,seq_trade_id,11,1358
1707243728.308015,24577,public,seq_trade_id,11,1359
1707243788.297248,24577,public,seq_trade_id,11,1368
1707243848.260448,24577,public,seq_trade_id,11,1374
1707243908.302018,24577,public,seq_trade_id,11,1378
1707243968.390937,24577,public,seq_trade_id,11,1387
