ctime,name,blks_zeroed,blks_hit,blks_read,blks_written,blks_exists,flushes,truncates,stats_reset
1707240365.958281,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707240365.958281,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707240365.958281,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707240365.958281,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240365.958281,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240365.958281,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707240365.958281,Xact,0,98840,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707240365.958281,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240426.069846,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707240426.069846,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707240426.069846,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707240426.069846,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240426.069846,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240426.069846,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707240426.069846,Xact,0,98873,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707240426.069846,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240486.105385,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707240486.105385,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707240486.105385,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707240486.105385,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240486.105385,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240486.105385,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707240486.105385,Xact,0,98903,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707240486.105385,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240546.138662,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707240546.138662,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707240546.138662,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707240546.138662,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240546.138662,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240546.138662,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707240546.138662,Xact,0,98915,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707240546.138662,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240606.122034,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707240606.122034,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707240606.122034,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707240606.122034,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240606.122034,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240606.122034,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707240606.122034,Xact,0,98924,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707240606.122034,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240666.193619,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707240666.193619,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707240666.193619,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707240666.193619,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240666.193619,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240666.193619,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707240666.193619,Xact,0,98944,4,52,0,54,0,2024-01-16 15:04:47.848815-06
