Time,UID,PID,%usr,%system,%guest,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,kB_rd/s,kB_wr/s,kB_ccwr/s,cswch/s,nvcswch/s,Command
1707240426,0,1,0.00,0.02,0.00,0.02,0,0.07,0.00,17576,3516,0.09,-1.00,-1.00,-1.00,0.82,0.00,/usr/lib/systemd/systemd --system --deserialize 29
1707240426,0,2,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.02,0.00,kthreadd
1707240426,0,6,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,1.27,0.00,ksoftirqd/0
1707240426,0,7,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.13,0.00,migration/0
1707240426,0,9,0.00,0.02,0.00,0.02,1,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,50.01,0.00,rcu_sched
1707240426,0,11,0.00,0.00,0.00,0.00,1,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.10,0.00,migration/1
1707240426,0,12,0.00,0.00,0.00,0.00,1,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,2.03,0.00,ksoftirqd/1
1707240426,0,15,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.02,0.00,migration/2
1707240426,0,16,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.92,0.00,ksoftirqd/2
1707240426,0,19,0.00,0.00,0.00,0.00,3,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.07,0.00,migration/3
1707240426,0,20,0.00,0.00,0.00,0.00,3,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.93,0.00,ksoftirqd/3
1707240426,0,25,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.02,0.00,khungtaskd
1707240426,0,42,0.00,3.37,0.00,3.37,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,10.76,43.81,kswapd0
1707240426,0,44,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.03,0.00,khugepaged
1707240426,0,347,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.60,0.00,kworker/2:1H
1707240426,0,375,0.00,0.00,0.00,0.00,3,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.22,0.00,xfsaild/vda3
1707240426,0,474,0.00,0.00,0.00,0.00,3,0.00,0.00,12756,6312,0.16,-1.00,-1.00,-1.00,0.02,0.00,/usr/lib/systemd/systemd-journald
1707240426,0,587,0.00,0.00,0.00,0.00,1,0.00,0.00,14256,352,0.01,-1.00,-1.00,-1.00,0.02,0.00,/sbin/auditd
1707240426,0,612,0.00,0.00,0.00,0.00,1,0.00,0.00,3892,1104,0.03,-1.00,-1.00,-1.00,0.02,0.00,/usr/lib/systemd/systemd-logind
1707240426,0,688,0.00,0.00,0.00,0.00,3,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.17,0.00,kworker/3:1H
1707240426,0,698,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.38,0.00,kworker/0:1H
1707240426,0,765,0.00,0.00,0.00,0.00,1,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.15,0.00,kworker/1:1H
1707240426,0,1319,0.00,0.00,0.00,0.00,0,0.07,0.00,17984,196,0.00,-1.00,-1.00,-1.00,0.08,0.00,/usr/libexec/postfix/master -w
1707240426,89,1322,0.02,0.00,0.00,0.02,2,0.35,0.00,18284,204,0.01,-1.00,-1.00,-1.00,0.03,0.00,qmgr -l -t unix -u
1707240426,0,1977,0.02,0.00,0.00,0.02,2,0.00,0.00,427388,928,0.02,-1.00,-1.00,-1.00,0.00,0.00,/usr/bin/python2 -Es /usr/sbin/tuned -l -P
1707240426,0,2340,0.00,0.00,0.00,0.00,0,0.05,0.00,107740,660,0.02,-1.00,-1.00,-1.00,0.02,0.00,/usr/sbin/crond -n
1707240426,0,3631,0.00,0.00,0.00,0.00,3,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,1.87,0.00,kworker/3:1
1707240426,1002,7696,0.00,0.02,0.00,0.02,3,5.67,0.00,1282896,23816,0.60,5.87,0.00,0.00,0.53,0.00,/usr/local/bin/postgres -D /home/markwkm/.local/dbt5
1707240426,1002,7698,0.02,0.02,0.00,0.03,1,12.38,0.00,1283288,93708,2.38,0.00,1.33,0.00,4.95,0.00,postgres: background writer
1707240426,1002,7700,0.02,0.00,0.00,0.02,2,2.28,0.00,1282896,14584,0.37,0.00,1.20,0.00,4.08,0.00,postgres: walwriter
1707240426,1002,7701,0.00,0.00,0.00,0.00,0,0.57,0.00,1285164,1180,0.03,0.00,0.00,0.00,0.15,0.00,postgres: autovacuum launcher
1707240426,0,12502,0.00,0.00,0.00,0.00,0,0.00,0.00,15420,5692,0.14,-1.00,-1.00,-1.00,0.00,0.00,sshd: markwkm [priv]
1707240426,1002,12506,0.00,0.00,0.00,0.00,0,0.00,0.00,15420,2500,0.06,-1.00,-1.00,-1.00,0.03,0.00,sshd: markwkm@pts/1
1707240426,0,12528,0.00,0.00,0.00,0.00,1,0.00,0.00,15420,5688,0.14,-1.00,-1.00,-1.00,0.00,0.00,sshd: markwkm [priv]
1707240426,0,13016,0.00,0.02,0.00,0.02,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,3.15,0.00,kworker/0:0
1707240426,89,13090,0.00,0.00,0.00,0.00,1,0.07,0.00,18120,3924,0.10,-1.00,-1.00,-1.00,0.02,0.00,pickup -l -t unix -u
1707240426,0,15284,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.03,0.00,kworker/2:0
1707240426,1002,19502,0.02,0.02,0.00,0.03,2,4.57,0.00,6128,2628,0.07,0.07,0.00,0.00,2.98,0.00,tmux
1707240426,0,22213,0.00,0.00,0.00,0.00,1,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,1.25,0.00,kworker/1:1
1707240426,0,26867,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,2.05,0.00,kworker/2:1
1707240426,1002,27497,0.00,0.00,0.00,0.00,0,0.52,0.00,107168,1624,0.04,0.00,0.00,0.00,0.02,0.00,/bin/bash /home/markwkm/.local/src/dbt5/builds/release/dbt5-run -i /home/markwkm/.local/egen -d 3600 -u 2 --stats pgsql /tmp/re
1707240426,1002,27518,0.00,0.00,0.00,0.00,1,1.77,0.00,300136,2072,0.05,0.00,0.00,0.00,0.03,0.00,/home/markwkm/.local/egen/bin/BrokerageHouseMain -d dbt5 -o /tmp/results/bh
1707240426,1002,27522,0.00,0.00,0.00,0.00,1,0.55,0.00,334180,27792,0.70,0.00,0.07,0.00,0.03,0.00,/home/markwkm/.local/egen/bin/MarketExchangeMain -c 5000 -t 5000 -i /home/markwkm/.local/egen/flat_in -o /tmp/results/mee
1707240426,1002,27538,1.35,0.10,0.00,1.45,1,241.18,0.00,252380,85492,2.17,0.00,1.00,0.00,0.05,0.00,/home/markwkm/.local/egen/bin/DriverMain -c 5000 -t 5000 -f 500 -w 300 -d 3600 -y 1000 -u 2 -n 0 -i /home/markwkm/.local/egen/f
1707240426,1002,27550,0.00,0.00,0.00,0.00,0,0.38,0.02,106012,772,0.02,0.93,0.07,0.00,0.05,0.00,sar -o /tmp/results/db/z15rhel7/sysstat/sar.datafile 60
1707240426,1002,27552,0.00,0.00,0.00,0.00,0,0.62,0.00,106760,936,0.02,0.00,0.13,0.00,0.02,0.00,sadc 60 -z -S ALL /tmp/results/db/z15rhel7/sysstat/sar.datafile
1707240426,1002,27609,0.00,0.00,0.00,0.00,3,5.90,0.00,107164,736,0.02,31.79,1.93,0.00,0.20,0.00,/bin/sh /home/markwkm/.local/src/touchstone-tools/builds/release/ts-pgsql-stat -o /tmp/results/db/z15rhel7/dbstat
1707240426,1002,27647,0.02,0.00,0.00,0.02,1,17.20,0.03,1287380,13036,0.33,19.60,3.20,0.00,0.78,0.03,postgres: markwkm dbt5 [local] idle
1707240426,1002,27648,0.03,0.00,0.00,0.03,3,75.87,0.07,1288520,19980,0.51,14.33,3.60,0.00,1.03,0.03,postgres: markwkm dbt5 [local] idle
