Linux 3.10.0-1160.71.1.el7.s390x (z15rhel7) 	02/06/2024 	_s390x_	(4 CPU)

11:26:05 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:27:05 AM     all      5.43      0.00      3.30     37.21      2.90     51.16
11:28:05 AM     all      5.15      0.00      3.72     38.63      2.74     49.76
11:29:05 AM     all      5.67      0.00      4.22     33.39      2.97     53.75
11:30:05 AM     all      5.20      0.00      3.99     34.84      3.13     52.83
11:31:05 AM     all      3.51      0.00      2.60     37.19      2.65     54.04
11:32:05 AM     all      6.11      0.00      3.78     33.88      3.23     53.01
11:33:05 AM     all      8.68      0.00      4.82     31.95      7.65     46.89
11:34:05 AM     all      7.24      0.00      4.45     34.63      6.30     47.39
11:35:05 AM     all      4.62      0.00      3.42     39.92      2.79     49.24
11:36:05 AM     all      3.52      0.00      2.95     41.01      1.88     50.65
11:37:05 AM     all      3.36      0.00      2.70     37.90      2.16     53.89
11:38:05 AM     all      4.38      0.00      3.06     36.74      2.62     53.20
11:39:05 AM     all      4.93      0.00      3.30     35.33      3.06     53.38
11:40:05 AM     all      1.82      0.00      1.56     46.15      1.12     49.35
11:41:05 AM     all      9.39      0.00      4.80     22.47      9.90     53.43
11:42:05 AM     all      7.75      0.00      4.26     27.35      3.99     56.65
11:43:05 AM     all      6.90      0.00      3.93     30.79      5.74     52.64
11:44:05 AM     all      4.83      0.00      2.83     39.83      2.57     49.93
11:45:05 AM     all      9.62      0.00      5.01     14.74     15.16     55.47
11:46:05 AM     all      4.89      0.00      2.92     35.45      4.76     51.99
11:47:05 AM     all     10.28      0.00      5.18     20.08     13.43     51.03
11:48:05 AM     all      5.20      0.00      3.83     38.53      2.60     49.84
11:49:05 AM     all      6.27      0.00      3.97     34.72      3.07     51.96
11:50:05 AM     all      3.07      0.00      2.69     40.23      1.75     52.26
11:51:05 AM     all      3.09      0.00      2.63     41.00      1.40     51.88
11:52:05 AM     all      6.26      0.00      4.13     34.44      3.54     51.63
11:53:05 AM     all      6.45      0.00      4.58     31.97      3.94     53.07
11:54:05 AM     all      6.93      0.00      4.37     34.94      3.68     50.08
11:55:05 AM     all      3.61      0.00      2.79     38.18      1.92     53.50
11:56:05 AM     all      5.06      0.00      3.78     36.78      3.14     51.24
11:57:05 AM     all      2.19      0.00      2.08     43.59      1.18     50.96
11:58:05 AM     all      4.45      0.00      3.56     39.12      2.13     50.73
11:59:05 AM     all      7.19      0.00      4.47     32.76      3.44     52.14
12:00:05 PM     all     10.16      0.00      5.58     19.07     10.42     54.76
12:01:05 PM     all      6.10      0.00      3.52     36.60      3.98     49.80
12:02:05 PM     all      7.20      0.00      4.17     32.49      6.15     49.99
12:03:05 PM     all      2.36      0.00      1.87     41.42      0.61     53.74
12:04:05 PM     all      9.91      0.00      5.17     25.21      6.64     53.08
12:05:05 PM     all      9.53      0.00      5.27     24.43      6.78     53.99
12:06:05 PM     all      7.35      0.00      4.21     30.65      5.53     52.27
12:07:05 PM     all     10.20      0.00      5.58     22.71      8.98     52.54
12:08:05 PM     all      5.72      0.00      3.36     38.32      2.78     49.82
12:09:05 PM     all      7.12      0.00      4.12     34.37      3.57     50.83
12:10:05 PM     all      5.86      0.00      3.70     37.76      3.19     49.50
12:11:05 PM     all      2.90      0.00      2.30     41.48      1.68     51.64
12:12:05 PM     all      1.10      0.00      1.37     44.93      0.77     51.83
12:13:05 PM     all      7.93      0.00      4.51     27.20      6.21     54.14
12:14:05 PM     all      8.92      0.00      5.05     18.99     12.57     54.48
12:15:05 PM     all      8.20      0.00      4.45     28.07      5.94     53.33
12:16:05 PM     all      4.00      0.00      2.86     40.65      3.16     49.32
12:17:05 PM     all      2.75      0.00      2.29     41.40      1.65     51.91
12:18:05 PM     all      3.64      0.00      2.82     39.02      2.19     52.33
12:19:05 PM     all      5.52      0.00      3.84     35.51      3.29     51.84
12:20:05 PM     all      8.64      0.00      4.55     25.01      9.65     52.14
12:21:05 PM     all      6.42      0.00      3.97     34.79      4.21     50.62
12:22:05 PM     all      7.15      0.00      5.12     30.03      5.83     51.86
12:23:05 PM     all      2.64      0.00      2.13     40.68      1.41     53.14
12:24:05 PM     all      6.67      0.00      4.20     32.93      3.27     52.94
12:25:05 PM     all      5.68      0.00      3.62     37.19      2.93     50.58
12:26:05 PM     all      3.71      0.00      2.78     39.59      1.69     52.23
