# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
z15rhel7;60;1707240425;-1;5.43;0.00;3.30;37.21;2.90;51.16
z15rhel7;60;1707240425;0;5.83;0.00;3.00;30.82;3.17;57.18
z15rhel7;60;1707240425;1;7.87;0.00;3.57;80.19;3.52;4.85
z15rhel7;60;1707240425;2;1.83;0.00;3.72;23.07;1.92;69.47
z15rhel7;60;1707240425;3;6.17;0.00;2.90;14.80;3.00;73.14
z15rhel7;60;1707240485;-1;5.15;0.00;3.72;38.63;2.74;49.76
z15rhel7;60;1707240485;0;8.72;0.00;4.70;61.69;3.40;21.50
z15rhel7;60;1707240485;1;1.85;0.00;1.42;35.08;1.32;60.34
z15rhel7;60;1707240485;2;5.30;0.00;5.32;30.06;3.23;56.09
z15rhel7;60;1707240485;3;4.75;0.00;3.50;27.66;3.02;61.08
z15rhel7;60;1707240545;-1;5.67;0.00;4.22;33.39;2.97;53.75
z15rhel7;60;1707240545;0;6.45;0.00;4.17;57.23;3.17;28.99
z15rhel7;60;1707240545;1;3.40;0.00;1.87;14.17;1.83;78.73
z15rhel7;60;1707240545;2;7.93;0.00;6.53;46.96;3.90;34.67
z15rhel7;60;1707240545;3;4.90;0.00;4.27;15.24;2.95;72.64
z15rhel7;60;1707240605;-1;5.20;0.00;3.99;34.84;3.13;52.83
z15rhel7;60;1707240605;0;7.80;0.00;5.93;40.72;3.78;41.77
z15rhel7;60;1707240605;1;3.35;0.00;2.57;63.89;2.43;27.76
z15rhel7;60;1707240605;2;4.28;0.00;2.43;14.95;2.62;75.72
z15rhel7;60;1707240605;3;5.38;0.00;5.03;19.81;3.72;66.06
z15rhel7;60;1707240665;-1;3.51;0.00;2.60;37.19;2.65;54.04
z15rhel7;60;1707240665;0;2.32;0.00;3.00;27.75;2.12;64.81
z15rhel7;60;1707240665;1;6.25;0.00;2.95;23.77;4.45;62.58
z15rhel7;60;1707240665;2;2.40;0.00;2.25;73.72;1.58;20.05
