# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
z15rhel7;60;1707240425;-107.62;0.00;-455.48
z15rhel7;60;1707240485;-8.13;0.00;17.85
z15rhel7;60;1707240545;20.18;0.00;-20.17
z15rhel7;60;1707240605;0.22;0.00;6.77
z15rhel7;60;1707240665;-19.53;0.00;15.78
z15rhel7;60;1707240725;-27.03;0.00;32.53
z15rhel7;60;1707240785;58.21;0.00;-65.24
z15rhel7;60;1707240845;-15.41;0.00;27.46
z15rhel7;60;1707240905;-43.08;0.00;49.12
z15rhel7;60;1707240965;44.88;0.00;-40.35
z15rhel7;60;1707241025;4.65;0.00;-10.57
z15rhel7;60;1707241085;-44.20;0.00;46.48
z15rhel7;60;1707241145;16.73;0.00;-15.40
z15rhel7;60;1707241205;7.15;0.00;-16.73
z15rhel7;60;1707241265;16.58;0.00;-10.31
z15rhel7;60;1707241325;-9.95;0.00;11.82
z15rhel7;60;1707241385;-5.33;0.00;-8.37
z15rhel7;60;1707241445;-26.77;0.00;34.97
z15rhel7;60;1707241505;8.63;0.00;-9.41
z15rhel7;60;1707241565;3.02;0.00;0.40
z15rhel7;60;1707241625;-16.12;0.00;21.65
z15rhel7;60;1707241685;27.83;0.00;-32.68
z15rhel7;60;1707241745;29.07;0.00;-25.93
z15rhel7;60;1707241805;-58.15;0.00;53.75
z15rhel7;60;1707241865;23.63;0.00;-21.98
z15rhel7;60;1707241925;29.68;0.00;-25.95
z15rhel7;60;1707241985;-25.30;0.00;23.63
z15rhel7;60;1707242045;-1.72;0.00;2.72
z15rhel7;60;1707242105;-18.43;0.00;14.95
z15rhel7;60;1707242165;2.63;0.00;-9.37
z15rhel7;60;1707242225;-1.17;0.00;5.05
z15rhel7;60;1707242285;44.08;0.00;-44.42
z15rhel7;60;1707242345;12.17;0.00;-6.50
z15rhel7;60;1707242405;-65.50;0.00;60.68
z15rhel7;60;1707242465;55.45;0.00;-56.85
z15rhel7;60;1707242525;-40.13;0.00;42.28
z15rhel7;60;1707242585;38.48;0.00;-34.97
z15rhel7;60;1707242645;-26.44;0.00;17.48
z15rhel7;60;1707242705;21.98;0.00;-11.95
z15rhel7;60;1707242765;-8.97;0.00;1.50
z15rhel7;60;1707242825;-33.87;0.00;38.95
z15rhel7;60;1707242885;11.22;0.00;-14.57
z15rhel7;60;1707242945;15.35;0.00;-14.72
z15rhel7;60;1707243005;-1.28;0.00;0.47
z15rhel7;60;1707243065;-6.51;0.00;9.35
z15rhel7;60;1707243125;-23.15;0.00;22.07
z15rhel7;60;1707243185;-5.98;0.00;5.72
z15rhel7;60;1707243245;6.02;0.00;-4.32
z15rhel7;60;1707243305;24.17;0.00;-23.38
z15rhel7;60;1707243365;-7.67;0.00;2.72
z15rhel7;60;1707243425;-6.45;0.00;11.62
z15rhel7;60;1707243485;19.11;0.00;-29.08
z15rhel7;60;1707243545;-21.97;0.00;32.85
z15rhel7;60;1707243605;38.26;0.00;-48.14
z15rhel7;60;1707243665;-14.70;0.00;19.77
z15rhel7;60;1707243725;-38.87;0.00;41.08
z15rhel7;60;1707243785;56.47;0.00;-62.80
z15rhel7;60;1707243845;-21.77;0.00;22.33
z15rhel7;60;1707243905;-16.62;0.00;19.80
z15rhel7;60;1707243965;3.12;0.00;-1.92
