# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
z15rhel7;60;1707240425;44504;3899896;98.87;0;3569128;1793856;40.14;1857716;1875456;0
z15rhel7;60;1707240485;42552;3901848;98.92;0;3573412;1796468;40.20;1853980;1886016;84
z15rhel7;60;1707240545;47396;3897004;98.80;0;3568572;1796764;40.21;1856596;1878988;12
z15rhel7;60;1707240605;47448;3896952;98.80;0;3570196;1797736;40.23;1857832;1880444;28
z15rhel7;60;1707240665;42760;3901640;98.92;0;3573984;1806984;40.44;1856692;1886312;20
z15rhel7;60;1707240725;36272;3908128;99.08;0;3581792;1807216;40.44;1857044;1893908;60
z15rhel7;60;1707240785;50244;3894156;98.73;0;3566132;1812776;40.57;1862660;1869072;24
z15rhel7;60;1707240845;46544;3897856;98.82;0;3572724;1826132;40.87;1859924;1877040;60
z15rhel7;60;1707240905;36204;3908196;99.08;0;3584512;1826408;40.87;1867744;1881792;28
z15rhel7;60;1707240965;46976;3897424;98.81;0;3574828;1827092;40.89;1860560;1880244;24
z15rhel7;60;1707241025;48092;3896308;98.78;0;3572292;1827524;40.90;1860036;1878176;152
z15rhel7;60;1707241085;37484;3906916;99.05;0;3583448;1827708;40.90;1864764;1884924;0
z15rhel7;60;1707241145;41500;3902900;98.95;0;3579752;1827712;40.90;1860812;1885320;24
z15rhel7;60;1707241205;43216;3901184;98.90;0;3575736;1827768;40.90;1865464;1877036;0
z15rhel7;60;1707241265;47196;3897204;98.80;0;3573260;1827712;40.90;1869440;1870256;36
z15rhel7;60;1707241325;44808;3899592;98.86;0;3576096;1827964;40.91;1873728;1869028;256
z15rhel7;60;1707241385;43528;3900872;98.90;0;3574088;1828544;40.92;1868452;1873432;16
z15rhel7;60;1707241445;37104;3907296;99.06;0;3582480;1828544;40.92;1859552;1890636;8
z15rhel7;60;1707241505;39176;3905224;99.01;0;3580220;1828544;40.92;1887380;1859996;0
z15rhel7;60;1707241565;39900;3904500;98.99;0;3580316;1828676;40.92;1863648;1884208;12
z15rhel7;60;1707241625;36032;3908368;99.09;0;3585512;1817368;40.67;1867008;1884644;56
z15rhel7;60;1707241685;42712;3901688;98.92;0;3577668;1817372;40.67;1863284;1880924;44
z15rhel7;60;1707241745;49688;3894712;98.74;0;3571444;1817640;40.68;1858032;1880104;0
z15rhel7;60;1707241805;35732;3908668;99.09;0;3584344;1817924;40.68;1857244;1894284;160
z15rhel7;60;1707241865;41404;3902996;98.95;0;3579068;1816524;40.65;1865684;1879800;16
z15rhel7;60;1707241925;48528;3895872;98.77;0;3572840;1818068;40.68;1859452;1880984;116
z15rhel7;60;1707241985;42456;3901944;98.92;0;3578512;1818088;40.69;1858628;1887064;0
z15rhel7;60;1707242045;42044;3902356;98.93;0;3579164;1818216;40.69;1854720;1891812;0
z15rhel7;60;1707242105;37620;3906780;99.05;0;3582752;1818216;40.69;1861428;1889004;16
z15rhel7;60;1707242165;38252;3906148;99.03;0;3580504;1818868;40.70;1868808;1879632;212
z15rhel7;60;1707242225;37972;3906428;99.04;0;3581716;1819004;40.71;1864644;1884880;0
z15rhel7;60;1707242285;48552;3895848;98.77;0;3571056;1819004;40.71;1860544;1878560;232
z15rhel7;60;1707242345;51472;3892928;98.70;0;3569496;1819004;40.71;1861640;1876132;188
z15rhel7;60;1707242405;35752;3908648;99.09;0;3584060;1819004;40.71;1865452;1886980;4
z15rhel7;60;1707242465;49064;3895336;98.76;0;3570412;1819004;40.71;1869256;1869664;72
z15rhel7;60;1707242525;39432;3904968;99.00;0;3580560;1819136;40.71;1868340;1880728;24
z15rhel7;60;1707242585;48668;3895732;98.77;0;3572168;1819136;40.71;1865816;1874348;12
z15rhel7;60;1707242645;42320;3902080;98.93;0;3576364;1822168;40.78;1873584;1872028;0
z15rhel7;60;1707242705;47596;3896804;98.79;0;3573496;1819500;40.72;1865888;1875784;236
z15rhel7;60;1707242765;45444;3898956;98.85;0;3573856;1822500;40.78;1874788;1867536;0
z15rhel7;60;1707242825;37312;3907088;99.05;0;3583208;1819500;40.72;1862564;1888424;240
z15rhel7;60;1707242885;40004;3904396;98.99;0;3579712;1819496;40.72;1859720;1888112;76
z15rhel7;60;1707242945;43688;3900712;98.89;0;3576180;1819500;40.72;1858872;1885244;92
z15rhel7;60;1707243005;43380;3901020;98.90;0;3576292;1819500;40.72;1857732;1886668;128
z15rhel7;60;1707243065;41816;3902584;98.94;0;3578536;1819500;40.72;1865836;1880712;76
z15rhel7;60;1707243125;36260;3908140;99.08;0;3583832;1819500;40.72;1861868;1890216;8
z15rhel7;60;1707243185;34824;3909576;99.12;0;3585204;1819500;40.72;1878848;1874392;96
z15rhel7;60;1707243245;36268;3908132;99.08;0;3584168;1819500;40.72;1866776;1885344;8
z15rhel7;60;1707243305;42068;3902332;98.93;0;3578556;1819500;40.72;1864132;1882412;0
z15rhel7;60;1707243365;40228;3904172;98.98;0;3579208;1819500;40.72;1863156;1884068;0
z15rhel7;60;1707243425;38680;3905720;99.02;0;3581996;1819500;40.72;1865656;1884296;8
