# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
z15rhel7;60;1707240425;lo;1.98;1.98;1.04;1.04;0.00;0.00;0.00
z15rhel7;60;1707240425;eth0;16.48;0.23;0.70;0.02;0.00;0.00;0.00
z15rhel7;60;1707240485;lo;0.95;0.95;0.65;0.65;0.00;0.00;0.00
z15rhel7;60;1707240485;eth0;20.53;2.65;1.16;0.41;0.00;0.00;0.00
z15rhel7;60;1707240545;lo;1.32;1.32;0.93;0.93;0.00;0.00;0.00
z15rhel7;60;1707240545;eth0;17.17;0.25;0.76;0.01;0.00;0.00;0.00
z15rhel7;60;1707240605;lo;0.50;0.50;0.33;0.33;0.00;0.00;0.00
z15rhel7;60;1707240605;eth0;15.10;0.32;0.64;0.02;0.00;0.00;0.00
z15rhel7;60;1707240665;lo;1.98;1.98;1.33;1.33;0.00;0.00;0.00
z15rhel7;60;1707240665;eth0;16.83;0.38;0.80;0.03;0.00;0.00;0.00
z15rhel7;60;1707240725;lo;1.07;1.07;0.75;0.75;0.00;0.00;0.00
z15rhel7;60;1707240725;eth0;18.90;2.78;1.03;0.47;0.00;0.00;0.00
z15rhel7;60;1707240785;lo;0.65;0.65;0.43;0.43;0.00;0.00;0.00
z15rhel7;60;1707240785;eth0;25.11;7.28;1.60;1.95;0.00;0.00;0.00
z15rhel7;60;1707240845;lo;2.53;2.53;1.57;1.57;0.00;0.00;0.00
z15rhel7;60;1707240845;eth0;21.06;3.33;1.11;0.79;0.00;0.00;0.00
z15rhel7;60;1707240905;lo;1.40;1.40;0.91;0.91;0.00;0.00;0.00
z15rhel7;60;1707240905;eth0;16.35;0.27;0.74;0.02;0.00;0.00;0.00
z15rhel7;60;1707240965;lo;2.87;2.87;1.85;1.85;0.00;0.00;0.00
z15rhel7;60;1707240965;eth0;17.97;0.33;0.80;0.02;0.00;0.00;0.00
z15rhel7;60;1707241025;lo;1.95;1.95;1.33;1.33;0.00;0.00;0.00
