# hostname;interval;timestamp;pswpin/s;pswpout/s
z15rhel7;60;1707240425;0.65;0.05
z15rhel7;60;1707240485;0.25;0.00
z15rhel7;60;1707240545;0.22;0.20
z15rhel7;60;1707240605;0.22;0.00
z15rhel7;60;1707240665;0.55;4.47
z15rhel7;60;1707240725;2.32;0.00
z15rhel7;60;1707240785;0.92;52.42
z15rhel7;60;1707240845;7.37;14.60
z15rhel7;60;1707240905;4.07;0.00
z15rhel7;60;1707240965;6.75;0.00
z15rhel7;60;1707241025;4.17;0.00
z15rhel7;60;1707241085;0.40;0.00
z15rhel7;60;1707241145;0.25;0.00
z15rhel7;60;1707241205;1.07;0.00
z15rhel7;60;1707241265;1.65;0.35
z15rhel7;60;1707241325;1.93;0.00
z15rhel7;60;1707241385;3.38;0.00
z15rhel7;60;1707241445;2.12;0.00
z15rhel7;60;1707241505;0.67;5.08
z15rhel7;60;1707241565;2.60;0.00
z15rhel7;60;1707241625;13.18;5.42
z15rhel7;60;1707241685;2.33;0.00
z15rhel7;60;1707241745;4.67;0.00
z15rhel7;60;1707241805;1.28;0.00
z15rhel7;60;1707241865;2.58;0.00
z15rhel7;60;1707241925;0.83;0.00
z15rhel7;60;1707241985;0.02;0.00
z15rhel7;60;1707242045;0.08;0.00
z15rhel7;60;1707242105;0.00;0.00
z15rhel7;60;1707242165;0.10;0.00
z15rhel7;60;1707242225;0.15;0.00
z15rhel7;60;1707242285;0.02;0.00
z15rhel7;60;1707242345;0.07;0.00
z15rhel7;60;1707242405;0.17;0.02
z15rhel7;60;1707242465;0.13;0.00
z15rhel7;60;1707242525;0.30;0.02
z15rhel7;60;1707242585;0.02;0.00
z15rhel7;60;1707242645;0.07;0.00
z15rhel7;60;1707242705;0.75;0.02
z15rhel7;60;1707242765;0.45;0.00
z15rhel7;60;1707242825;0.30;0.00
z15rhel7;60;1707242885;0.05;0.00
z15rhel7;60;1707242945;0.12;0.00
z15rhel7;60;1707243005;0.53;0.00
z15rhel7;60;1707243065;0.00;0.00
z15rhel7;60;1707243125;0.10;0.00
z15rhel7;60;1707243185;0.17;0.00
z15rhel7;60;1707243245;0.10;0.08
z15rhel7;60;1707243305;0.30;0.00
z15rhel7;60;1707243365;0.17;0.00
z15rhel7;60;1707243425;0.00;0.00
z15rhel7;60;1707243485;0.15;0.00
z15rhel7;60;1707243545;0.07;0.00
z15rhel7;60;1707243605;0.07;0.00
z15rhel7;60;1707243665;0.13;0.00
z15rhel7;60;1707243725;0.15;0.00
z15rhel7;60;1707243785;0.03;0.00
z15rhel7;60;1707243845;0.12;0.00
z15rhel7;60;1707243905;0.02;0.00
z15rhel7;60;1707243965;0.00;0.00
