ctime,relid,schemaname,relname,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1719457505.906756,4268220,public,s_inventory,0,0,,,,,,,4268220,public,s_inventory,0,0,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,2619,pg_catalog,pg_statistic,199,130372,19,222189,43,5940,2,3851,2619,pg_catalog,pg_statistic,0,0,93859,77165,6497,15450,6489,10773,238,196,28436,0,,2024-06-27 03:05:04.93061+00,,,0,52,0,0
1719457505.906756,1247,pg_catalog,pg_type,65,195461,15,415952,0,0,0,0,1247,pg_catalog,pg_type,0,0,194448,190719,1402,0,1332,0,681,70,140,70,,2024-06-26 23:45:29.435435+00,2024-06-26 23:46:00.146737+00,2024-06-26 23:45:29.43971+00,0,6,18,18
1719457505.906756,2836,pg_toast,pg_toast_1255,0,0,0,0,,,,,2836,pg_toast,pg_toast_1255,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4171,pg_toast,pg_toast_1247,0,0,0,0,,,,,4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,2830,pg_toast,pg_toast_2604,0,0,0,0,,,,,2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,2832,pg_toast,pg_toast_2606,0,0,0,0,,,,,2832,pg_toast,pg_toast_2606,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4157,pg_toast,pg_toast_2612,0,0,0,0,,,,,4157,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4159,pg_toast,pg_toast_2600,0,0,0,0,,,,,4159,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,2840,pg_toast,pg_toast_2619,43,5940,2,3851,,,,,2840,pg_toast,pg_toast_2619,0,0,2386,3380,952,0,952,0,13,23,1904,0,,2024-06-26 23:46:03.666895+00,,,0,15,0,0
1719457505.906756,3439,pg_toast,pg_toast_3381,0,0,0,0,,,,,3439,pg_toast,pg_toast_3381,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,3430,pg_toast,pg_toast_3429,0,0,0,0,,,,,3430,pg_toast,pg_toast_3429,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,2838,pg_toast,pg_toast_2618,15,9159,2,13763,,,,,2838,pg_toast,pg_toast_2618,0,0,7452,21781,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,2336,pg_toast,pg_toast_2620,0,0,0,0,,,,,2336,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4145,pg_toast,pg_toast_3466,0,0,0,0,,,,,4145,pg_toast,pg_toast_3466,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,2834,pg_toast,pg_toast_2609,0,0,0,0,,,,,2834,pg_toast,pg_toast_2609,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,3118,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,3118,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:00.347095+00,,0,0,18,0
1719457505.906756,4163,pg_toast,pg_toast_2615,0,0,0,0,,,,,4163,pg_toast,pg_toast_2615,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4177,pg_toast,pg_toast_1262,0,0,1,0,,,,,4177,pg_toast,pg_toast_1262,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.827865+00,,,,1,0,0,0
1719457505.906756,2966,pg_toast,pg_toast_2964,0,0,1,0,,,,,2966,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.864051+00,,,,1,0,0,0
1719457505.906756,4185,pg_toast,pg_toast_1213,0,0,1,0,,,,,4185,pg_toast,pg_toast_1213,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.828434+00,,,,1,0,0,0
1719457505.906756,4175,pg_toast,pg_toast_1260,0,0,1,0,,,,,4175,pg_toast,pg_toast_1260,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.79857+00,,,,1,0,0,0
1719457505.906756,2846,pg_toast,pg_toast_2396,0,0,1,0,,,,,2846,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.828968+00,,,,1,0,0,0
1719457505.906756,4169,pg_toast,pg_toast_3600,0,0,0,0,,,,,4169,pg_toast,pg_toast_3600,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4147,pg_toast,pg_toast_3079,0,0,0,0,,,,,4147,pg_toast,pg_toast_3079,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4149,pg_toast,pg_toast_2328,0,0,0,0,,,,,4149,pg_toast,pg_toast_2328,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4151,pg_toast,pg_toast_1417,0,0,0,0,,,,,4151,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4173,pg_toast,pg_toast_1418,0,0,0,0,,,,,4173,pg_toast,pg_toast_1418,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4153,pg_toast,pg_toast_3118,0,0,0,0,,,,,4153,pg_toast,pg_toast_3118,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4167,pg_toast,pg_toast_3256,0,0,0,0,,,,,4167,pg_toast,pg_toast_3256,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4181,pg_toast,pg_toast_6000,0,0,1,0,,,,,4181,pg_toast,pg_toast_6000,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.862752+00,,,,1,0,0,0
1719457505.906756,4143,pg_toast,pg_toast_826,0,0,0,0,,,,,4143,pg_toast,pg_toast_826,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4155,pg_toast,pg_toast_3394,0,0,0,0,,,,,4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,3598,pg_toast,pg_toast_3596,0,0,0,0,,,,,3598,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4060,pg_toast,pg_toast_3592,0,0,1,0,,,,,4060,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.863585+00,,,,1,0,0,0
1719457505.906756,6175,pg_toast,pg_toast_3456,0,0,0,0,,,,,6175,pg_toast,pg_toast_3456,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
