ctime,datid,datname,pid,leader_pid,usesysid,usename,application_name,client_addr,client_hostname,client_port,backend_start,xact_start,query_start,state_change,wait_event_type,wait_event,state,backend_xid,backend_xmin,query_id,query,backend_type
1719457543.402753,,,2559531,,,,"",,,,2024-06-26 00:36:03.456573+00,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1719457543.402753,,,2559532,,10,markwkm,"",,,,2024-06-26 00:36:03.457075+00,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1719457543.402753,4263817,dbt7,2854266,,10,markwkm,psql,,,-1,2024-06-27 03:05:43.3991+00,2024-06-27 03:05:43.402753+00,2024-06-27 03:05:43.402753+00,2024-06-27 03:05:43.402754+00,,,active,,4813685,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",client backend
1719457543.402753,4263817,dbt7,2854267,,10,markwkm,psql,,,-1,2024-06-27 03:05:43.399711+00,2024-06-27 03:05:43.403217+00,2024-06-27 03:05:43.403217+00,2024-06-27 03:05:43.403217+00,,,active,,4813685,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime,
datname, nspname, relname, pg_locks.*
FROM pg_locks, pg_class, pg_namespace, pg_database
WHERE relfilenode = relation
  AND relnamespace = pg_namespace.oid
  AND database = pg_database.oid
  AND current_database() = datname
ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",client backend
1719457543.402753,4263817,dbt7,2854268,,10,markwkm,psql,,,-1,2024-06-27 03:05:43.400576+00,2024-06-27 03:05:43.403967+00,2024-06-27 03:05:43.403967+00,2024-06-27 03:05:43.403967+00,,,active,,4813685,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_replication) TO STDOUT (FORMAT CSV, HEADER);",client backend
1719457543.402753,4263817,dbt7,2854269,,10,markwkm,psql,,,-1,2024-06-27 03:05:43.401166+00,2024-06-27 03:05:43.404722+00,2024-06-27 03:05:43.404722+00,2024-06-27 03:05:43.404723+00,,,active,,4813685,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_progress_vacuum) TO STDOUT (FORMAT CSV, HEADER);",client backend
1719457543.402753,,,2559528,,,,"",,,,2024-06-26 00:36:03.450386+00,,,,Activity,BgWriterMain,,,,,"",background writer
1719457543.402753,,,2559527,,,,"",,,,2024-06-26 00:36:03.449941+00,,,,Activity,CheckpointerMain,,,,,"",checkpointer
1719457543.402753,,,2559530,,,,"",,,,2024-06-26 00:36:03.456156+00,,,,Activity,WalWriterMain,,,,,"",walwriter
1719457603.416089,,,2559531,,,,"",,,,2024-06-26 00:36:03.456573+00,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1719457603.416089,,,2559532,,10,markwkm,"",,,,2024-06-26 00:36:03.457075+00,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1719457603.416089,4263817,dbt7,2854286,,10,markwkm,psql,,,-1,2024-06-27 03:05:43.466495+00,2024-06-27 03:05:43.470605+00,2024-06-27 03:05:43.470605+00,2024-06-27 03:05:43.470605+00,,,active,,4813687,,"with customer_total_return as
(select sr_customer_sk as ctr_customer_sk
,sr_store_sk as ctr_store_sk
,sum(SR_RETURN_AMT) as ctr_total_return
from store_returns
,date_dim
where sr_returned_date_sk = d_date_sk
and d_year =2000
group by sr_customer_sk
,sr_store_sk)
 select  c_customer_id
from customer_total_return ctr1
,store
,customer
where ctr1.ctr_total_return > (select avg(ctr_total_return)*1.2
from customer_total_return ctr2
where ctr1.ctr_store_sk = ctr2.ctr_store_sk)
and s_store_sk = ctr1.ctr_store_sk
and s_state = 'TN'
and ctr1.ctr_customer_sk = c_customer_sk
order by c_customer_id
limit 100;",client backend
1719457603.416089,4263817,dbt7,2854485,,10,markwkm,psql,,,-1,2024-06-27 03:06:43.412553+00,2024-06-27 03:06:43.416089+00,2024-06-27 03:06:43.416089+00,2024-06-27 03:06:43.41609+00,,,active,,4813687,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",client backend
1719457603.416089,4263817,dbt7,2854486,,10,markwkm,psql,,,-1,2024-06-27 03:06:43.414038+00,2024-06-27 03:06:43.417855+00,2024-06-27 03:06:43.417855+00,2024-06-27 03:06:43.417856+00,Client,ClientRead,active,,4813687,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_slru) TO STDOUT (FORMAT CSV);",client backend
1719457603.416089,4263817,dbt7,2854487,,10,markwkm,psql,,,-1,2024-06-27 03:06:43.414742+00,2024-06-27 03:06:43.418271+00,2024-06-27 03:06:43.418271+00,2024-06-27 03:06:43.418272+00,,,active,,4813687,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_all_indexes a, pg_statio_all_indexes b
WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",client backend
