ctime,checkpoints_timed,checkpoints_req,checkpoint_write_time,checkpoint_sync_time,buffers_checkpoint,buffers_clean,maxwritten_clean,buffers_backend,buffers_backend_fsync,buffers_alloc,stats_reset
1719457543.407076,415,8,34808386,1450,25352899,3713719,34646,507057782,0,756463524,2024-06-13 18:53:49.178489+00
1719457603.418852,416,8,34808386,1450,25355722,3713719,34646,507663567,0,756463525,2024-06-13 18:53:49.178489+00
1719457663.430837,416,8,34808386,1450,25360256,3713719,34646,507663567,0,756463525,2024-06-13 18:53:49.178489+00
1719457723.444237,416,8,34808386,1450,25364791,3713719,34646,507663567,0,756463525,2024-06-13 18:53:49.178489+00
1719457783.456556,416,8,34808386,1450,25369325,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719457843.463629,416,8,34808386,1450,25373851,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719457903.477493,416,8,34808386,1450,25378385,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719457963.486314,416,8,34808386,1450,25382920,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719458023.500946,416,8,34808386,1450,25387454,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719458083.511786,416,8,34808386,1450,25391988,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719458143.517330,416,8,34808386,1450,25396523,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719458203.529422,416,8,34808386,1450,25401049,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719458263.540719,416,8,34808386,1450,25405583,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719458323.552351,416,8,34808386,1450,25410117,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719458383.564965,416,8,34808386,1450,25414651,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719458443.576507,416,8,34808386,1450,25419185,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719458503.586443,416,8,34808386,1450,25423719,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719458563.601742,416,8,34808386,1450,25428253,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719458623.610990,416,8,34808386,1450,25432787,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719458683.620537,416,8,34808386,1450,25437314,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
