ctime,datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
1719457543.410133,0,,0,0,0,221,39068703,17414814,8405885,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719457543.410133,5,postgres,0,1404071,0,617,51295513,614288802,9850026,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719457543.410133,4263817,dbt7,6,1360074,191,11982539,1430490006,10421599826,714339968,301436493,18598,34231,0,1040,35311910818,0,,,0,0,167023717.96,88344407.403,0,17361,0,0,0,
1719457543.410133,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719457543.410133,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719457543.410133,4212858,dbt5,0,2695784,4989,1084972869,5879096280,60728040560,7852524205,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719457603.413700,0,,0,0,0,221,39071692,17415497,8406558,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719457603.413700,5,postgres,0,1404183,0,617,51299601,614337802,9850810,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719457603.413700,4263817,dbt7,5,1360205,191,11982540,1430500517,10421670270,714343600,301436494,18598,34231,0,1040,35311910818,0,,,0,0,167023778.43,88344436.935,0,17370,0,0,0,
1719457603.413700,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719457603.413700,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719457603.413700,4212858,dbt5,0,2695898,4989,1084972869,5879100441,60728103488,7852525003,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719457663.425146,0,,0,0,0,221,39074835,17416239,8407267,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719457663.425146,5,postgres,0,1404295,0,617,51303689,614386802,9851594,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719457663.425146,4263817,dbt7,4,1360350,191,11982540,1430513448,10421742296,714348806,301436494,18598,34231,0,1040,35311910818,0,,,0,0,167023881.062,88344482.51,0,17386,0,0,0,
