ctime,relid,schemaname,relname,blks_read,blks_hit
1719457543.412777,4268223,public,dataset,1,1
1719457603.420266,4268223,public,dataset,1,1
1719457663.435397,4268223,public,dataset,1,1
1719457723.445741,4268223,public,dataset,1,1
1719457783.454992,4268223,public,dataset,1,1
1719457843.464345,4268223,public,dataset,1,1
1719457903.476552,4268223,public,dataset,1,1
1719457963.489667,4268223,public,dataset,1,1
1719458023.502297,4268223,public,dataset,1,1
1719458083.514208,4268223,public,dataset,1,1
1719458143.516701,4268223,public,dataset,1,1
1719458203.529998,4268223,public,dataset,1,1
1719458263.540466,4268223,public,dataset,1,1
1719458323.553587,4268223,public,dataset,1,1
1719458383.563902,4268223,public,dataset,1,1
1719458443.574468,4268223,public,dataset,1,1
1719458503.584893,4268223,public,dataset,1,1
1719458563.599421,4268223,public,dataset,1,1
1719458623.610315,4268223,public,dataset,1,1
1719458683.623792,4268223,public,dataset,1,1
1719458743.634727,4268223,public,dataset,1,1
1719458803.643603,4268223,public,dataset,1,1
1719458863.652544,4268223,public,dataset,1,1
1719458923.661397,4268223,public,dataset,1,1
1719458983.674552,4268223,public,dataset,1,1
1719459043.684448,4268223,public,dataset,1,1
1719459103.696295,4268223,public,dataset,1,1
1719459163.708450,4268223,public,dataset,1,1
1719459223.709316,4268223,public,dataset,1,1
1719459283.720011,4268223,public,dataset,1,1
1719459343.735732,4268223,public,dataset,1,1
1719459403.746057,4268223,public,dataset,1,1
1719459463.753947,4268223,public,dataset,1,1
1719459523.767346,4268223,public,dataset,1,1
1719459583.777556,4268223,public,dataset,1,1
1719459643.788680,4268223,public,dataset,1,1
1719459703.799640,4268223,public,dataset,1,1
1719459763.809687,4268223,public,dataset,1,1
1719459823.818696,4268223,public,dataset,1,1
1719459883.830395,4268223,public,dataset,1,1
1719459943.841438,4268223,public,dataset,1,1
1719460003.848611,4268223,public,dataset,1,1
1719460063.861374,4268223,public,dataset,1,1
1719460123.869289,4268223,public,dataset,1,1
1719460183.878163,4268223,public,dataset,1,1
1719460243.888224,4268223,public,dataset,1,1
1719460303.901405,4268223,public,dataset,1,1
1719460363.905444,4268223,public,dataset,1,1
1719460423.916505,4268223,public,dataset,1,1
1719460483.933404,4268223,public,dataset,1,1
1719460543.942271,4268223,public,dataset,1,1
1719460603.954936,4268223,public,dataset,1,1
1719460663.958748,4268223,public,dataset,1,1
1719460723.969842,4268223,public,dataset,1,1
1719460783.980870,4268223,public,dataset,1,1
1719460843.988527,4268223,public,dataset,1,1
1719460903.998901,4268223,public,dataset,1,1
1719460964.006576,4268223,public,dataset,1,1
1719461024.018106,4268223,public,dataset,1,1
1719461084.034245,4268223,public,dataset,1,1
1719461144.039984,4268223,public,dataset,1,1
1719461204.059040,4268223,public,dataset,1,1
1719461264.069085,4268223,public,dataset,1,1
1719461324.077220,4268223,public,dataset,1,1
1719461384.090604,4268223,public,dataset,1,1
1719461444.101460,4268223,public,dataset,1,1
1719461504.113728,4268223,public,dataset,1,1
1719461564.120408,4268223,public,dataset,1,1
1719461624.128639,4268223,public,dataset,1,1
1719461684.138895,4268223,public,dataset,1,1
1719461744.146518,4268223,public,dataset,1,1
1719461804.157447,4268223,public,dataset,1,1
1719461864.170708,4268223,public,dataset,1,1
1719461924.184101,4268223,public,dataset,1,1
1719461984.190025,4268223,public,dataset,1,1
1719462044.202955,4268223,public,dataset,1,1
1719462104.209932,4268223,public,dataset,1,1
1719462164.220244,4268223,public,dataset,1,1
1719462224.236864,4268223,public,dataset,1,1
1719462284.244345,4268223,public,dataset,1,1
1719462344.252068,4268223,public,dataset,1,1
1719462404.263737,4268223,public,dataset,1,1
1719462464.276579,4268223,public,dataset,1,1
1719462524.287261,4268223,public,dataset,1,1
1719462584.298965,4268223,public,dataset,1,1
1719462644.306225,4268223,public,dataset,1,1
1719462704.318317,4268223,public,dataset,1,1
1719462764.326015,4268223,public,dataset,1,1
1719462824.345208,4268223,public,dataset,1,1
1719462884.356601,4268223,public,dataset,1,1
1719462944.369596,4268223,public,dataset,1,1
1719463004.379629,4268223,public,dataset,1,1
1719463064.388666,4268223,public,dataset,1,1
1719463124.402254,4268223,public,dataset,1,1
1719463184.413855,4268223,public,dataset,1,1
1719463244.421824,4268223,public,dataset,1,1
1719463304.430413,4268223,public,dataset,1,1
1719463364.440203,4268223,public,dataset,1,1
1719463424.455225,4268223,public,dataset,1,1
1719463484.464149,4268223,public,dataset,1,1
1719463544.467406,4268223,public,dataset,1,1
1719463604.481997,4268223,public,dataset,1,1
1719463664.494649,4268223,public,dataset,1,1
1719463724.502396,4268223,public,dataset,1,1
1719463784.511976,4268223,public,dataset,1,1
1719463844.525000,4268223,public,dataset,1,1
1719463904.537095,4268223,public,dataset,1,1
1719463964.546546,4268223,public,dataset,1,1
1719464024.559721,4268223,public,dataset,1,1
1719464084.565515,4268223,public,dataset,1,1
1719464144.576680,4268223,public,dataset,1,1
1719464204.593613,4268223,public,dataset,1,1
1719464264.604573,4268223,public,dataset,1,1
1719464324.612010,4268223,public,dataset,1,1
1719464384.624303,4268223,public,dataset,1,1
1719464444.635122,4268223,public,dataset,1,1
1719464504.641465,4268223,public,dataset,1,1
1719464564.651888,4268223,public,dataset,1,1
1719464624.660637,4268223,public,dataset,1,1
1719464684.670667,4268223,public,dataset,1,1
1719464744.684680,4268223,public,dataset,1,1
1719464804.692119,4268223,public,dataset,1,1
