ctime,name,blks_zeroed,blks_hit,blks_read,blks_written,blks_exists,flushes,truncates,stats_reset
1719457543.411024,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719457543.411024,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719457543.411024,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719457543.411024,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457543.411024,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457543.411024,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719457543.411024,Xact,705,89826180,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719457543.411024,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457603.417855,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719457603.417855,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719457603.417855,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719457603.417855,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457603.417855,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457603.417855,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719457603.417855,Xact,705,89826181,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719457603.417855,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457663.432291,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719457663.432291,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719457663.432291,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719457663.432291,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457663.432291,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457663.432291,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719457663.432291,Xact,705,89826181,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719457663.432291,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457723.443101,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719457723.443101,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719457723.443101,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719457723.443101,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457723.443101,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457723.443101,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719457723.443101,Xact,705,89826181,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719457723.443101,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457783.453945,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719457783.453945,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719457783.453945,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719457783.453945,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457783.453945,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457783.453945,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719457783.453945,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719457783.453945,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457843.462218,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719457843.462218,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719457843.462218,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719457843.462218,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457843.462218,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457843.462218,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719457843.462218,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719457843.462218,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457903.474025,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719457903.474025,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719457903.474025,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719457903.474025,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457903.474025,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457903.474025,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719457903.474025,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719457903.474025,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457963.484887,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719457963.484887,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719457963.484887,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719457963.484887,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457963.484887,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719457963.484887,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719457963.484887,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719457963.484887,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458023.500188,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458023.500188,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458023.500188,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458023.500188,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458023.500188,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458023.500188,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458023.500188,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458023.500188,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458083.508804,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458083.508804,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458083.508804,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458083.508804,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458083.508804,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458083.508804,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458083.508804,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458083.508804,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458143.518947,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458143.518947,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458143.518947,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458143.518947,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458143.518947,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458143.518947,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458143.518947,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458143.518947,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458203.532545,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458203.532545,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458203.532545,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458203.532545,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458203.532545,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458203.532545,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458203.532545,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458203.532545,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458263.538499,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458263.538499,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458263.538499,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458263.538499,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458263.538499,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458263.538499,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458263.538499,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458263.538499,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458323.549148,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458323.549148,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458323.549148,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458323.549148,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458323.549148,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458323.549148,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458323.549148,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458323.549148,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458383.562908,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458383.562908,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458383.562908,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458383.562908,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458383.562908,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458383.562908,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
