ctime,relid,schemaname,relname,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1719457543.406902,4268117,public,catalog_returns,11153,27941,135,6,,,,,4268117,public,catalog_returns,2,288614,5,4,144307,0,0,0,144307,0,0,0,,2024-06-27 03:05:23.281879+00,2024-06-27 03:05:36.480237+00,2024-06-27 03:05:23.479474+00,0,1,1,1
1719457543.406902,4268185,public,time_dim,1451,11628,216,104,,,,,4268185,public,time_dim,2,172800,51,50,86400,0,0,0,86400,0,0,0,,2024-06-27 03:05:32.18553+00,2024-06-27 03:05:36.650327+00,2024-06-27 03:05:32.380145+00,0,1,1,1
1719457543.406902,4268220,public,s_inventory,0,0,0,0,,,,,4268220,public,s_inventory,3,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-27 03:05:36.650671+00,,0,0,1,0
1719457543.406902,2619,pg_catalog,pg_statistic,199,134435,19,228646,43,6201,2,4009,2619,pg_catalog,pg_statistic,0,0,96315,78587,6928,16348,6489,11417,843,0,29765,0,,2024-06-27 03:05:40.671767+00,,,0,54,0,0
1719457543.406902,1247,pg_catalog,pg_type,65,196883,15,419047,0,0,0,0,1247,pg_catalog,pg_type,0,0,195806,192075,1402,0,1332,0,681,70,0,70,,2024-06-26 23:45:29.435435+00,2024-06-27 03:05:36.65436+00,2024-06-27 03:05:06.032457+00,0,6,19,19
1719457543.406902,4268132,pg_toast,pg_toast_4268129,0,0,0,0,,,,,4268132,pg_toast,pg_toast_4268129,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,2836,pg_toast,pg_toast_1255,0,0,0,0,,,,,2836,pg_toast,pg_toast_1255,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,4171,pg_toast,pg_toast_1247,0,0,0,0,,,,,4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,2830,pg_toast,pg_toast_2604,0,0,0,0,,,,,2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,2832,pg_toast,pg_toast_2606,0,0,0,0,,,,,2832,pg_toast,pg_toast_2606,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,4157,pg_toast,pg_toast_2612,0,0,0,0,,,,,4157,pg_toast,pg_toast_2612,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,4159,pg_toast,pg_toast_2600,0,0,0,0,,,,,4159,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,2840,pg_toast,pg_toast_2619,43,6201,2,4009,,,,,2840,pg_toast,pg_toast_2619,0,0,2473,3477,1012,0,989,0,36,0,2001,0,,2024-06-27 03:05:40.672448+00,,,0,16,0,0
1719457543.406902,3439,pg_toast,pg_toast_3381,0,0,0,0,,,,,3439,pg_toast,pg_toast_3381,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,3430,pg_toast,pg_toast_3429,0,0,0,0,,,,,3430,pg_toast,pg_toast_3429,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,2838,pg_toast,pg_toast_2618,15,9173,2,13780,,,,,2838,pg_toast,pg_toast_2618,0,0,7461,21809,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,2336,pg_toast,pg_toast_2620,0,0,0,0,,,,,2336,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,4145,pg_toast,pg_toast_3466,0,0,0,0,,,,,4145,pg_toast,pg_toast_3466,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,2834,pg_toast,pg_toast_2609,0,0,0,0,,,,,2834,pg_toast,pg_toast_2609,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,3118,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,3118,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-27 03:05:36.654664+00,,0,0,19,0
1719457543.406902,4163,pg_toast,pg_toast_2615,0,0,0,0,,,,,4163,pg_toast,pg_toast_2615,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,4177,pg_toast,pg_toast_1262,0,0,1,0,,,,,4177,pg_toast,pg_toast_1262,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.827865+00,,,,1,0,0,0
1719457543.406902,2966,pg_toast,pg_toast_2964,0,0,1,0,,,,,2966,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.864051+00,,,,1,0,0,0
1719457543.406902,4185,pg_toast,pg_toast_1213,0,0,1,0,,,,,4185,pg_toast,pg_toast_1213,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.828434+00,,,,1,0,0,0
1719457543.406902,4175,pg_toast,pg_toast_1260,0,0,1,0,,,,,4175,pg_toast,pg_toast_1260,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.79857+00,,,,1,0,0,0
1719457543.406902,2846,pg_toast,pg_toast_2396,0,0,1,0,,,,,2846,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.828968+00,,,,1,0,0,0
1719457543.406902,4169,pg_toast,pg_toast_3600,0,0,0,0,,,,,4169,pg_toast,pg_toast_3600,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
