ctime,wal_records,wal_fpi,wal_bytes,wal_buffers_full,wal_write,wal_sync,wal_write_time,wal_sync_time,stats_reset
1719457543.408366,392418711,81032903,1604020039773,17806174,19418071,1598353,0,0,2024-06-13 18:53:49.178489+00
1719457603.422779,392418714,81032903,1604020039944,17806174,19418073,1598355,0,0,2024-06-13 18:53:49.178489+00
1719457663.433894,392418714,81032903,1604020039944,17806174,19418073,1598355,0,0,2024-06-13 18:53:49.178489+00
1719457723.441937,392418714,81032903,1604020039944,17806174,19418073,1598355,0,0,2024-06-13 18:53:49.178489+00
1719457783.455631,392418717,81032903,1604020040123,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719457843.465194,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719457903.473421,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719457963.489158,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719458023.497909,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719458083.510724,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719458143.518525,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719458203.530875,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719458263.539248,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719458323.554826,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719458383.565479,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719458443.575422,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719458503.585583,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719458563.602141,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719458623.610930,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719458683.619447,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719458743.631444,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719458803.640381,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719458863.653372,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719458923.665459,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719458983.674155,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719459043.682543,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719459103.693355,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719459163.702992,392418718,81032903,1604020040173,17806174,19418076,1598358,0,0,2024-06-13 18:53:49.178489+00
1719459223.710728,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719459283.718301,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719459343.728856,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719459403.746793,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719459463.752814,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
