Linux 6.1.0-21-amd64 (palamar) 	06/27/2024 	_x86_64_	(64 CPU)

03:05:43 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:06:43 AM     all      1.57      0.00      0.10      0.00      0.00     98.33
03:07:43 AM     all      1.57      0.00      0.04      0.00      0.00     98.39
03:08:43 AM     all      1.57      0.00      0.04      0.00      0.00     98.40
03:09:43 AM     all      1.59      0.00      0.16      0.00      0.00     98.25
03:10:43 AM     all      1.37      0.00      0.24      0.00      0.00     98.39
03:11:43 AM     all      1.36      0.00      0.25      0.00      0.00     98.39
03:12:43 AM     all      1.38      0.00      0.23      0.00      0.00     98.39
03:13:43 AM     all      1.37      0.00      0.24      0.00      0.00     98.39
03:14:43 AM     all      1.36      0.00      0.25      0.00      0.00     98.39
03:15:43 AM     all      1.36      0.00      0.25      0.00      0.00     98.39
03:16:43 AM     all      1.37      0.00      0.24      0.00      0.00     98.39
03:17:43 AM     all      1.36      0.00      0.25      0.00      0.00     98.39
03:18:43 AM     all      1.37      0.00      0.24      0.00      0.00     98.39
03:19:43 AM     all      1.37      0.00      0.24      0.00      0.00     98.39
03:20:43 AM     all      1.37      0.00      0.24      0.00      0.00     98.39
03:21:43 AM     all      1.37      0.00      0.23      0.00      0.00     98.40
03:22:43 AM     all      1.37      0.00      0.24      0.00      0.00     98.39
03:23:43 AM     all      1.38      0.00      0.23      0.00      0.00     98.39
03:24:43 AM     all      1.36      0.00      0.25      0.00      0.00     98.39
03:25:43 AM     all      1.36      0.00      0.25      0.00      0.00     98.39
03:26:43 AM     all      1.37      0.00      0.24      0.00      0.00     98.39
03:27:43 AM     all      1.37      0.00      0.24      0.00      0.00     98.39
03:28:43 AM     all      1.37      0.00      0.24      0.00      0.00     98.39
03:29:43 AM     all      1.36      0.00      0.25      0.00      0.00     98.39
03:30:43 AM     all      1.37      0.00      0.24      0.00      0.00     98.39
03:31:43 AM     all      1.37      0.00      0.24      0.00      0.00     98.39
03:32:43 AM     all      1.37      0.00      0.24      0.00      0.00     98.39
03:33:43 AM     all      1.36      0.00      0.26      0.00      0.00     98.37
03:34:43 AM     all      1.35      0.00      0.25      0.00      0.00     98.40
03:35:43 AM     all      1.36      0.00      0.25      0.00      0.00     98.40
03:36:43 AM     all      1.35      0.00      0.26      0.00      0.00     98.39
03:37:43 AM     all      1.35      0.00      0.25      0.00      0.00     98.40
03:38:43 AM     all      1.36      0.00      0.24      0.00      0.00     98.40
03:39:43 AM     all      1.36      0.00      0.25      0.00      0.00     98.39
03:40:43 AM     all      1.35      0.00      0.25      0.00      0.00     98.40
03:41:43 AM     all      1.35      0.00      0.25      0.00      0.00     98.39
03:42:43 AM     all      1.36      0.00      0.24      0.00      0.00     98.40
03:43:43 AM     all      1.35      0.00      0.26      0.00      0.00     98.39
03:44:43 AM     all      1.37      0.00      0.25      0.00      0.00     98.39
03:45:43 AM     all      1.36      0.00      0.25      0.00      0.00     98.39
03:46:43 AM     all      1.35      0.00      0.26      0.00      0.00     98.39
03:47:43 AM     all      1.35      0.00      0.25      0.00      0.00     98.39
03:48:43 AM     all      1.35      0.00      0.25      0.00      0.00     98.39
