# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;dkB/s;areq-sz;aqu-sz;await;%util
palamar;60;1719457603;nvme0n1;104.55;0.00;10313.81;0.20;98.65;0.01;0.14;1.66
palamar;60;1719457603;nvme1n1;104.40;0.00;10311.55;0.13;98.77;0.02;0.15;1.64
palamar;60;1719457603;sda;2.57;0.00;29.87;0.00;11.64;0.00;0.24;0.07
palamar;60;1719457603;sda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457603;sda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457603;sda3;2.57;0.00;29.87;0.00;11.64;0.00;0.24;0.07
palamar;60;1719457603;sdb;0.05;0.00;0.20;0.00;4.00;0.00;0.00;0.02
palamar;60;1719457603;pg-data;2582.32;0.00;20625.36;0.33;7.99;0.32;0.12;1.66
palamar;60;1719457663;nvme0n1;38.10;0.00;305.82;0.00;8.03;0.00;0.02;1.00
palamar;60;1719457663;nvme1n1;38.12;0.00;305.43;0.00;8.01;0.00;0.02;1.00
palamar;60;1719457663;sda;0.83;0.00;12.60;0.00;15.12;0.00;0.24;0.05
palamar;60;1719457663;sda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457663;sda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457663;sda3;0.83;0.00;12.60;0.00;15.12;0.00;0.22;0.05
palamar;60;1719457663;sdb;0.05;0.00;0.40;0.00;8.00;0.00;0.33;0.01
palamar;60;1719457663;pg-data;76.57;0.00;611.24;0.00;7.98;0.00;0.00;1.00
palamar;60;1719457723;nvme0n1;37.42;0.00;304.13;0.00;8.13;0.00;0.02;1.01
palamar;60;1719457723;nvme1n1;37.45;0.00;303.80;0.00;8.11;0.00;0.02;1.04
palamar;60;1719457723;sda;0.93;0.00;13.07;0.00;14.00;0.00;0.23;0.05
palamar;60;1719457723;sda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457723;sda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457723;sda3;0.93;0.00;13.07;0.00;14.00;0.00;0.25;0.05
palamar;60;1719457723;sdb;0.03;0.00;0.13;0.00;4.00;0.00;0.00;0.01
palamar;60;1719457723;pg-data;76.00;0.00;607.93;0.00;8.00;0.00;0.01;1.03
palamar;60;1719457783;nvme0n1;44.02;0.00;1085.47;136.53;27.76;0.00;0.04;1.13
palamar;60;1719457783;nvme1n1;43.82;0.00;1083.87;136.53;27.85;0.00;0.04;1.09
palamar;60;1719457783;sda;0.93;0.00;16.60;0.00;17.79;0.00;0.23;0.07
palamar;60;1719457783;sda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457783;sda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457783;sda3;0.93;0.00;16.60;0.00;17.79;0.00;0.23;0.07
palamar;60;1719457783;sdb;0.03;0.00;0.40;0.00;12.00;0.00;0.00;0.01
