# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
palamar;60;1719457603;-1;1.57;0.00;0.10;0.00;0.00;98.33
palamar;60;1719457603;0;0.02;0.00;0.55;0.00;0.00;99.43
palamar;60;1719457603;1;0.18;0.00;0.30;0.00;0.00;99.52
palamar;60;1719457603;2;0.00;0.00;0.03;0.00;0.00;99.97
palamar;60;1719457603;3;0.00;0.00;0.02;0.00;0.00;99.98
palamar;60;1719457603;4;0.00;0.00;0.00;0.00;0.00;100.00
palamar;60;1719457603;5;0.00;0.00;0.00;0.00;0.00;100.00
palamar;60;1719457603;6;0.00;0.00;0.00;0.00;0.00;100.00
palamar;60;1719457603;7;0.02;0.00;0.02;0.00;0.00;99.97
palamar;60;1719457603;8;0.00;0.00;0.02;0.00;0.00;99.98
palamar;60;1719457603;9;0.05;0.00;0.02;0.00;0.00;99.93
palamar;60;1719457603;10;0.00;0.00;0.28;0.00;0.00;99.72
palamar;60;1719457603;11;0.02;0.00;0.02;0.00;0.00;99.97
palamar;60;1719457603;12;0.00;0.00;0.00;0.00;0.00;100.00
palamar;60;1719457603;13;0.00;0.00;0.07;0.00;0.00;99.93
palamar;60;1719457603;14;0.03;0.00;0.13;0.00;0.00;99.83
palamar;60;1719457603;15;0.10;0.00;0.50;0.00;0.00;99.40
palamar;60;1719457603;16;0.00;0.00;0.02;0.00;0.00;99.98
palamar;60;1719457603;17;0.00;0.00;0.02;0.00;0.00;99.98
palamar;60;1719457603;18;0.07;0.00;0.02;0.00;0.00;99.92
palamar;60;1719457603;19;0.02;0.00;0.10;0.00;0.00;99.88
palamar;60;1719457603;20;0.00;0.00;0.00;0.00;0.00;100.00
palamar;60;1719457603;21;0.00;0.00;0.00;0.00;0.00;100.00
palamar;60;1719457603;22;0.00;0.00;0.00;0.00;0.00;100.00
palamar;60;1719457603;23;0.00;0.00;0.00;0.00;0.00;100.00
palamar;60;1719457603;24;0.00;0.00;0.00;0.00;0.00;100.00
palamar;60;1719457603;25;0.00;0.00;0.00;0.00;0.00;100.00
palamar;60;1719457603;26;0.00;0.00;0.00;0.00;0.00;100.00
