# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
palamar;60;1719457603;72310568;255609300;1024672;0.39;208592;186509848;69093188;26.02;129520524;57408144;24
palamar;60;1719457663;72290280;255589464;1044268;0.40;208592;186510276;69093188;26.02;129520524;57408880;240
palamar;60;1719457723;72290752;255589856;1043492;0.40;208592;186510700;69093188;26.02;129520524;57408584;0
palamar;60;1719457783;72161376;255522748;1110836;0.42;208592;186572948;69150816;26.05;129581816;57468428;8
palamar;60;1719457843;72157512;255519316;1114072;0.42;208596;186573376;69150816;26.05;129581816;57469508;48
palamar;60;1719457903;72147108;255509336;1124256;0.43;208600;186573800;69150816;26.05;129581824;57470068;56
palamar;60;1719457963;72143928;255506592;1127116;0.43;208600;186574232;69150816;26.05;129581828;57470096;32
palamar;60;1719458023;72135628;255498720;1134888;0.43;208600;186574660;69150816;26.05;129581828;57470544;16
palamar;60;1719458083;72137040;255500048;1132708;0.43;208600;186575080;69150816;26.05;129581324;57471156;120
palamar;60;1719458143;72139704;255503652;1129704;0.43;208604;186575512;69150816;26.05;129581828;57471324;56
palamar;60;1719458203;72125896;255490268;1142916;0.43;208604;186575936;69150816;26.05;129581840;57471792;112
palamar;60;1719458263;72115396;255480192;1153204;0.44;208604;186576360;69150816;26.05;129581836;57472532;104
palamar;60;1719458323;72123012;255488232;1145312;0.43;208604;186576784;69150816;26.05;129581840;57472892;168
palamar;60;1719458383;72129756;255495404;1138264;0.43;208604;186577212;69150816;26.05;129581840;57473516;48
palamar;60;1719458443;72115096;255481164;1152268;0.44;208604;186577632;69150816;26.05;129581840;57473476;192
palamar;60;1719458503;72109668;255476168;1157220;0.44;208604;186578064;69150816;26.05;129581840;57473932;32
palamar;60;1719458563;72118000;255484888;1148368;0.44;208604;186578484;69150816;26.05;129581840;57474328;48
palamar;60;1719458623;72130184;255497500;1135936;0.43;208608;186578908;69150816;26.05;129581844;57474736;16
palamar;60;1719458683;72131912;255499656;1133888;0.43;208608;186579336;69150816;26.05;129581848;57475180;72
palamar;60;1719458743;72127904;255496072;1137400;0.43;208608;186579760;69150816;26.05;129581844;57475532;304
palamar;60;1719458803;72146544;255515148;1118572;0.42;208612;186580192;69150816;26.05;129581852;57476472;248
palamar;60;1719458863;72135428;255504456;1129468;0.43;208612;186580616;69150816;26.05;129581852;57476708;232
palamar;60;1719458923;72135276;255504732;1128892;0.43;208616;186581040;69150816;26.05;129581860;57476824;72
palamar;60;1719458983;72114320;255484216;1149444;0.44;208624;186581472;69150816;26.05;129581872;57477232;248
palamar;60;1719459043;72116996;255487312;1146308;0.44;208624;186581892;69150816;26.05;129581876;57477648;16
palamar;60;1719459103;72109112;255479852;1153704;0.44;208624;186582316;69150816;26.05;129581880;57478188;96
palamar;60;1719459163;72114800;255485976;1147576;0.44;208624;186582752;69150816;26.05;129581888;57478632;216
palamar;60;1719459223;74664664;255513128;1120480;0.43;208624;184060040;69150816;26.05;129581888;54956132;0
palamar;60;1719459283;74649888;255498776;1134972;0.43;208624;184060464;69150816;26.05;129581896;54956400;0
palamar;60;1719459343;74639244;255488556;1145272;0.43;208624;184060888;69150816;26.05;129581892;54957012;0
palamar;60;1719459403;74620688;255470420;1163212;0.44;208624;184061308;69150816;26.05;129581896;54957108;0
palamar;60;1719459463;74648988;255499152;1134672;0.43;208624;184061740;69150816;26.05;129581896;54957516;0
palamar;60;1719459523;74631644;255482232;1151864;0.44;208624;184062164;69150816;26.05;129581900;54958420;4
palamar;60;1719459583;74626804;255477816;1156060;0.44;208624;184062588;69150816;26.05;129581900;54958424;0
palamar;60;1719459643;74619840;255471260;1162520;0.44;208624;184063024;69150816;26.05;129581908;54959220;20
palamar;60;1719459703;74637288;255489160;1144536;0.43;208624;184063448;69150816;26.05;129581908;54959036;0
palamar;60;1719459763;74647860;255500148;1133868;0.43;208624;184063864;69150816;26.05;129581908;54959672;0
palamar;60;1719459823;74637708;255490428;1143612;0.43;208624;184064296;69150816;26.05;129581908;54960104;0
palamar;60;1719459883;74645504;255498652;1135448;0.43;208628;184064720;69150816;26.05;129581912;54960528;0
palamar;60;1719459943;74651400;255504980;1129084;0.43;208632;184065148;69150816;26.05;129581912;54960964;0
palamar;60;1719460003;74661392;255515412;1118868;0.42;208636;184065584;69150816;26.05;129581920;54961900;0
palamar;60;1719460063;74657680;255512132;1122372;0.43;208636;184066016;69150816;26.05;129581924;54961828;0
palamar;60;1719460123;74664136;255518996;1115232;0.42;208640;184066436;69150816;26.05;129581924;54962276;0
palamar;60;1719460183;74648784;255504068;1129764;0.43;208640;184066860;69150816;26.05;129581928;54962656;0
palamar;60;1719460243;74638248;255493968;1140044;0.43;208640;184067280;69150816;26.05;129581932;54963088;0
palamar;60;1719460303;74633188;255489336;1144748;0.43;208640;184067708;69150816;26.05;129581932;54963532;0
palamar;60;1719460363;74628784;255485352;1148752;0.44;208640;184068128;69150816;26.05;129581932;54963940;0
palamar;60;1719460423;74637664;255494660;1139256;0.43;208640;184068556;69150816;26.05;129581932;54964280;0
