# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
palamar;60;1719457603;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457603;enp65s0f0;1.43;1.38;0.10;0.10;0.00;0.00;0.10;0.00
palamar;60;1719457603;enp65s0f1;1.17;0.88;0.08;0.06;0.00;0.00;0.12;0.00
palamar;60;1719457603;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457603;bond0;2.60;2.27;0.18;0.16;0.00;0.00;0.22;0.00
palamar;60;1719457663;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457663;enp65s0f0;1.33;1.18;0.09;0.08;0.00;0.00;0.12;0.00
palamar;60;1719457663;enp65s0f1;1.28;1.07;0.09;0.07;0.00;0.00;0.10;0.00
palamar;60;1719457663;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457663;bond0;2.62;2.25;0.18;0.16;0.00;0.00;0.22;0.00
palamar;60;1719457723;lo;0.05;0.05;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457723;enp65s0f0;1.28;1.12;0.09;0.08;0.00;0.00;0.10;0.00
palamar;60;1719457723;enp65s0f1;1.35;1.13;0.09;0.08;0.00;0.00;0.07;0.00
palamar;60;1719457723;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457723;bond0;2.63;2.25;0.18;0.16;0.00;0.00;0.17;0.00
palamar;60;1719457783;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457783;enp65s0f0;1.37;0.93;0.09;0.07;0.00;0.00;0.10;0.00
palamar;60;1719457783;enp65s0f1;1.28;1.30;0.09;0.09;0.00;0.00;0.12;0.00
palamar;60;1719457783;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457783;bond0;2.65;2.23;0.19;0.16;0.00;0.00;0.22;0.00
palamar;60;1719457843;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457843;enp65s0f0;1.37;1.07;0.10;0.07;0.00;0.00;0.12;0.00
palamar;60;1719457843;enp65s0f1;1.27;1.18;0.09;0.08;0.00;0.00;0.10;0.00
palamar;60;1719457843;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457843;bond0;2.63;2.25;0.18;0.16;0.00;0.00;0.22;0.00
palamar;60;1719457903;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457903;enp65s0f0;1.38;1.07;0.10;0.07;0.00;0.00;0.10;0.00
palamar;60;1719457903;enp65s0f1;1.28;1.17;0.09;0.08;0.00;0.00;0.10;0.00
palamar;60;1719457903;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457903;bond0;2.67;2.23;0.19;0.16;0.00;0.00;0.20;0.00
palamar;60;1719457963;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457963;enp65s0f0;1.25;1.03;0.09;0.07;0.00;0.00;0.10;0.00
palamar;60;1719457963;enp65s0f1;1.43;1.20;0.10;0.08;0.00;0.00;0.12;0.00
palamar;60;1719457963;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719457963;bond0;2.68;2.23;0.19;0.16;0.00;0.00;0.22;0.00
palamar;60;1719458023;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719458023;enp65s0f0;1.47;1.07;0.10;0.08;0.00;0.00;0.12;0.00
palamar;60;1719458023;enp65s0f1;1.28;1.20;0.09;0.08;0.00;0.00;0.10;0.00
palamar;60;1719458023;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719458023;bond0;2.75;2.27;0.19;0.16;0.00;0.00;0.22;0.00
palamar;60;1719458083;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719458083;enp65s0f0;1.38;1.13;0.10;0.08;0.00;0.00;0.10;0.00
palamar;60;1719458083;enp65s0f1;1.27;1.17;0.09;0.08;0.00;0.00;0.10;0.00
palamar;60;1719458083;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719458083;bond0;2.65;2.30;0.19;0.16;0.00;0.00;0.20;0.00
palamar;60;1719458143;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719458143;enp65s0f0;1.25;1.17;0.09;0.08;0.00;0.00;0.07;0.00
palamar;60;1719458143;enp65s0f1;1.32;1.07;0.09;0.07;0.00;0.00;0.08;0.00
palamar;60;1719458143;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719458143;bond0;2.57;2.23;0.18;0.16;0.00;0.00;0.15;0.00
palamar;60;1719458203;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719458203;enp65s0f0;1.38;1.20;0.10;0.08;0.00;0.00;0.12;0.00
palamar;60;1719458203;enp65s0f1;1.20;1.03;0.08;0.07;0.00;0.00;0.10;0.00
palamar;60;1719458203;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719458203;bond0;2.58;2.23;0.18;0.16;0.00;0.00;0.22;0.00
palamar;60;1719458263;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719458263;enp65s0f0;1.53;1.07;0.11;0.07;0.00;0.00;0.10;0.00
palamar;60;1719458263;enp65s0f1;1.20;1.22;0.08;0.08;0.00;0.00;0.10;0.00
palamar;60;1719458263;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719458263;bond0;2.73;2.28;0.19;0.16;0.00;0.00;0.20;0.00
palamar;60;1719458323;lo;0.05;0.05;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719458323;enp65s0f0;1.28;1.15;0.09;0.08;0.00;0.00;0.12;0.00
palamar;60;1719458323;enp65s0f1;1.40;1.15;0.10;0.08;0.00;0.00;0.12;0.00
palamar;60;1719458323;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719458323;bond0;2.68;2.30;0.19;0.16;0.00;0.00;0.23;0.00
palamar;60;1719458383;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719458383;enp65s0f0;1.30;1.10;0.09;0.08;0.00;0.00;0.10;0.00
palamar;60;1719458383;enp65s0f1;1.47;1.23;0.10;0.08;0.00;0.00;0.10;0.00
palamar;60;1719458383;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719458383;bond0;2.77;2.33;0.19;0.16;0.00;0.00;0.20;0.00
palamar;60;1719458443;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719458443;enp65s0f0;1.27;1.17;0.09;0.08;0.00;0.00;0.10;0.00
palamar;60;1719458443;enp65s0f1;1.38;1.15;0.10;0.08;0.00;0.00;0.10;0.00
palamar;60;1719458443;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719458443;bond0;2.65;2.32;0.19;0.16;0.00;0.00;0.20;0.00
palamar;60;1719458503;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
