# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
palamar;60;1719457603;0.00;20655.42;3131.10;0.08;14356.27;0.00;0.00;0.00;0.00
palamar;60;1719457663;0.00;624.25;2654.48;0.00;1869.72;0.00;0.00;0.00;0.00
palamar;60;1719457723;0.00;621.13;2635.95;0.00;1805.60;0.00;0.00;0.00;0.00
palamar;60;1719457783;0.00;2186.33;5436.78;0.00;3998.30;0.00;0.00;0.00;0.00
palamar;60;1719457843;0.00;627.48;2666.30;0.00;2265.88;0.00;0.00;0.00;0.00
palamar;60;1719457903;0.00;617.02;2623.35;0.00;2170.37;0.00;0.00;0.00;0.00
palamar;60;1719457963;0.00;619.53;2652.60;0.00;1800.47;0.00;0.00;0.00;0.00
palamar;60;1719458023;0.00;619.47;2629.12;0.00;1778.92;0.00;0.00;0.00;0.00
palamar;60;1719458083;0.00;615.27;2687.50;0.00;1836.42;0.00;0.00;0.00;0.00
palamar;60;1719458143;0.00;625.13;2669.03;0.00;1809.62;0.00;0.00;0.00;0.00
palamar;60;1719458203;0.00;619.40;2635.70;0.00;1797.77;0.00;0.00;0.00;0.00
palamar;60;1719458263;0.00;620.40;2669.70;0.00;1816.00;0.00;0.00;0.00;0.00
palamar;60;1719458323;0.00;619.67;2662.30;0.00;1807.77;0.00;0.00;0.00;0.00
palamar;60;1719458383;0.00;620.07;2649.33;0.00;1799.83;0.00;0.00;0.00;0.00
palamar;60;1719458443;0.00;615.47;2648.78;0.00;1796.95;0.00;0.00;0.00;0.00
palamar;60;1719458503;0.00;619.60;2620.67;0.00;1787.23;0.00;0.00;0.00;0.00
palamar;60;1719458563;0.00;615.13;2673.47;0.00;1817.78;0.00;0.00;0.00;0.00
palamar;60;1719458623;0.00;619.73;2633.30;0.00;1789.03;0.00;0.00;0.00;0.00
palamar;60;1719458683;0.00;621.33;2635.35;0.00;1794.33;0.00;0.00;0.00;0.00
palamar;60;1719458743;0.00;621.27;2640.57;0.00;1795.38;0.00;0.00;0.00;0.00
palamar;60;1719458803;0.00;619.73;2649.17;0.00;1801.10;0.00;0.00;0.00;0.00
palamar;60;1719458863;0.00;620.67;2648.98;0.00;1796.22;0.00;0.00;0.00;0.00
palamar;60;1719458923;0.00;617.00;2635.72;0.00;1786.90;0.00;0.00;0.00;0.00
palamar;60;1719458983;0.00;620.13;2648.22;0.00;1797.95;0.00;0.00;0.00;0.00
palamar;60;1719459043;0.00;619.73;2645.38;0.00;1789.52;0.00;0.00;0.00;0.00
palamar;60;1719459103;0.00;615.73;2643.65;0.00;1799.53;0.00;0.00;0.00;0.00
palamar;60;1719459163;0.00;621.15;2634.97;0.00;1783.67;0.00;0.00;0.00;0.00
palamar;60;1719459223;0.00;285.75;2626.38;0.00;17432.55;0.00;0.00;0.00;0.00
palamar;60;1719459283;0.00;15.98;2620.37;0.00;1791.97;0.00;0.00;0.00;0.00
palamar;60;1719459343;0.00;19.02;2654.17;0.00;1809.57;0.00;0.00;0.00;0.00
palamar;60;1719459403;0.00;13.27;2646.60;0.00;1797.03;0.00;0.00;0.00;0.00
palamar;60;1719459463;0.00;13.73;2633.43;0.00;1789.68;0.00;0.00;0.00;0.00
palamar;60;1719459523;0.00;14.40;2635.27;0.00;1789.52;0.00;0.00;0.00;0.00
palamar;60;1719459583;0.00;16.27;2650.75;0.00;1796.65;0.00;0.00;0.00;0.00
palamar;60;1719459643;0.00;15.67;2649.60;0.00;1798.35;0.00;0.00;0.00;0.00
palamar;60;1719459703;0.00;13.87;2663.50;0.00;1815.63;0.00;0.00;0.00;0.00
palamar;60;1719459763;0.00;13.20;2650.88;0.00;1796.77;0.00;0.00;0.00;0.00
palamar;60;1719459823;0.00;14.33;2663.25;0.00;1804.42;0.00;0.00;0.00;0.00
palamar;60;1719459883;0.00;14.00;2726.98;0.00;1830.48;0.00;0.00;0.00;0.00
palamar;60;1719459943;0.00;20.27;2643.63;0.00;1794.50;0.00;0.00;0.00;0.00
palamar;60;1719460003;0.00;14.40;2634.75;0.00;1789.75;0.00;0.00;0.00;0.00
palamar;60;1719460063;0.00;13.93;2594.40;0.00;1763.28;0.00;0.00;0.00;0.00
palamar;60;1719460123;0.00;13.33;2660.55;0.00;1805.90;0.00;0.00;0.00;0.00
palamar;60;1719460183;0.00;14.47;2620.68;0.00;1778.00;0.00;0.00;0.00;0.00
palamar;60;1719460243;0.00;13.67;2637.33;0.00;1787.98;0.00;0.00;0.00;0.00
palamar;60;1719460303;0.00;13.87;2637.22;0.00;1798.70;0.00;0.00;0.00;0.00
palamar;60;1719460363;0.00;13.33;2664.63;0.00;1808.98;0.00;0.00;0.00;0.00
palamar;60;1719460423;0.00;14.27;2650.48;0.00;1799.60;0.00;0.00;0.00;0.00
palamar;60;1719460483;0.00;14.07;2636.58;0.00;1790.13;0.00;0.00;0.00;0.00
palamar;60;1719460543;0.00;18.27;2659.10;0.00;1802.70;0.00;0.00;0.00;0.00
palamar;60;1719460603;0.00;14.40;2650.65;0.00;1798.20;0.00;0.00;0.00;0.00
palamar;60;1719460663;0.00;13.67;2635.80;0.00;1788.72;0.00;0.00;0.00;0.00
palamar;60;1719460723;0.00;14.40;2647.12;0.00;1792.52;0.00;0.00;0.00;0.00
palamar;60;1719460783;0.00;13.87;2660.15;0.00;1804.47;0.00;0.00;0.00;0.00
palamar;60;1719460843;0.00;14.13;2647.23;0.00;1798.27;0.00;0.00;0.00;0.00
palamar;60;1719460903;0.00;13.33;2648.03;0.00;1808.07;0.00;0.00;0.00;0.00
palamar;60;1719460963;0.00;13.20;2635.90;0.00;1787.82;0.00;0.00;0.00;0.00
palamar;60;1719461023;0.00;13.53;2637.80;0.00;1789.33;0.00;0.00;0.00;0.00
palamar;60;1719461083;0.00;13.53;2664.82;0.00;1809.45;0.00;0.00;0.00;0.00
palamar;60;1719461143;0.00;19.60;2632.45;0.00;1785.87;0.00;0.00;0.00;0.00
palamar;60;1719461203;0.00;14.00;2639.47;0.00;1789.72;0.00;0.00;0.00;0.00
