# hostname;interval;timestamp;pswpin/s;pswpout/s
palamar;60;1719457603;0.00;0.00
palamar;60;1719457663;0.00;0.00
palamar;60;1719457723;0.00;0.00
palamar;60;1719457783;0.00;0.00
palamar;60;1719457843;0.00;0.00
palamar;60;1719457903;0.00;0.00
palamar;60;1719457963;0.00;0.00
palamar;60;1719458023;0.00;0.00
palamar;60;1719458083;0.00;0.00
palamar;60;1719458143;0.00;0.00
palamar;60;1719458203;0.00;0.00
palamar;60;1719458263;0.00;0.00
palamar;60;1719458323;0.00;0.00
palamar;60;1719458383;0.00;0.00
palamar;60;1719458443;0.00;0.00
palamar;60;1719458503;0.00;0.00
palamar;60;1719458563;0.00;0.00
palamar;60;1719458623;0.00;0.00
palamar;60;1719458683;0.00;0.00
palamar;60;1719458743;0.00;0.00
palamar;60;1719458803;0.00;0.00
palamar;60;1719458863;0.00;0.00
palamar;60;1719458923;0.00;0.00
palamar;60;1719458983;0.00;0.00
palamar;60;1719459043;0.00;0.00
palamar;60;1719459103;0.00;0.00
palamar;60;1719459163;0.00;0.00
palamar;60;1719459223;0.00;0.00
palamar;60;1719459283;0.00;0.00
palamar;60;1719459343;0.00;0.00
palamar;60;1719459403;0.00;0.00
palamar;60;1719459463;0.00;0.00
palamar;60;1719459523;0.00;0.00
palamar;60;1719459583;0.00;0.00
palamar;60;1719459643;0.00;0.00
palamar;60;1719459703;0.00;0.00
palamar;60;1719459763;0.00;0.00
palamar;60;1719459823;0.00;0.00
palamar;60;1719459883;0.00;0.00
palamar;60;1719459943;0.00;0.00
palamar;60;1719460003;0.00;0.00
palamar;60;1719460063;0.00;0.00
palamar;60;1719460123;0.00;0.00
palamar;60;1719460183;0.00;0.00
palamar;60;1719460243;0.00;0.00
palamar;60;1719460303;0.00;0.00
palamar;60;1719460363;0.00;0.00
palamar;60;1719460423;0.00;0.00
palamar;60;1719460483;0.00;0.00
palamar;60;1719460543;0.00;0.00
palamar;60;1719460603;0.00;0.00
palamar;60;1719460663;0.00;0.00
palamar;60;1719460723;0.00;0.00
palamar;60;1719460783;0.00;0.00
palamar;60;1719460843;0.00;0.00
palamar;60;1719460903;0.00;0.00
palamar;60;1719460963;0.00;0.00
palamar;60;1719461023;0.00;0.00
palamar;60;1719461083;0.00;0.00
palamar;60;1719461143;0.00;0.00
palamar;60;1719461203;0.00;0.00
palamar;60;1719461263;0.00;0.00
palamar;60;1719461323;0.00;0.00
palamar;60;1719461383;0.00;0.00
palamar;60;1719461443;0.00;0.00
palamar;60;1719461503;0.00;0.00
palamar;60;1719461563;0.00;0.00
palamar;60;1719461623;0.00;0.00
palamar;60;1719461683;0.00;0.00
palamar;60;1719461743;0.00;0.00
palamar;60;1719461803;0.00;0.00
palamar;60;1719461863;0.00;0.00
palamar;60;1719461923;0.00;0.00
palamar;60;1719461983;0.00;0.00
palamar;60;1719462043;0.00;0.00
palamar;60;1719462103;0.00;0.00
palamar;60;1719462163;0.00;0.00
palamar;60;1719462223;0.00;0.00
palamar;60;1719462283;0.00;0.00
palamar;60;1719462343;0.00;0.00
palamar;60;1719462403;0.00;0.00
palamar;60;1719462463;0.00;0.00
palamar;60;1719462523;0.00;0.00
palamar;60;1719462583;0.00;0.00
palamar;60;1719462643;0.00;0.00
palamar;60;1719462703;0.00;0.00
palamar;60;1719462763;0.00;0.00
palamar;60;1719462823;0.00;0.00
palamar;60;1719462883;0.00;0.00
palamar;60;1719462943;0.00;0.00
palamar;60;1719463003;0.00;0.00
palamar;60;1719463063;0.00;0.00
palamar;60;1719463123;0.00;0.00
palamar;60;1719463183;0.00;0.00
palamar;60;1719463243;0.00;0.00
palamar;60;1719463303;0.00;0.00
palamar;60;1719463363;0.00;0.00
palamar;60;1719463423;0.00;0.00
palamar;60;1719463483;0.00;0.00
palamar;60;1719463543;0.00;0.00
palamar;60;1719463603;0.00;0.00
palamar;60;1719463663;0.00;0.00
palamar;60;1719463723;0.00;0.00
palamar;60;1719463783;0.00;0.00
palamar;60;1719463843;0.00;0.00
palamar;60;1719463903;0.00;0.00
palamar;60;1719463963;0.00;0.00
palamar;60;1719464023;0.00;0.00
palamar;60;1719464083;0.00;0.00
palamar;60;1719464143;0.00;0.00
palamar;60;1719464203;0.00;0.00
palamar;60;1719464263;0.00;0.00
palamar;60;1719464323;0.00;0.00
palamar;60;1719464383;0.00;0.00
palamar;60;1719464443;0.00;0.00
palamar;60;1719464503;0.00;0.00
palamar;60;1719464563;0.00;0.00
palamar;60;1719464623;0.00;0.00
palamar;60;1719464683;0.00;0.00
palamar;60;1719464743;0.00;0.00
palamar;60;1719464803;0.00;0.00
